shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_CL,18.9398,72.8355,0
shape_CL,18.944,72.8393,1
shape_CL,18.949,72.843,2
shape_CL,18.9775,72.833,3
shape_CL,18.985,72.831,4
shape_CL,18.993,72.834,5
shape_CL,19.001,72.838,6
shape_CL,19.0178,72.8435,7
shape_CL,19.027,72.849,8
shape_CL,19.0408,72.8621,9
shape_CL,19.0654,72.8792,10
shape_CL,19.079,72.889,11
shape_CL,19.086,72.908,12
shape_CL,19.101,72.926,13
shape_CL,19.113,72.934,14
shape_CL,19.129,72.938,15
shape_CL,19.138,72.941,16
shape_CL,19.173,72.956,17
shape_CL,19.186,72.975,18
shape_CL,19.198,73.002,19
shape_CL,19.212,73.019,20
shape_CL,19.222,73.031,21
shape_CL,19.2437,73.1305,22
shape_CL,19.261,73.149,23
shape_CL,19.27,73.163,24
shape_CL,19.298,73.187,25
shape_CL,19.325,73.228,26
shape_CL,19.353,73.27,27
shape_CL,19.377,73.31,28
shape_CL,19.392,73.32,29
shape_CL,19.395,73.35,30
shape_CL,19.41,73.39,31
shape_CL,19.42,73.41,32
shape_CL,19.631,73.477,33
shape_WL,18.9352,72.8277,0
shape_WL,18.944,72.8233,1
shape_WL,18.952,72.8195,2
shape_WL,18.963,72.8165,3
shape_WL,18.971,72.819,4
shape_WL,18.986,72.828,5
shape_WL,19.0178,72.842,6
shape_WL,19.027,72.843,7
shape_WL,19.039,72.84,8
shape_WL,19.0544,72.8402,9
shape_WL,19.065,72.839,10
shape_WL,19.082,72.84,11
shape_WL,19.098,72.844,12
shape_WL,19.1197,72.8468,13
shape_WL,19.136,72.848,14
shape_WL,19.146,72.851,15
shape_WL,19.155,72.849,16
shape_WL,19.187,72.847,17
shape_WL,19.204,72.853,18
shape_WL,19.228,72.857,19
shape_WL,19.25,72.857,20
shape_WL,19.281,72.868,21
shape_WL,19.301,72.851,22
shape_WL,19.338,72.848,23
shape_WL,19.366,72.828,24
shape_WL,19.416,72.822,25
shape_WL,19.455,72.811,26
shape_HL,18.9398,72.8355,0
shape_HL,18.944,72.8393,1
shape_HL,18.949,72.843,2
shape_HL,18.956,72.846,3
shape_HL,18.962,72.845,4
shape_HL,18.97,72.85,5
shape_HL,18.982,72.853,6
shape_HL,18.992,72.857,7
shape_HL,18.999,72.861,8
shape_HL,19.012,72.867,9
shape_HL,19.0654,72.8792,10
shape_HL,19.07,72.889,11
shape_HL,19.062,72.897,12
shape_HL,19.058,72.91,13
shape_HL,19.049,72.929,14
shape_HL,19.066,72.999,15
shape_HL,19.062,73.011,16
shape_HL,19.05,73.02,17
shape_HL,19.033,73.018,18
shape_HL,19.02,73.02,19
shape_HL,19.013,73.034,20
shape_HL,19.028,73.062,21
shape_HL,19.035,73.072,22
shape_HL,19.04,73.08,23
shape_HL,19.004,73.108,24
