stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
ABH,Ambernath,19.304675,73.203625,0,,
AMBIVLI,Ambivli,19.256,73.141,0,,
AND,Andheri,19.1197,72.8468,0,ANDHERI_STN,
ANDHERI_STN,Andheri Station,19.1171747947178,72.8465039707666,1,,
ASANGAON,Asangaon,19.428,73.312,0,,
ATGAON,Atgaon,19.482,73.335,0,,
BA,Bandra,19.0544,72.8402,0,,
BC,Mumbai Central,18.971,72.819,0,,
BDU,Badlapur,19.1663883,73.2390496,0,,
BNR,Bhandup,19.129,72.938,0,,
BSR,Borivali,19.228,72.857,0,,
BVS,Bhivpuri Road,18.970655,73.331324,0,,
BY,Byculla,18.9775,72.833,0,,
BYNR,Bhayandar,19.301,72.851,0,,
CBD,Belapur CBD,19.013,73.034,0,,
CCG,Churchgate,18.9352,72.8277,0,,
CDB,Chembur,19.062,72.897,0,,
CHR,Charni Road,18.952,72.8195,0,,
CLA,Chunabhatti,19.012,72.867,0,,
CR,Currey Road,18.993,72.834,0,,
CRD,Chinchpokli,18.98525,72.8335,0,,
CSMT,CSMT,18.9398,72.8355,0,,
CTN,Cotton Green,18.97,72.85,0,,
DAHISAR_EAST_STN,Dahisar East Station,19.25113,72.86681,1,,
DCK,Dockyard Road,18.956,72.846,0,,
DI,Diva Junction,19.222,73.031,0,,
DIC,Dahisar,19.25,72.857,0,DAHISAR_EAST_STN,
DOLAVLI,Dolavli,18.844675,73.318838,0,,
DOMBIVLI,Dombivli,19.2183,73.0867,0,,
DR,Dadar,19.0178,72.8435,0,,
ELR,Prabhadevi,18.986,72.828,0,,
GC,Ghatkopar,19.09,72.9075,0,,
GOR,Goregaon,19.155,72.849,0,,
GT,Grant Road,18.963,72.8165,0,,
GTR,GTB Nagar,18.999,72.861,0,,
GVD,Govandi,19.058,72.91,0,,
JNR,Juinagar,19.05,73.02,0,,
JOS,Jogeshwari,19.136,72.848,0,,
KBE,Kharghar,19.028,73.062,0,,
KCE,King's Circle,19.028,72.856,0,,
KDV,Kandivali,19.204,72.853,0,,
KELAVLI,Kelavli,18.858158,73.31828,0,,
KHADAVLI,Khadavli,19.332,73.251,0,,
KHARDI,Khardi,19.551,73.375,0,,
KHOPOLI,Khopoli,18.7884484,73.3460214,0,,
KHP,Khandeshwar,19.04,73.08,0,,
KHR,Khar Road,19.065,72.839,0,,
KJT,Karjat,18.911158,73.320691,0,,
KN,Kanjurmarg,19.115,72.932,0,,
KOPAR,Kopar,19.216,73.046,0,,
KPR,Kalwa,19.198,73.002,0,,
KR,Kurla,19.0654,72.8792,0,,
KSR,Kasara,19.605,73.425,0,,
KYN,Kalyan,19.2437,73.1305,0,,
LOWERPAREL,Lower Parel,18.994,72.831,0,,
LOWJEE,Lowjee,18.809955,73.335006,0,,
MAHALAXMI,Mahalakshmi,18.983,72.822,0,,
MAHIM,Mahim Jn,19.039,72.84,0,,
MBE,Mankhurd,19.049,72.929,0,,
MBQ,Mumbra,19.21,73.0165,0,,
MIRA,Mira Road,19.281,72.868,0,,
MLD,Malad,19.187,72.847,0,,
MM,Matunga,19.0293,72.8528,0,,
MNK,Mulund,19.173,72.956,0,,
MR,Marine Lines,18.944,72.8233,0,,
MSD,Masjid,18.944,72.8393,0,,
MSR,Mansarovar,19.035,73.072,0,,
MX,Matunga Road,19.027,72.843,0,,
NHP,Nahur,19.151,72.947,0,,
NLB,Nalla Sopara,19.416,72.822,0,,
NMB,Nerul,19.033,73.018,0,,
NRL,Neral,19.027113,73.318955,0,,
NVS,Naigaon,19.338,72.848,0,,
PLG,Palasdhari,18.88409,73.32055,0,,
PNV,Panvel,19.004,73.108,0,,
PR,Parel,19.0054,72.83875,0,,
RAM,Ramnagar,19.146,72.851,0,,
RYR,Reay Road,18.962,72.845,0,,
SBR,Sandhurst Road,18.949,72.843,0,,
SHAHAD,Shahad,19.248,73.128,0,,
SHD,Shelu,19.062985,73.317386,0,,
SN,Sion,19.0408,72.8621,0,,
SNV,Sanpada,19.062,73.011,0,,
STC,Santa Cruz,19.082,72.84,0,,
SWD,Seawoods Darave,19.02,73.02,0,,
SWR,Sewri,18.982,72.853,0,,
THAKURLI,Thakurli,19.235,73.105,0,,
THANSIT,Thansit,19.52,73.36,0,,
TITWALA,Titwala,19.302,73.205,0,,
TLK,Tilaknagar,19.07,72.889,0,,
TNA,Thane,19.1855,72.979,0,,
UBR,Ulhasnagar,19.28435,73.17925,0,,
UMBERMALLI,Umbermalli,19.578,73.4,0,,
VASIND,Vasind,19.405,73.266,0,,
VBS,Vashi,19.066,72.999,0,,
VD,Vidyavihar,19.079,72.889,0,,
VDB,Vadala Road,18.992,72.857,0,,
VGI,Vangani,19.0941667,73.3011111,0,,
VIRAR,Virar,19.455,72.811,0,,
VK,Vikhroli,19.101,72.926,0,,
VLP,Vile Parle,19.098,72.844,0,,
VR,Vasai Road,19.366,72.828,0,,
VTN,Vithalwadi,19.264025,73.154875,0,,
