station,98301,98001,98801,98003,98303,98803,98005,98701,98007,99003,98009,98011,98703,98013,98705,98015,98017,98707,98019,98805,98021,98023,98709,99005,98025,98027,98807,98029,98711,98031,98033,98713,98035,98305,98809,99007,98037,98901,98307,98811,98039,98041,98715,98043,98501,98045,98047,98813,98049,98309,98503,98717,99009,98051,98903,98311,98815,98902,98053,98055,98719,98313,98057,98505,99011,98817,98059,98315,98061,98905,98819,98063,98605,98721,98507,99013,98065,98821,98067,98317,98904,98723,98069,98509,99015,98823,98071,98511,98725,98319,98073,98513,99017,98321,98075,98825,98077,98515,98079,98727,98906,98323,98081,98827,98083,99019,98517,98085,98729,98087,98325,98519,98089,98829,98327,98091,98521,98731,99021,98093,98329,98831,98095,98523,98733,98331,98097,98525,98907,98099,98333,98833,99023,98101,98735,98103,98105,98835,98107,98109,98737,98111,98837,99025,98335,98113,98115,91393,98337,98908,98839,98117,98527,99027,98739,98119,98121,98339,98841,98123,98141,98143,98747,99035,98145,98343,98849,98147,98149,98345,98151,98749,98153,98155,99037,98851,98531,98157,98159,98751,98161,98533,99039,98163,98853,98165,98535,98753,98167,99041,98169,98347,98855,98171,98349,98755,98173,98537,98175,99043,98857,98177,98351,98539,98179,98769,98215,99057,98553,98217,98365,98869,98219,98221,98555,98914,98771,98223,99059,98871,98917,98367,98225,98227,98773,98557,99061,91491,98916,98229,98231,98873,98233,99063,98559,98775,98235,98369,98875,98237,99065,98561,98239,98777,98371,98241,98877,98563,99067,98569,99071,98251,98783,98253,98883,99073,98255,98571,98785,98257,98885,98573,98787,99001,98259,98575
Mumbai CSMT,00:05,00:13,00:17,00:24,,00:36,00:40,04:28,04:32,,,04:52,04:56,05:06,05:10,05:18,05:22,05:26,05:30,05:33,,05:43,05:50,,05:56,06:00,06:04,06:08,06:11,06:16,06:24,06:28,,06:32,06:36,,06:40,,06:46,06:50,06:54,06:59,07:05,07:09,07:13,07:17,,07:21,07:26,07:30,,07:36,,07:40,,07:48,07:51,,07:56,08:00,08:04,,08:08,08:12,,08:16,,08:20,08:24,,08:29,08:33,08:37,08:42,08:46,,,08:50,08:54,08:58,,09:02,09:06,09:10,,09:14,09:18,09:22,09:26,,09:30,09:34,,09:38,,09:42,09:45,09:48,09:52,09:55,,09:59,10:03,10:06,10:10,,10:14,10:18,10:22,,10:26,10:30,10:34,10:38,,10:41,10:45,10:48,,10:52,10:56,11:00,11:04,11:08,11:12,,11:16,11:20,,11:26,11:32,11:36,,11:40,11:48,11:52,11:56,12:00,,12:08,"12:12
13:19","12:17
13:26","12:21
13:30",13:34,"12:25
13:38",12:29,,"12:36
13:48","12:39
13:52",13:56,"12:47
14:04",12:51,"12:55
14:12",14:18,"12:58
14:22",14:28,13:03,13:07,"13:11
14:34","13:15
14:40",14:44,14:48,14:52,,14:56,15:00,15:04,,15:08,15:12,15:16,15:20,15:24,15:28,,15:32,,15:36,15:44,15:48,18:45,"15:54
18:49",18:53,16:00,"16:04
18:57","16:08
19:01","16:12
19:05",16:16,19:09,19:13,"16:23
19:17",16:27,16:31,"16:35
19:24",16:39,16:43,19:28,"16:47
19:32","16:51
19:36",,16:56,,17:00,17:04,17:08,19:40,,,19:44,19:48,19:52,19:56,,20:00,20:04,,20:08,20:16,,20:20,,20:28,20:32,,20:36,20:40,,20:46,,20:49,,20:54,21:02,,21:06,21:10,21:14,21:18,21:22,,,21:26,21:30,21:34,21:38,21:42,21:46,21:50,,22:45,,22:50,22:54,22:58,23:02,,23:14,23:20,23:26,23:30,23:38,23:42,23:46,,23:52,23:57
Masjid,00:08,00:16,00:20,00:27,,00:39,00:43,04:31,04:35,05:12,,04:55,04:59,05:09,05:13,05:21,05:25,05:29,05:33,05:36,,05:46,05:53,06:20,05:59,06:03,06:07,06:11,06:14,06:19,06:27,06:31,,06:35,06:39,07:04,06:43,,06:49,06:53,06:57,07:02,07:08,07:12,07:16,07:20,,07:24,07:29,07:33,,07:39,08:03,07:43,,07:51,07:54,,07:59,08:03,08:07,,08:11,08:15,08:41,08:19,,08:23,08:27,,08:32,08:36,08:40,08:45,08:49,09:14,,08:53,08:57,09:01,,09:05,09:09,09:13,09:39,09:17,09:21,09:25,09:29,,09:33,09:37,10:01,09:41,,09:45,09:48,09:51,09:55,09:58,,10:02,10:06,10:09,10:13,10:39,10:17,10:21,10:25,,10:29,10:33,10:37,10:41,,10:44,10:48,10:51,11:14,10:55,10:59,11:03,11:07,11:11,11:15,,11:19,11:23,,11:29,11:35,11:39,12:00,11:43,11:51,11:55,11:59,12:03,,12:11,"12:15
13:22","12:20
13:29","12:24
13:33","12:49
13:37","12:28
13:41","12:32
14:03",,"12:38
13:51","12:42
13:55",13:59,"12:50
14:07","12:54
14:36","12:58
14:15","13:24
14:21","13:01
14:25",14:31,"13:06
14:54",13:10,"13:14
14:37","13:18
14:43",14:47,14:51,14:55,15:20,14:59,15:03,15:07,,15:11,15:15,15:19,15:23,15:27,15:31,16:00,15:35,,15:39,15:47,15:51,18:48,"15:57
18:52","16:24
18:56",16:03,"16:07
19:00","16:11
19:04","16:15
19:08",16:19,19:12,"16:48
19:16","16:26
19:20","16:30
19:48",16:34,"16:38
19:27",16:42,"16:46
19:59",19:31,"16:50
19:35","16:54
19:39",17:23,16:59,,17:03,17:07,17:11,19:43,,20:15,19:47,19:51,19:55,19:59,,20:03,20:07,,20:11,20:19,20:50,20:23,,20:31,20:35,,20:39,20:43,21:11,20:48,,20:52,,20:57,21:05,21:36,21:09,21:13,21:17,21:21,21:25,,21:52,21:29,21:33,21:37,21:41,21:45,21:49,21:53,22:15,22:48,23:14,22:53,22:57,23:01,23:05,23:32,23:17,23:23,23:29,23:33,23:41,23:45,23:49,00:05,23:55,00:00
Sandhurst Road,00:11,00:19,00:23,00:30,,00:42,00:46,04:34,04:38,,,04:58,05:02,05:12,05:16,05:24,05:28,05:32,05:36,05:39,,05:49,05:56,,06:02,06:06,06:10,06:14,06:17,06:22,06:30,06:34,,06:38,06:42,,06:46,,06:52,06:56,07:00,07:05,07:11,07:15,07:19,07:23,,07:27,07:32,07:36,,07:42,,07:46,,07:54,07:57,,08:02,08:06,08:10,,08:14,08:18,,08:22,,08:26,08:30,,08:35,08:39,08:43,08:48,08:52,,,08:56,09:00,09:04,,09:08,09:12,09:16,,09:20,09:24,09:28,09:32,,09:36,09:40,,09:44,,09:48,09:51,09:54,09:58,10:01,,10:05,10:09,10:12,10:16,,10:20,10:24,10:28,,10:32,10:36,10:40,10:44,,10:47,10:51,10:54,,10:58,11:02,11:06,11:10,11:14,11:18,,11:22,11:26,,11:32,11:38,11:42,,11:46,11:54,11:58,12:02,12:06,,12:14,"12:18
13:25","12:23
13:32","12:27
13:36",13:40,"12:31
13:44",12:35,,"12:41
13:54","12:45
13:58",14:02,"12:53
14:10",12:57,"13:01
14:18",14:24,"13:04
14:28",14:34,13:09,13:13,"13:17
14:40","13:21
14:46",14:50,14:54,14:58,,15:02,15:06,15:10,,15:14,15:18,15:22,15:26,15:30,15:34,,15:38,,15:42,15:50,15:54,18:51,"16:00
18:55",18:59,16:06,"16:10
19:03","16:14
19:07","16:18
19:11",16:22,19:15,19:19,"16:29
19:23",16:33,16:37,"16:41
19:30",16:45,16:49,19:34,"16:53
19:38","16:57
19:42",,17:02,,17:06,17:10,17:14,19:46,,,19:50,19:54,19:58,20:02,,20:06,20:10,,20:14,20:22,,20:26,,20:34,20:38,,20:42,20:46,,20:51,,20:55,,21:00,21:08,,21:12,21:16,21:20,21:24,21:28,,,21:32,21:36,21:40,21:44,21:48,21:52,21:56,,22:51,,22:56,23:00,23:04,23:08,,23:20,23:26,23:32,23:36,23:44,23:48,23:52,,23:58,00:03
Dockyard Road,00:13,00:21,00:25,00:32,,00:44,00:48,04:36,04:40,,,05:00,05:04,05:14,05:18,05:26,05:30,05:34,05:38,05:41,,05:51,05:58,,06:04,06:08,06:12,06:16,06:19,06:24,06:32,06:36,,06:40,06:44,,06:48,,06:54,06:58,07:02,07:07,07:13,07:17,07:21,07:25,,07:29,07:34,07:38,,07:44,,07:48,,07:56,07:59,,08:04,08:08,08:12,,08:16,08:20,,08:24,,08:28,08:32,,08:37,08:41,08:45,08:50,08:54,,,08:58,09:02,09:06,,09:10,09:14,09:18,,09:22,09:26,09:30,09:34,,09:38,09:42,,09:46,,09:50,09:53,09:56,10:00,10:03,,10:07,10:11,10:14,10:18,,10:22,10:26,10:30,,10:34,10:38,10:42,10:46,,10:49,10:53,10:56,,11:00,11:04,11:08,11:12,11:16,11:20,,11:24,11:28,,11:34,11:40,11:44,,11:48,11:56,12:00,12:04,12:08,,12:16,"12:20
13:27","12:25
13:34","12:29
13:38",13:42,"12:33
13:46",12:37,,"12:43
13:56","12:47
14:00",14:04,"12:55
14:12",12:59,"13:03
14:20",14:26,"13:06
14:30",14:36,13:11,13:15,"13:19
14:42","13:23
14:48",14:52,14:56,15:00,,15:04,15:08,15:12,,15:16,15:20,15:24,15:28,15:32,15:36,,15:40,,15:44,15:52,15:56,18:53,"16:02
18:57",19:01,16:08,"16:12
19:05","16:16
19:09","16:20
19:13",16:24,19:17,19:21,"16:31
19:25",16:35,16:39,"16:43
19:32",16:47,16:51,19:36,"16:55
19:40","16:59
19:44",,17:04,,17:08,17:12,17:16,19:48,,,19:52,19:56,20:00,20:04,,20:08,20:12,,20:16,20:24,,20:28,,20:36,20:40,,20:44,20:48,,20:53,,20:57,,21:02,21:10,,21:14,21:18,21:22,21:26,21:30,,,21:34,21:38,21:42,21:46,21:50,21:54,21:58,,22:53,,22:58,23:02,23:06,23:10,,23:22,23:28,23:34,23:38,23:46,23:50,23:54,,00:00,00:05
Reay Road,00:15,00:23,00:27,00:34,,00:46,00:50,04:38,04:42,,,05:02,05:06,05:16,05:20,05:28,05:32,05:36,05:40,05:43,,05:53,06:00,,06:06,06:10,06:14,06:18,06:21,06:26,06:34,06:38,,06:42,06:46,,06:50,,06:56,07:00,07:04,07:09,07:15,07:19,07:23,07:27,,07:31,07:36,07:40,,07:46,,07:50,,07:58,08:01,,08:06,08:10,08:14,,08:18,08:22,,08:26,,08:30,08:34,,08:39,08:43,08:47,08:52,08:56,,,09:00,09:04,09:08,,09:12,09:16,09:20,,09:24,09:28,09:32,09:36,,09:40,09:44,,09:48,,09:52,09:55,09:58,10:02,10:05,,10:09,10:13,10:16,10:20,,10:24,10:28,10:32,,10:36,10:40,10:44,10:48,,10:51,10:55,10:58,,11:02,11:06,11:10,11:14,11:18,11:22,,11:26,11:30,,11:36,11:42,11:46,,11:50,11:58,12:02,12:06,12:10,,12:18,"12:22
13:29","12:27
13:36","12:31
13:40",13:44,"12:35
13:48",12:39,,"12:45
13:58","12:49
14:02",14:06,"12:57
14:14",13:01,"13:05
14:22",14:28,"13:08
14:32",14:38,13:13,13:17,"13:21
14:44","13:25
14:50",14:54,14:58,15:02,,15:06,15:10,15:14,,15:18,15:22,15:26,15:30,15:34,15:38,,15:42,,15:46,15:54,15:58,18:55,"16:04
18:59",19:03,16:10,"16:14
19:07","16:18
19:11","16:22
19:15",16:26,19:19,19:23,"16:33
19:27",16:37,16:41,"16:45
19:34",16:49,16:53,19:38,"16:57
19:42","17:01
19:46",,17:06,,17:10,17:14,17:18,19:50,,,19:54,19:58,20:02,20:06,,20:10,20:14,,20:18,20:26,,20:30,,20:38,20:42,,20:46,20:50,,20:55,,20:59,,21:04,21:12,,21:16,21:20,21:24,21:28,21:32,,,21:36,21:40,21:44,21:48,21:52,21:56,22:00,,22:55,,23:00,23:04,23:08,23:12,,23:24,23:30,23:36,23:40,23:48,23:52,23:56,,00:02,00:07
Cotton Green,00:17,00:25,00:29,00:36,,00:48,00:52,04:40,04:44,,,05:04,05:08,05:18,05:22,05:30,05:34,05:38,05:42,05:45,,05:55,06:02,,06:08,06:12,06:16,06:20,06:23,06:28,06:36,06:40,,06:44,06:48,,06:52,,06:58,07:02,07:06,07:11,07:17,07:21,07:25,07:29,,07:33,07:38,07:42,,07:48,,07:52,,08:00,08:03,,08:08,08:12,08:16,,08:20,08:24,,08:28,,08:32,08:36,,08:41,08:45,08:49,08:54,08:58,,,09:02,09:06,09:10,,09:14,09:18,09:22,,09:26,09:30,09:34,09:38,,09:42,09:46,,09:50,,09:54,09:57,10:00,10:04,10:07,,10:11,10:15,10:18,10:22,,10:26,10:30,10:34,,10:38,10:42,10:46,10:50,,10:53,10:57,11:00,,11:04,11:08,11:12,11:16,11:20,11:24,,11:28,11:32,,11:38,11:44,11:48,,11:52,12:00,12:04,12:08,12:12,,12:20,"12:24
13:31","12:29
13:38","12:33
13:42",13:46,"12:37
13:50",12:41,,"12:47
14:00","12:51
14:04",14:08,"12:59
14:16",13:03,"13:07
14:24",14:30,"13:10
14:34",14:40,13:15,13:19,"13:23
14:46","13:27
14:52",14:56,15:00,15:04,,15:08,15:12,15:16,,15:20,15:24,15:28,15:32,15:36,15:40,,15:44,,15:48,15:56,16:00,18:57,"16:06
19:01",19:05,16:12,"16:16
19:09","16:20
19:13","16:24
19:17",16:28,19:21,19:25,"16:35
19:29",16:39,16:43,"16:47
19:36",16:51,16:55,19:40,"16:59
19:44","17:03
19:48",,17:08,,17:12,17:16,17:20,19:52,,,19:56,20:00,20:04,20:08,,20:12,20:16,,20:20,20:28,,20:32,,20:40,20:44,,20:48,20:52,,20:57,,21:01,,21:06,21:14,,21:18,21:22,21:26,21:30,21:34,,,21:38,21:42,21:46,21:50,21:54,21:58,22:02,,22:57,,23:02,23:06,23:10,23:14,,23:26,23:32,23:38,23:42,23:50,23:54,23:58,,00:04,00:09
Sewri,00:20,00:28,00:32,00:39,,00:51,00:55,04:43,04:47,,,05:07,05:11,05:21,05:25,05:33,05:37,05:41,05:45,05:48,,05:58,06:05,,06:11,06:15,06:19,06:23,06:26,06:31,06:39,06:43,,06:47,06:51,,06:55,,07:01,07:05,07:09,07:14,07:20,07:24,07:28,07:32,,07:36,07:41,07:45,,07:51,,07:55,,08:03,08:06,,08:11,08:15,08:19,,08:23,08:27,,08:31,,08:35,08:39,,08:44,08:48,08:52,08:57,09:01,,,09:05,09:09,09:13,,09:17,09:21,09:25,,09:29,09:33,09:37,09:41,,09:45,09:49,,09:53,,09:57,10:00,10:03,10:07,10:10,,10:14,10:18,10:21,10:25,,10:29,10:33,10:37,,10:41,10:45,10:49,10:53,,10:56,11:00,11:03,,11:07,11:11,11:15,11:19,11:23,11:27,,11:31,11:35,,11:41,11:47,11:51,,11:55,12:03,12:07,12:11,12:15,,12:23,"12:27
13:34","12:32
13:41","12:36
13:45",13:49,"12:40
13:53",12:44,,"12:50
14:03","12:54
14:07",14:11,"13:02
14:19",13:06,"13:10
14:27",14:33,"13:13
14:37",14:43,13:18,13:22,"13:26
14:49","13:30
14:55",14:59,15:03,15:07,,15:11,15:15,15:19,,15:23,15:27,15:31,15:35,15:39,15:43,,15:47,,15:51,15:59,16:03,19:00,"16:09
19:04",19:08,16:15,"16:19
19:12","16:23
19:16","16:27
19:20",16:31,19:24,19:28,"16:38
19:32",16:42,16:46,"16:50
19:39",16:54,16:58,19:43,"17:02
19:47","17:06
19:51",,17:11,,17:15,17:19,17:23,19:55,,,19:59,20:03,20:07,20:11,,20:15,20:19,,20:23,20:31,,20:35,,20:43,20:47,,20:51,20:55,,21:00,,21:04,,21:09,21:17,,21:21,21:25,21:29,21:33,21:37,,,21:41,21:45,21:49,21:53,21:57,22:01,22:05,,23:00,,23:05,23:09,23:13,23:17,,23:29,23:35,23:41,23:45,23:53,23:57,00:01,,00:07,00:12
Vadala Road,00:23,00:31,00:35,00:42,00:50,00:54,00:58,04:46,04:50,,05:06,05:10,05:14,05:24,05:28,05:36,05:40,05:44,05:48,05:51,05:52,06:01,06:08,,06:14,06:18,06:22,06:26,06:29,06:34,06:42,06:46,06:46,06:50,06:54,,06:58,07:02,07:05,07:09,07:13,07:17,07:23,07:27,07:31,07:35,07:39,07:39,07:44,07:48,07:54,07:54,,07:58,08:02,08:06,08:09,08:10,08:14,08:18,08:22,08:22,08:26,08:30,,08:34,08:34,08:38,08:42,08:45,08:48,08:52,08:55,09:00,09:04,,09:08,09:08,09:12,09:16,09:20,09:20,09:24,09:28,,09:32,09:36,09:40,09:44,09:45,09:48,09:52,,09:56,09:59,10:00,10:03,10:06,10:10,10:14,10:14,10:18,10:22,10:25,10:28,,10:32,10:36,10:40,10:40,10:44,10:48,10:52,10:56,10:56,10:59,11:03,11:06,,11:10,11:14,11:18,11:22,11:26,11:30,11:30,11:34,11:38,11:42,11:45,11:50,11:54,,11:58,12:06,12:10,12:14,12:18,12:18,12:26,"12:30
13:37","12:35
13:44","12:39
13:48",13:52,"12:43
13:56",12:47,"12:51
13:58","12:53
14:06","12:57
14:10","13:01
14:14","13:05
14:22",13:09,"13:13
14:30",14:36,"13:17
14:40","13:17
14:46",13:21,"13:25
14:47","13:29
14:52","13:33
14:58",15:02,15:06,15:10,,15:14,15:18,15:22,15:22,15:26,15:30,15:34,15:38,15:42,15:46,,15:50,15:50,15:54,16:02,16:06,"16:08
19:03","16:12
19:07",19:11,"16:18
19:11","16:22
19:15","16:26
19:19","16:30
19:23","16:34
19:27","16:34
19:27",19:31,"16:41
19:35",16:45,"16:49
19:39","16:53
19:43","16:57
19:43",17:01,"17:01
19:47","17:05
19:51","17:09
19:54",,17:14,17:14,17:18,17:22,17:26,19:58,19:58,,20:02,20:06,20:10,20:14,20:14,20:18,20:22,20:26,20:26,20:34,,20:38,20:42,20:46,20:50,20:54,20:54,20:58,,21:03,21:03,21:07,21:11,21:12,21:20,,21:24,21:28,21:32,21:36,21:40,21:40,,21:44,21:48,21:52,21:56,22:00,22:04,22:08,,23:03,,23:08,23:12,23:16,23:20,,23:32,23:38,23:44,23:48,23:56,00:00,00:04,,00:10,00:15
King's Circle,,,00:39,,,00:58,,04:50,,,,,05:18,,05:32,,,05:48,,05:55,,,06:12,,,,06:26,,06:33,,,06:50,,,06:58,,,07:07,,07:14,,,07:29,,,,,07:43,,,,07:58,,,08:09,,08:13,,,,08:26,,,,,08:38,,,,08:50,08:53,,,09:04,,,,09:12,,,,09:24,,,,09:36,,,09:48,,,,,,,10:04,,,,10:18,,,,10:30,,,,,10:44,,,,,11:00,,,,11:10,,,,11:22,,,11:34,,,,11:47,,,11:59,,,12:10,,,12:22,,,12:34,13:48,12:43,,14:00,,,12:57,14:14,,"13:09
14:26",,,14:40,13:21,14:50,,,13:33,15:02,,,15:14,,,,15:26,,,,,15:42,,,,15:54,,,,16:10,19:07,,19:16,,16:26,,,16:38,19:32,,,,"16:53
19:44",19:47,,17:05,,,,,17:18,,,,,20:03,,,,,,20:18,,,,,20:31,,,20:42,20:47,,,,20:59,,,21:07,,,,21:16,,,,21:33,,,21:44,,,,,21:57,,,22:09,,,,,,23:16,,23:24,,,,23:48,,00:00,,00:08,,,
Mahim Jn,,,00:41,,,01:00,,04:53,,,,,05:21,,05:35,,,05:51,,05:58,,,06:15,,,,06:29,,06:36,,,06:53,,,07:01,,,07:10,,07:17,,,07:32,,,,,07:46,,,,08:01,,,08:12,,08:16,,,,08:29,,,,,08:41,,,,08:53,08:56,,,09:08,,,,09:15,,,,09:27,,,,09:39,,,09:51,,,,,,,10:07,,,,10:21,,,,10:33,,,,,10:47,,,,,11:03,,,,11:13,,,,11:25,,,11:37,,,,11:50,,,12:02,,,12:13,,,12:24,,,12:37,13:51,12:46,,14:03,,,13:00,14:17,,"13:12
14:29",,,14:43,13:24,14:53,,,13:36,15:04,,,15:17,,,,15:29,,,,,15:45,,,,15:57,,,,16:13,19:09,,19:18,,16:29,,,16:41,19:34,,,,"16:55
19:46",19:49,,17:08,,,,,17:20,,,,,20:05,,,,,,20:20,,,,,20:33,,,20:44,20:49,,,,21:01,,,21:09,,,,21:18,,,,21:35,,,21:46,,,,,21:59,,,22:11,,,,,,23:19,,23:26,,,,23:51,,00:02,,00:11,,,
