station,94001,94003,94005,94007,94111,94107,94009,94011,94123,94109,94013,94015,94017
CHURCHGATE,,,05:40,,06:14,,06:35,,06:55,,07:29,07:36,07:54
Marine Lines,,,05:43,,06:17,,06:39,,06:58,,07:32,07:39,07:57
Charni Road,,,05:45,,06:19,,06:41,,07:00,,07:34,07:41,07:59
Grant Road,,,05:48,,06:22,,06:44,,07:03,,07:37,07:44,08:02
M'BAI CENTRAL (L),,,05:50,,06:24,,06:46,,07:05,,07:39,07:46,08:04
Mahalakshmi,,05:35,05:53,,06:27,06:39,06:49,06:57,07:08,,,,
Lower Parel,,05:59,05:56,,06:30,06:42,06:52,07:00,07:11,,,,
Prabhadevi,,05:42,05:59,,06:33,06:45,06:55,07:03,07:14,,,,
DADAR,,05:45,06:01,,06:35,06:47,06:57,07:05,07:16,,07:46,07:53,08:11
Matunga Road,,05:47,06:03,,06:37,06:49,06:59,07:07,07:18,,,,
Mahim Jn.,,05:50,06:06,,06:40,06:52,07:02,07:10,07:21,,,,
BANDRA,,05:54,06:11,,06:44,06:56,07:06,07:13,07:25,,07:52,07:59,08:16
Khar Road,,05:57,06:14,,06:47,06:59,07:09,07:16,07:28,,,,
Santa Cruz,,05:59,06:16,,06:49,07:01,07:12,07:19,07:30,,,,
Vile Parle,,06:02,06:19,,06:52,07:04,07:15,07:22,07:33,,,,
ANDHERI,,06:08,06:24,,06:57,07:10,07:20,07:27,07:39,,08:00,08:07,08:24
Jogeshwari,,06:12,06:27,,07:00,07:14,07:23,07:30,07:42,,,,
Ram Mandir,,06:15,06:30,,07:03,07:17,07:26,07:33,07:45,,,,
Goregaon,,06:17,06:32,,07:05,07:19,07:28,07:35,07:47,,,,
Malad,,06:21,06:36,,07:09,07:23,07:32,07:39,07:51,,,,
Kandivli,,06:24,06:39,,07:12,07:26,07:35,07:42,07:54,,,,
BORIVALI,05:07,06:30,06:45,,07:19,07:34,07:41,07:47,08:00,07:37,08:16,08:21,08:40
Dahisar,05:11,,,,,,,07:51,,,,08:25,08:44
Mira Road,05:16,,,,,,,07:56,,,,08:30,08:49
Bhayandar,05:21,,,07:27,,,,08:01,,07:52,,08:35,08:53
Naigaon,05:27,,,,,,,08:06,,,,08:41,08:59
Vasai Road,05:32,,,,,,,08:11,,,,08:46,09:04
Nallasopara,05:37,,,,,,,08:16,,,,08:51,09:09
VIRAR,05:45,,,07:52,,,,08:23,,,,08:58,09:15
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
DN AC TRAINS,,,,,,,,,,,,,
CHURCHGATE,,,05:40,,06:14,,06:35,,06:55,,07:29,07:36,07:54
Marine Lines,,,05:43,,06:17,,06:39,,06:58,,07:32,07:39,07:57
Charni Road,,,05:45,,06:19,,06:41,,07:00,,07:34,07:41,07:59
Grant Road,,,05:48,,06:22,,06:44,,07:03,,07:37,07:44,08:02
M'BAI CENTRAL (L),,,05:50,,06:24,,06:46,,07:05,,07:39,07:46,08:04
Mahalakshmi,,05:35,05:53,,06:27,06:39,06:49,06:57,07:08,,,,
Lower Parel,,05:59,05:56,,06:30,06:42,06:52,07:00,07:11,,,,
Prabhadevi,,05:42,05:59,,06:33,06:45,06:55,07:03,07:14,,,,
