station,94002,94004,94110,94006,94122,94008,94010,94012,94112,94014,94016,94124,94018
VIRAR,,,,,,05:57,,,,,07:15,,
Nallasopara,04:00,,,04:50,,06:03,,,,,07:21,,
VASAI ROAD,04:06,,,04:55,,06:08,,,,,07:26,,
Naigaon,04:11,,,05:00,,06:13,,,,,07:31,,
BHAYANDAR,04:16,,,05:06,,06:19,,,,,07:37,,
Mira Road,04:21,,,05:11,,06:24,,,,,07:42,,
Dahisar,04:25,,,05:15,,06:29,,,,,07:46,,
BORIVALI,04:29,04:31,,05:20,05:45,06:36,06:36,06:51,07:25,07:46,07:53,08:06,08:26
Kandivali,,04:36,,05:25,05:51,,06:42,06:58,07:31,07:52,07:58,08:11,08:31
Malad,,04:39,,05:28,05:54,,06:45,07:01,07:34,07:55,08:01,08:14,08:34
Goregaon,,04:42,05:14,05:31,05:57,,06:48,07:04,07:37,07:58,08:04,08:17,08:37
Ram Mandir,,04:44,05:17,05:33,05:59,,,,,,,08:20,
Jogeshwari,,04:47,05:19,05:36,06:02,,06:53,07:09,07:41,08:03,08:09,08:22,08:41
ANDHERI,,04:51,05:24,05:41,06:06,06:50,06:58,07:14,07:45,08:09,08:15,08:27,08:46
Vile Parle,,04:55,05:27,05:44,06:09,,,,,,,08:30,
Santa Cruz,,04:58,05:30,05:47,06:12,,,,,,,08:33,
Khar Road,,05:01,05:33,05:50,06:15,,,,,,,08:36,
BANDRA,,05:05,05:37,05:54,06:19,06:59,07:07,07:23,07:54,08:19,08:24,08:40,08:55
Mahim Jn.,,05:08,05:40,05:57,06:22,,,,,,,08:43,
Matunga Road,,05:11,05:43,06:00,06:25,,,,,,,08:46,
DADAR,,05:14,05:46,06:03,06:29,07:04,07:13,07:29,08:00,08:25,08:30,08:50,09:01
Prabhadevi,,05:17,05:49,06:06,06:31,,,,,,,08:52,
Lower Parel,,05:20,05:52,06:09,06:34,,,,,,,08:55,
Mahalakshmi,,05:23,05:55,06:12,06:37,,,,,,,08:58,
M'BAI CENTRAL(L),,05:26,05:58,06:15,06:40,07:11,07:20,07:36,08:07,08:32,08:37,09:01,09:08
Grant Road,,05:28,06:00,06:17,06:42,07:13,07:22,07:38,08:09,08:34,08:39,09:03,09:10
Charni Road,,05:30,06:02,06:19,06:44,07:15,07:24,07:40,08:11,08:36,08:41,09:05,09:12
Marine Lines,,05:33,06:05,06:22,06:47,07:18,07:27,07:43,08:14,08:39,08:44,09:08,09:15
CHURCHGATE,,05:36,06:10,06:29,06:51,07:22,07:32,07:48,08:20,08:42,08:49,09:11,09:19
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
UP AC TRAINS,,,,,,,,,,,,,
VIRAR,07:59,,08:33,,09:09,09:23,,,10:08,10:20,,10:52,
Nallasopara,08:05,,08:39,,09:15,09:29,,,10:14,10:26,,10:58,
VASAI ROAD,08:10,,08:44,,09:20,09:35,,,10:19,10:31,,11:04,
Naigaon,08:15,00:00,08:48,,09:25,09:39,,,10:23,10:36,,11:08,
BHAYANDAR,08:21,08:24,08:54,,09:31,09:45,,,10:29,10:42,,11:14,
Mira Road,08:26,08:30,08:59,,09:36,09:50,,,10:34,10:47,,11:20,
Dahisar,08:30,08:35,09:03,,09:40,09:55,,,10:38,10:51,,11:24,
BORIVALI,08:36,08:40,09:09,09:35,09:45,10:00,,10:16,10:43,10:55,11:23,11:30,11:35
Kandivali,,,09:15,09:41,,,,10:21,,,,,11:40
Malad,,,09:18,09:44,,,,10:24,,,,,11:43
Goregaon,,,09:21,09:48,,,10:11,10:27,,,,,11:46
Ram Mandir,,,09:23,,,,10:15,,,,,,11:48
Jogeshwari,,,09:26,09:53,,,10:17,10:32,,,,,11:51
ANDHERI,08:49,08:52,09:31,09:57,09:58,10:15,10:22,10:37,10:54,11:09,11:38,11:45,11:56
Vile Parle,,,09:35,,,,10:26,,,,,,11:59
Santa Cruz,,,09:38,,,,10:29,,,,,,12:02
Khar Road,,,09:41,,,,10:32,,,,,,12:05
BANDRA,08:58,09:02,09:47,10:06,10:09,10:25,10:37,10:47,11:03,11:18,11:47,11:54,12:09
Mahim Jn.,,,09:50,,,,10:41,,,,,,12:12
Matunga Road,,,09:53,,,,10:44,,,,,,12:15
DADAR,09:04,09:08,09:57,10:12,10:15,10:31,10:48,10:53,11:09,11:24,11:53,12:00,12:19
Prabhadevi,,,09:59,,,,10:50,,,,,,12:21
Lower Parel,,,10:02,,,,10:53,,,,,,12:24
Mahalakshmi,,,10:05,,,,10:56,,,,,,12:27
M'BAI CENTRAL(L),09:11,09:15,10:08,10:19,10:22,10:38,10:59,11:00,11:16,11:33,12:00,12:07,12:30
Grant Road,09:13,09:17,10:10,10:21,10:24,10:40,11:01,11:02,11:18,11:35,12:02,12:09,12:32
Charni Road,09:15,09:19,10:12,10:23,10:26,10:42,11:03,11:04,11:20,11:37,12:04,12:11,12:34
Marine Lines,09:18,09:22,10:15,10:26,10:29,10:45,11:06,11:07,11:23,11:40,12:07,12:14,12:37
CHURCHGATE,09:22,09:27,10:20,10:29,10:32,10:50,11:09,11:12,11:27,11:44,12:12,12:19,12:40
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
UP AC TRAINS,,,,,,,,,,,,,
VIRAR,11:00,,12:20,,12:45,13:18,,13:34,14:06,14:05,15:00,,15:27
Nallasopara,11:06,,12:26,,,13:24,,,14:12,14:11,15:06,,
VASAI ROAD,11:11,,12:31,,12:54,13:29,,13:43,14:17,14:16,15:11,,15:37
Naigaon,11:16,,12:36,,,13:34,,,14:21,14:20,15:15,,
