TRAIN,CSMT,MasjidSandhurst Road,BycullaChinchpokli,Currey RoadParel,DadarMatunga,SionKurla,VidyaviharGhatkopar,VikhroliKanjur Marg,BhandupNahur,MulundThane,KalvaMumbra,DivaKopar,DombivliThakurli,KalyanVithalwadi,Ulhas NagarAmbernath,BadlapurVangani,SheluNeral,Bhivpuri RoadKarjat,PalasdhariKelavli,DolavliLowjee,KhopoliShahad,AmbivliTitwala,KhadavliVasind,AsangaonAtgaon,ThansitKhardi,UmbermalliKasara
96301,00:02,,,,,,,,,,,,,,,,,,,,,,,,,
97601,00:05,,,,,,,,,,,,,,,,,,,,,,,,,
96401,00:08,,,,,,,,,,,,,01:37,,,,,,,,,,,,
96101,00:12,,,,,,,,,,,,,,,,,,,,,,,,,
97301,00:24,,,,,,,,,,,,,,,,,,,,,,,,,
96001,,,,,,,,,,,,,,,,,,,,,,,,,,
96501,,,,,,,,,,,,,,05:28,,,,,,,,,,,,
96103,,,,,,,,,,05:00,,,,,,,,,,,,,,,,
97001,,,,,,,,,,05:04,,,,05:36,,,,,,,,,,,,
96601,,,,,,,,,,,,,,05:42,,,,,,,,,,,,
96403,04:19,,,,,,,,,,,,,05:48,,,,,,,,,,,,
97201,,,,,,,,,,05:20,,,05:43,,,,,,,,,,,,,
95001,04:35,,,,,,,,,,,,,,,,,,,,,,,,,
97303,,,,,,04:58,,,,,,,,,,,,,,,,,,,,
96105,,,,,,,,,,05:27,,,,,,,,,,,,,,,,
96603,,,,,,,,,,05:35,,,,06:08,,,,,,,,,,,,
96107,04:47,,,,,,,,,,,,,,,,,,,,,,,,,
96503,,,,,,,,,,05:46,,,,06:20,,,,,,,,,,,,
96201,,,,,,,,,,,,,,,,,,,,,,,,,,
97003,,,,,,,,,,,,,,06:27,,,,,,,,,,,,
97005,,,,,,,,,,,,,,06:31,,,,,,,,,,,,
96405,05:07,,,,,,,,,,,,,06:36,,,,,,,,,,,,
96505,05:12,,,,,,,,,,,,,06:41,,,,,,,,,,,,
96303,05:16,,,,,,,,,,,,,,,,,,,,,,,,,
95701,05:20,,,,,,,,,,,,,06:24,,,,,,,,,,,,
96301,,,,,,,,,,06:15,,,,06:47,,,,,,,,,,,,
97601,05:28,,,,,,,,,,,,,06:56,,,,,,,,,,,,
96401,,,,,,,,,,,,,,07:04,,,,,,,,,,,,
96101,05:40,,,,,,,,,,,,,,,,,,,,,,,,,
97301,05:46,,,,,,,,,,,,,,,,,,,,,,,,,
96001,,,,,,,,,,,,,,07:14,,,,,,,,,,,,
96501,05:51,,,,,,,,,,,,,07:22,,,,,,,,,,,,
96103,,,,,,,,,,,,,,07:25,,,,,,,,,,,,
97001,06:01,,,,,,,,,,,,,07:32,,,,,,,,,,,,
96601,,,,,,,,,,,,,,07:10,,,,,,,,,,,,
96403,,,,,,,,,,,,,,,,,,,,,,,,,,
97201,06:10,,,,,,,,,,,,,,,,,,,,,,,,,
95001,,,,,,,,,,,,,,07:35,,,,,,,,,,,,
97303,,,,06:25,,,,,,,,,,07:39,,,,,,,,,,,,
96105,06:14,,,,,,,,,,,,,07:43,,,,,,,,,,,,
96603,,,,,,,,,,,,,,,,,,,,,,,,,,
96107,06:23,,,,,,,,,,,,07:41,,,,,,,,,,,,,
96503,06:24,,,,,,,,,,,,,,,,,,,,,,,,,
96201,,,,06:41,,,,,,,,,,07:55,,,,,,,,,,,,
97003,,,,,,,,,,,,,,08:01,,,,,,,,,,,,
97005,,,,,,,,,,,,,07:52,,,,,,,,,,,,,
96405,,,,,,,,,,,,,,08:04,,,,,,,,,,,,
96505,06:37,,,,,,,,,,,,,08:06,,,,,,,,,,,,
96303,,,,,,,,,,,,,,,,,,,,,,,,,,
95701,06:48,,,,,,,,,,,,,,,,,,,,,,,,,
96301,06:49,,,,,,,,,,,,,,,,,,,,,,,,,
97601,,,,,,,,,,,,,,08:20,,,,,,,,,,,,
96401,06:55,,,,,,,,,,,,,07:57,,,,,,,,,,,,
96101,06:56,,,,,,,,,,,,,08:26,,,,,,,,,,,,
97301,,,,,,,,,,,,,,,,,,,,,,,,,,
96001,07:05,,,,,,,,,,,,,,,,,,,,,,,,,
96501,07:08,,,,,,,,,,,,,08:37,,,,,,,,,,,,
96103,07:12,,,,,,,,,,,,,,,,,,,,,,,,,
97001,07:16,,,,,,,,,,,,08:35,,,,,,,,,,,,,
96601,,,,,,,,,,,,,,08:25,,,,,,,,,,,,
96403,07:24,,,,,,,,,,,,,08:53,,,,,,,,,,,,
