STATION,96301,97601,96401,96101,97301,96001,96501,96103,97001,96601,96403,97201,95001,97303,96105,96603,96107,96503,96201,97003,97005,96405,96505,96303,95701
,A 1,C 1,N 1,S 1,T 1,SKP 1,KAN 1,TS 1,TK 1,CTL 1,N 3,TDL 1,KP 1,CT 1,TS 3,TTL 1,S 3,TAN 1,CBL 1,K 1,CK 1,N 5,AN 1,A 3,K 3
,,,,,,,,,,,,,,,,,,,,,,,,,AC
,,,,,,,,,,,,,,,,,,,,X,X,,,,
CSMT,00:02,00:05,00:08,00:12,00:24,,,,,,04:19,,04:35,,,,04:47,,,05:00,,05:07,05:12,05:16,05:20
Masjid,00:05,00:08,00:11,00:15,00:27,,,,,,04:22,,…,,,,04:50,,,05:03,,05:10,05:15,05:19,…
Sandhurst Road,00:07,00:10,00:13,00:17,00:29,,,,,,04:24,,…,,,,04:52,,,05:05,,05:12,05:17,05:21,…
Byculla,00:10,00:13,00:16,00:20,00:32,,,,,,04:27,,04:42,,,,04:55,,,05:08,,05:15,05:20,05:24,05:27
Chinchpokli,00:12,00:15,00:18,00:22,00:34,,,,,,04:29,,…,,,,04:57,,,05:10,,05:17,05:22,05:26,…
Currey Road,00:14,00:17,00:20,00:24,00:36,,,,,,04:31,,…,,,,04:59,,,05:12,,05:19,05:24,05:28,…
Parel,00:17,00:20,00:23,00:27,00:39,,,,,,04:34,,…,,,,05:02,,,05:15,,05:22,05:27,05:31,…
Dadar,00:20,00:23,00:26,00:30,00:42,,,,,,04:37,,04:48,,,,05:05,,,05:18,,05:25,05:30,05:34,05:33
Matunga,00:23,00:26,00:29,00:33,00:45,,,,,,04:40,,…,,,,05:08,,,05:21,,05:28,05:33,05:37,…
Sion,00:26,00:29,00:32,00:36,00:48,,,,,,04:43,,…,,,,05:11,,,05:24,,05:31,05:36,05:40,…
Kurla,00:30,00:33,00:36,00:40,00:52,,,,,,04:47,,04:57,04:58,,,05:15,,,05:28,,05:35,05:40,05:44,05:40
Vidyavihar,00:33,,00:39,00:43,00:55,,,,,04:45,04:50,,…,05:01,,,05:18,,05:26,05:31,05:34,05:38,05:43,05:47,…
Ghatkopar,00:36,,00:42,00:46,00:58,,,,,04:48,04:53,,05:02,05:04,,,05:21,,05:29,05:34,05:37,05:41,05:46,05:50,05:44
Vikhroli,00:40,,00:46,00:50,01:02,,,,,04:52,04:57,,…,05:08,,,05:25,,05:33,05:38,05:41,05:45,05:50,05:54,…
Kanjur Marg,00:43,,00:49,00:53,01:05,,,,,04:55,05:00,,…,05:11,,,05:28,,05:36,05:41,05:44,05:48,05:53,05:57,…
Bhandup,00:46,,00:52,00:56,01:08,,,,,04:58,05:03,,…,05:14,,,05:31,,05:39,05:44,05:47,05:51,05:56,06:00,…
Nahur,00:49,,00:55,00:59,01:11,,,,,05:01,05:06,,…,05:17,,,05:34,,05:42,05:47,05:50,05:54,05:59,06:03,…
Mulund,00:52,,00:58,01:02,01:14,,,,,05:04,05:09,,…,05:20,,,05:37,,05:45,05:50,05:53,05:57,06:02,06:06,…
Thane,00:56,,01:02,01:06,01:19,,,05:00,05:04,05:09,05:14,05:20,05:20,05:25,05:27,05:35,05:42,05:46,05:50,05:54,05:58,06:02,06:07,06:11,06:01
Kalva,01:01,,01:07,01:11,,,,05:05,05:09,05:14,05:19,05:25,…,,05:32,05:40,05:47,05:51,05:55,05:59,06:03,06:07,06:12,06:16,…
Mumbra,01:07,,01:13,01:17,,,,05:11,05:15,05:20,05:25,05:31,…,,05:38,05:46,05:53,05:57,06:01,06:05,06:09,06:13,06:18,06:22,…
Diva,01:11,,01:17,01:21,,,,05:15,05:19,05:24,05:29,05:35,…,,05:42,05:50,05:57,06:01,06:05,06:09,06:13,06:17,06:22,06:26,…
Kopar,01:16,,01:22,01:26,,,,05:20,05:24,05:29,05:34,05:40,…,,05:47,05:55,06:02,06:06,06:10,06:14,06:18,06:22,06:27,06:31,…
Dombivli,01:20,,01:26,01:30,,,,05:23,05:27,05:32,05:37,05:43,05:36,,05:50,05:58,06:05,06:09,06:13,06:17,06:21,06:25,06:30,06:34,06:17
Thakurli,01:24,,01:30,01:34,,,,05:27,05:31,05:36,05:41,,…,,05:54,06:02,06:09,06:13,06:17,06:21,06:25,06:29,06:34,06:38,…
Kalyan,01:30,,01:37,01:40,,,05:28,05:34,05:36,05:42,05:48,,05:53,,06:01,06:08,06:16,06:20,06:23,06:27,06:31,06:36,06:41,06:45,06:24
Vithalwadi,1:35,,,1:44,,,,5:38,,,,,5:57,,6:05,,6:20,,6:27,,,,,6:49,
