Kopar,01:16,01:22,01:26,,,05:20,05:24,05:29,05:34,05:40,…,05:47,05:55,06:02,06:06,06:10,06:14,06:18,06:22,06:27,06:31
Dombivli,01:20,01:26,01:30,,,05:23,05:27,05:32,05:37,05:43,05:36,05:50,05:58,06:05,06:09,06:13,06:17,06:21,06:25,06:30,06:34
Thakurli,01:24,01:30,01:34,,,05:27,05:31,05:36,05:41,,…,05:54,06:02,06:09,06:13,06:17,06:21,06:25,06:29,06:34,06:38
Kalyan,01:30,01:37,01:40,,05:28,05:34,05:36,05:42,05:48,,05:53,06:01,06:08,06:16,06:20,06:23,06:27,06:31,06:36,06:41,06:45
Vithalwadi,1:35,,1:44,,,5:38,,,,,5:57,6:05,,6:20,,6:27,,,,,6:49
Ulhas Nagar,1:38,,1:47,,,5:41,,,,,6:00,6:08,,6:23,,6:30,,,,,6:52
Ambernath,1:46,,1:51,,,5:45,,,,,6:04,6:12,,6:27,,6:34,,,,,6:58
Badlapur,,,1:58,,,5:52,,,,,6:11,6:19,,6:34,,6:43,,,,,
Vangani,,,2:06,,,6:01,,,,,6:20,6:28,,6:43,,,,,,,
Shelu,,,2:10,,,6:05,,,,,6:24,6:32,,6:47,,,,,,,
Neral,,,2:14,,,6:09,,,,,6:28,6:36,,6:51,,,,,,,
Bhivpuri Road,,,2:21,,,6:16,,,,,6:35,6:43,,6:58,,,,,,,
Karjat,,,2:33,5:43,,6:25,,,,,6:44,6:52,,7:08,,,,,,,
Palasdhari,,,,5:48,,,,,,,6:49,,,,,,,,,,
Kelavli,,,,5:55,,,,,,,6:56,,,,,,,,,,
Dolavli,,,,5:58,,,,,,,6:59,,,,,,,,,,
Lowjee,,,,6:02,,,,,,,7:03,,,,,,,,,,
Khopoli,,,,6:08,,,,,,,7:09,,,,,,,,,,
Shahad,,1:41,,,5:32,,,5:46,5:52,,,,6:12,,6:25,,,,6:40,6:45,
