,,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97233,95721,95611,97107,97235,97373,96517,95125,97109,95233,96637,97237,97375,96323,97113,97239,95319,97115,97377,95723,96325,95509,97379,96639,95127,97117
,DL 23,K 79,DTL 1,K 81,DL 25,T 75,AN 17,S 29,PK 21,BL 33,TL 37,DL 27,PT 5,TA 1,K 83,DL 29,A 35,K 85,T 77,K 87,A 37,AN 19,T 79,TL 39,S 31,CK 19
,,15 C,AC,,AC,,,,,,,,,,,AC,,,,AC,,,,,,
,,X,,,X,,,,,,,,X,,,X,,,X,X,,,,,,
CSMT,15:13,15:14,,15:18,15:24,15:28,15:32,15:35,,15:39,15:40,15:45,,,15:57,16:00,16:08,16:04,16:08,16:11,16:13,16:17,16:17,16:21,16:30,
Masjid,15:16,…,,15:21,15:27,15:31,15:35,…,,…,15:43,15:48,,,16:00,16:03,…,16:07,16:11,…,16:16,…,16:20,16:24,…,
Sandhurst Road,15:18,…,,15:23,15:29,15:33,15:37,…,,…,15:45,15:50,,,16:02,16:05,…,16:09,16:13,…,16:18,…,16:22,16:26,…,
Byculla,15:21,15:22,,15:26,15:32,15:36,15:40,15:43,,15:47,15:48,15:53,,,16:05,16:08,16:17,16:12,16:16,16:20,16:21,16:25,16:25,16:29,16:37,
Chinchpokli,15:23,…,,15:28,15:34,15:38,15:42,…,,…,15:50,15:55,,,16:07,16:10,…,16:14,16:18,…,16:23,…,16:27,16:31,…,
Currey Road,15:25,…,,15:30,15:36,15:40,15:44,…,,…,15:52,15:57,,,16:09,16:12,…,16:16,16:20,…,16:25,…,16:29,16:33,…,
Parel,15:29,…,,15:33,15:39,15:43,15:47,…,15:50,…,15:55,16:00,16:09,,16:12,16:15,16:23,16:19,16:23,…,16:28,…,16:32,16:36,…,
Dadar,15:32,15:28,15:33,15:36,15:42,15:46,15:50,15:50,15:53,15:54,15:58,16:03,16:12,,16:15,16:18,16:26,16:22,16:26,16:29,16:31,16:32,16:35,16:39,16:43,
Matunga,15:35,…,…,15:39,15:45,15:49,15:53,…,15:56,…,16:01,16:06,16:15,,16:18,16:21,16:29,16:25,16:29,…,16:34,…,16:38,16:42,…,
Sion,15:38,…,…,15:42,15:48,15:52,15:56,…,15:59,…,16:04,16:09,16:18,,16:21,16:24,,16:28,16:32,…,16:37,…,16:41,16:45,…,
Kurla,15:42,15:35,15:40,15:46,15:52,15:56,16:00,15:57,16:03,16:01,16:08,16:13,16:22,,16:25,16:28,16:33,16:32,16:36,16:36,16:41,16:39,16:45,16:49,16:50,16:54
Vidyavihar,15:45,…,…,15:49,15:55,15:59,16:03,…,16:06,…,16:11,16:16,16:25,,16:28,16:31,…,16:35,16:39,…,16:44,…,16:48,16:52,…,16:58
Ghatkopar,15:48,15:39,15:44,15:52,15:58,16:02,16:06,16:01,16:09,16:05,16:14,16:19,16:28,,16:31,16:34,…,16:38,16:42,16:40,16:47,16:43,16:51,16:55,16:54,17:01
Vikhroli,15:52,…,…,15:56,16:02,16:06,16:10,…,16:13,…,16:18,16:23,16:32,,16:35,16:38,16:41,16:42,16:46,…,16:51,…,16:55,16:59,…,17:05
Kanjur Marg,15:55,…,…,15:59,16:05,16:09,16:13,…,16:16,…,16:21,16:26,16:35,,16:38,16:41,…,16:45,16:49,…,16:54,…,16:58,17:02,…,17:08
