,,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,95133,96217,97415,95517,97163,96641,97417,96331,97165,97259,97167,95915,96643,97419,96219,96333,97635,97169,95011,95421,95333,97261,97421,96519,97171,97423
,S 37,BL 49,T 115,AN 27,K 121,TL 53,T 117,A 51,PK 31,DL 45,K 123,DT 3,TL 55,T 119,TBL 9,A 53,C 35,PK 33,KP 11,N 31,A 55,DL 47,T 121,AN 29,K 125,T 123
,,,,,AC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,X,,,X,,,,X,,,,,,,,X,,,X,
CSMT,19:50,19:50,19:55,20:00,20:00,20:04,20:10,20:13,,20:22,20:26,,20:30,20:34,,20:38,20:41,,20:41,20:44,20:47,20:48,20:52,20:56,21:00,21:04
Masjid,…,19:53,19:58,…,20:03,20:07,20:13,20:16,,20:25,20:29,,20:34,20:37,,20:41,20:44,,…,…,…,20:51,20:55,20:59,21:03,21:07
Sandhurst Road,…,19:55,20:00,…,20:05,20:09,20:15,20:18,,20:27,20:31,,20:36,20:39,,20:43,20:46,,…,…,…,20:53,20:57,21:01,21:05,21:09
Byculla,19:57,19:58,20:03,20:08,20:08,20:12,20:18,20:21,,20:30,20:34,,20:39,20:42,,20:46,20:49,,20:48,20:51,20:54,20:56,21:00,21:04,21:08,21:12
Chinchpokli,…,20:00,20:05,…,20:10,20:14,20:20,20:23,,20:32,20:36,,20:41,20:44,,20:48,20:51,,…,…,…,20:58,21:02,21:06,21:10,21:14
Currey Road,…,20:02,20:07,…,20:12,20:16,20:22,20:25,,20:34,20:38,,20:43,20:46,,20:50,20:53,,…,…,…,21:00,21:04,21:08,21:12,21:16
Parel,…,20:05,20:10,…,20:15,20:19,20:25,20:28,20:32,20:37,20:41,,20:46,20:49,,20:53,20:56,20:59,…,…,…,21:03,21:07,21:11,21:15,21:19
Dadar,20:03,20:08,20:13,20:16,20:18,20:22,20:28,20:31,20:34,20:40,20:44,20:45,20:49,20:52,,20:56,20:59,21:02,20:55,20:58,21:01,21:06,21:10,21:14,21:18,21:22
Matunga,…,20:11,20:17,…,20:21,20:25,20:31,20:34,20:37,20:44,20:48,…,20:52,20:55,,20:59,21:03,21:06,…,…,…,21:10,21:13,21:17,21:21,21:25
Sion,…,20:14,20:20,…,20:24,20:28,20:34,20:37,20:40,20:47,20:51,…,20:55,20:58,,21:02,21:06,21:09,…,…,…,21:13,21:16,21:20,21:24,21:28
Kurla,20:11,20:18,20:24,20:24,20:28,20:32,20:38,20:41,20:44,20:51,20:55,20:53,20:59,21:02,,21:06,21:10,21:13,21:04,21:07,21:10,21:17,21:20,21:24,21:28,21:32
Vidyavihar,…,20:21,20:27,…,20:31,20:35,20:41,20:44,20:47,20:54,20:58,…,21:02,21:05,,21:09,,21:16,…,…,…,21:20,21:23,21:27,21:31,21:35
Ghatkopar,20:15,20:24,20:30,20:28,20:34,20:38,20:44,20:47,20:50,20:57,21:01,20:57,21:05,21:08,,21:12,,21:19,21:08,21:11,21:14,21:23,21:26,21:30,21:34,21:38
