,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,96019,97641,96337,97429,96227,97431,95423,96649,97643,96339,97433,97645,96341,97435,96651,95015,97647,96115,97649,97437,96653,97439,96229,97441,97651
,KP 15,C 41,PA 1,T 129,BL 59,T 131,N 35,TL 61,C 43,PA 3,T 133,C 45,A 59,T 135,TL 63,KP 17,C 47,S 41,C 49,T 137,TL 65,T 139,BL 61,T 141,C 51
,,,,,,,,,,,,,,AC,,,,,,,,,,,
,,X,,,,,,,X,,,,,,,,X,,X,,,,,,
CSMT,22:28,22:31,,22:38,22:42,22:46,22:47,22:50,22:54,,23:00,23:04,23:08,23:12,23:16,23:18,23:23,23:30,23:34,23:38,23:42,23:46,23:51,23:55,23:58
Masjid,22:31,22:34,,22:41,22:45,22:49,…,22:53,22:57,,23:03,23:07,23:11,23:15,23:19,…,23:26,23:33,23:37,23:41,23:45,23:49,23:54,23:58,00:01
Sandhurst Road,22:33,22:36,,22:43,22:47,22:51,…,22:55,22:59,,23:05,23:09,23:13,23:17,23:21,…,23:28,23:35,23:39,23:43,23:47,23:51,23:56,00:00,00:03
Byculla,22:36,22:39,,22:46,22:50,22:54,22:55,22:58,23:02,,23:08,23:12,23:16,23:20,23:24,23:25,23:31,23:38,23:42,23:46,23:50,23:54,23:59,00:03,00:06
Chinchpokli,22:38,22:41,,22:48,22:52,22:56,…,23:00,23:04,,23:10,23:14,23:18,23:22,23:26,…,23:33,23:40,23:44,23:48,23:52,23:56,00:01,00:05,00:08
Currey Road,22:40,22:43,,22:50,22:54,22:58,…,23:02,23:06,,23:12,23:16,23:20,23:24,23:28,…,23:35,23:42,23:46,23:50,23:54,23:58,00:03,00:07,00:10
Parel,22:43,22:46,22:49,22:53,22:57,23:01,…,23:05,23:09,23:13,23:16,23:19,23:23,23:27,23:31,…,23:38,23:45,23:49,23:53,23:57,00:01,00:06,00:10,00:13
Dadar,22:46,22:49,22:52,22:56,23:00,23:04,23:05,23:08,23:12,23:16,23:19,23:22,23:26,23:30,23:34,23:31,23:41,23:48,23:52,23:56,00:00,00:04,00:09,00:13,00:16
Matunga,22:50,22:53,22:56,22:59,23:03,23:07,…,23:11,23:15,23:19,23:22,23:25,23:29,23:33,23:37,…,23:44,23:51,23:55,23:59,00:03,00:07,00:13,00:17,00:19
Sion,22:53,22:56,22:59,23:02,23:06,23:10,…,23:14,23:18,23:22,23:25,23:28,23:32,23:36,23:40,…,23:47,23:54,23:58,00:02,00:06,00:10,00:16,00:20,00:22
Kurla,22:57,23:00,23:03,23:06,23:10,23:14,23:13,23:18,23:22,23:26,23:29,23:33,23:36,23:40,23:44,23:38,23:51,23:58,00:02,00:06,00:10,00:14,00:20,00:24,00:27
Vidyavihar,23:00,,23:06,23:09,23:13,23:17,…,23:21,,23:29,23:32,,23:39,23:43,23:47,…,,00:01,,00:09,00:13,00:17,00:23,00:27,
Ghatkopar,23:03,,23:09,23:12,23:16,23:20,23:18,23:24,,23:32,23:35,,23:42,23:46,23:50,23:42,,00:04,,00:12,00:16,00:20,00:26,00:30,
Vikhroli,23:07,,23:13,23:16,23:20,23:24,…,23:28,,23:36,23:39,,23:46,23:50,23:54,…,,00:08,,00:16,00:20,00:24,00:30,00:35,
Kanjur Marg,23:10,,23:16,23:19,23:23,23:27,…,23:31,,23:39,23:42,,23:49,23:53,23:57,…,,00:11,,00:19,00:23,00:27,00:33,00:38,
Bhandup,23:13,,23:19,23:22,23:26,23:30,…,23:34,,23:42,23:45,,23:52,23:56,,…,,00:14,,00:22,00:26,00:30,00:36,00:40,
Nahur,23:16,,23:22,23:25,23:29,23:33,…,23:37,,23:45,23:48,,23:55,23:59,00:03,…,,00:17,,00:25,00:29,00:33,00:39,00:43,
Mulund,23:19,,23:25,23:28,23:32,23:36,23:30,23:40,,23:48,23:51,,23:58,00:02,00:06,23:54,,00:20,,00:28,00:32,00:36,00:42,00:46,
Thane,23:23,,23:29,23:33,23:37,23:41,23:34,23:45,,23:53,23:57,,00:03,00:07,00:11,23:58,,00:25,,00:33,00:37,00:41,00:47,00:51,
Kalva,23:28,,23:34,,23:43,,…,23:50,,23:58,,,00:08,,00:16,…,,00:30,,,00:42,,00:52,,
Mumbra,23:34,,23:40,,23:49,,…,23:56,,00:04,,,00:14,,00:22,…,,00:36,,,00:48,,00:58,,
Diva,23:38,,23:44,,23:53,,…,,,00:08,,,00:18,,00:26,…,,00:40,,,00:52,,01:02,,
Kopar,23:43,,23:49,,23:58,,…,00:05,,00:13,,,00:23,,00:31,…,,00:45,,,00:57,,01:07,,
Dombivli,23:47,,23:53,,00:01,,23:50,00:08,,00:17,,,00:26,,00:34,00:13,,00:48,,,01:01,,01:10,,
Thakurli,23:51,,23:56,,00:04,,…,00:12,,00:21,,,00:30,,00:38,…,,00:52,,,01:05,,01:13,,
Kalyan,23:58,,00:02,,00:12,,00:01,00:18,,00:27,,,00:36,,00:44,00:21,,00:58,,,01:11,,01:19,,
Vithalwadi,0:02,,0:07,,0:16,,,,,0:32,,,0:41,,,0:26,,1:03,,,,,1:23,,
Ulhas Nagar,0:05,,0:10,,0:19,,,,,0:35,,,0:44,,,0:29,,1:06,,,,,1:26,,
Ambernath,0:09,,0:16,,0:23,,,,,0:41,,,0:50,,,0:33,,1:10,,,,,1:30,,
Badlapur,0:16,,,,0:32,,,,,,,,,,,0:40,,1:17,,,,,1:39,,
Vangani,0:25,,,,,,,,,,,,,,,0:48,,1:25,,,,,,,
Shelu,0:29,,,,,,,,,,,,,,,0:52,,1:29,,,,,,,
Neral,0:33,,,,,,,,,,,,,,,0:56,,1:33,,,,,,,
Bhivpuri Road,0:40,,,,,,,,,,,,,,,1:03,,1:40,,,,,,,
Karjat,0:50,,,,,,,,,,,,,,,1:12,,1:49,,,,,,,
Palasdhari,0:55,,,,,,,,,,,,,,,1:17,,,,,,,,,
Kelavli,1:02,,,,,,,,,,,,,,,1:24,,,,,,,,,
Dolavli,1:05,,,,,,,,,,,,,,,1:27,,,,,,,,,
Lowjee,1:09,,,,,,,,,,,,,,,1:31,,,,,,,,,
Khopoli,1:15,,,,,,,,,,,,,,,1:38,,,,,,,,,
Shahad,,,,,,,0:06,0:22,,,,,,,0:48,,,,,,1:15,,,,
Ambivli,,,,,,,0:09,0:25,,,,,,,0:51,,,,,,1:18,,,,
