Kopar,06:35,06:43,06:51,06:55,…,06:59,07:06,07:10,07:16,…,,…,07:21,07:25,07:28,07:32,07:37,…,07:41,07:45,07:48,07:52,08:03
Dombivli,06:38,06:46,06:54,06:59,06:41,07:03,07:10,07:14,07:20,07:02,,07:05,07:25,07:29,07:32,07:35,07:41,07:20,07:45,07:49,07:52,07:56,08:07
Thakurli,06:42,06:50,06:57,07:03,…,07:07,07:15,07:19,07:24,…,,…,07:29,07:33,07:36,07:39,,…,07:49,07:53,,08:00,08:11
Kalyan,06:47,06:56,07:04,07:09,06:50,07:14,07:22,07:25,07:32,07:10,,07:15,07:35,07:39,07:43,07:47,,07:27,07:55,08:01,08:04,08:06,08:17
Vithalwadi,,,,7:13,6:54,,,,,,,7:19,,,,7:51,,7:31,,,,,8:21
Ulhas Nagar,,,,7:16,6:57,,,,,,,7:22,,,,7:54,,7:33,,,,,8:24
Ambernath,,,,7:23,7:03,,,,,,,7:27,,,,8:00,,7:37,,,,,8:30
Badlapur,,,,,7:10,,,,,,,7:34,,,,,,7:45,,,,,
Vangani,,,,,7:19,,,,,,,7:43,,,,,,,,,,,
Shelu,,,,,7:23,,,,,,,7:47,,,,,,,,,,,
Neral,,,,,7:27,,,,,,,7:51,,,,,,,,,,,
Bhivpuri Road,,,,,7:34,,,,,,,7:58,,,,,,,,,,,
Karjat,,,,,7:43,,,,,,8:00,8:08,,,,,,,,,,,
Palasdhari,,,,,,,,,,,8:05,,,,,,,,,,,,
Kelavli,,,,,,,,,,,8:12,,,,,,,,,,,,
Dolavli,,,,,,,,,,,8:15,,,,,,,,,,,,
Lowjee,,,,,,,,,,,8:19,,,,,,,,,,,,
Khopoli,,,,,,,,,,,8:25,,,,,,,,,,,,
Shahad,,7:00,,,,,7:26,,7:36,,,,,,7:47,,,,,8:05,8:08,,
