,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,95907,97613,95213,97337,95307,96619,97505,95113,96007,97615,95713,97053,95215,97339,95309,97055,95407,97341,95217,97217,95311,97057,95715,97343,97617
,T 37,C 13,BL 13,T 39,A 13,TL 17,G 5,S 17,SKP 7,C 15,K 37,K 39,BL 15,T 41,A 15,K 41,N 13,T 43,BL 17,DL 11,A 17,PK 9,DK 1,T 45,C 17
,15 C,,,,AC,,,,,,AC,,,,,,,,,AC,,,15 C,,
,X,X,,,X,,,,,,,,,,,,,X,,X,,,X,X,X
CSMT,09:42,09:45,09:46,09:49,09:51,09:53,09:57,09:57,,10:00,10:04,10:04,10:08,10:07,10:12,10:14,10:16,10:18,10:20,10:22,10:25,,,10:27,10:30
Masjid,…,09:48,…,09:52,…,09:56,10:00,…,,10:03,…,10:07,…,10:10,…,10:17,…,10:21,…,10:25,…,,,10:30,10:33
Sandhurst Road,…,09:50,…,09:54,…,09:58,10:02,…,,10:05,…,10:09,…,10:12,…,10:19,…,10:23,…,10:27,…,,,10:32,10:35
Byculla,…,09:53,09:53,09:57,09:58,10:01,10:05,10:05,,10:08,10:11,10:12,10:15,10:15,10:19,10:22,10:23,10:26,10:27,10:30,10:32,,,10:35,10:38
Chinchpokli,…,09:55,…,09:59,…,10:03,10:07,…,,10:10,…,10:14,…,10:17,…,10:24,…,10:28,…,10:32,…,,,10:37,10:40
Currey Road,…,09:57,…,10:01,…,10:05,10:09,…,,10:12,…,10:16,…,10:19,…,10:26,…,10:30,…,10:34,…,,,10:39,10:42
Parel,…,10:00,…,10:04,…,10:08,10:12,…,,10:15,…,10:19,…,10:22,…,10:29,…,10:33,…,10:37,…,10:40,,10:44,10:47
Dadar,09:55,10:03,09:59,10:07,10:04,10:11,10:15,10:11,,10:18,10:17,10:22,10:21,10:25,10:25,10:32,10:29,10:36,10:33,10:40,10:38,10:44,10:45,10:47,10:52
Matunga,…,10:06,…,10:10,…,10:14,10:18,…,,10:21,…,10:25,…,10:28,…,10:34,…,10:39,…,10:43,…,10:48,…,10:51,10:55
