,N 8,DL 10,T 34,A 18,K 26,K 30,TL 16,BL 10,T 36,K 34,K 28,N 10
,,,,,,,,,,15 C,L SPL,
,,,,,X,,,,X,X,X,
Kasara,6:57,,,,,,,,,,,7:22
Umbermali,7:08,,,,,,,,,,,7:33
Khardi,7:14,,,,,,,,,,,7:39
Thansit,7:19,,,,,,,,,,,7:44
Atgaon,7:24,,,,,,,,,,,7:49
Asangaon,7:35,,,,,,,,,,,7:59
Vasind,7:43,,,,,,,,,,,8:05
Khadavli,7:50,,,,,,,,,,,8:12
Titwala,7:57,,,,,,7:45,,,,,8:19
Ambivli,8:03,,,,,,7:51,,,,,8:25
Shahad,8:07,,,,,,7:55,,,,,8:29
Khopoli,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,
