,N 2,T 14,A 6,T 16,S 6,S 8,TL 6,A 8,K 4,K 6,DL 4,DL 2,KP 2,TL 8,T 18
,,,,,,,,,,,15 C,,,,
,,,,,,,,,,,X,,,,X
Kasara,3:51,,,,,,,,,,,,,,
Umbermali,4:02,,,,,,,,,,,,,,
Khardi,4:08,,,,,,,,,,,,,,
Thansit,4:13,,,,,,,,,,,,,,
Atgaon,4:18,,,,,,,,,,,,,,
Asangaon,4:28,,,,,,,,,,,,,,
Vasind,4:34,,,,,,,,,,,,,,
Khadavli,4:41,,,,,,,,,,,,,,
Titwala,4:48,,,,,,5:11,,,,,,,5:34,
Ambivli,4:54,,,,,,5:17,,,,,,,5:40,
Shahad,4:57,,,,,,5:21,,,,,,,5:44,
Khopoli,,,,,,,,,,,,,04:50,,
Lowjee,,,,,,,,,,,,,04:54,,
Dolavli,,,,,,,,,,,,,04:58,,
Kelavli,,,,,,,,,,,,,05:01,,
Palasdhari,,,,,,,,,,,,,05:08,,
Karjat,,,,,04:27,04:53,,,,,,,05:20,,
Bhivpuri road,,,,,04:36,05:02,,,,,,,05:29,,
Neral,,,,,04:43,05:09,,,,,,,05:36,,
Shelu,,,,,04:47,05:13,,,,,,,05:40,,
Vangani,,,,,04:51,05:17,,,,,,,05:44,,
Badlapur,,,,,05:00,05:25,,,,,,,05:52,,
Ambernath,,,04:55,,05:07,05:32,,05:18,,,,,05:59,,
Ulhas nagar,,,05:00,,05:11,05:36,,05:23,,,,,06:03,,
Vithalwadi,,,05:03,,05:14,05:39,,05:26,,,,,06:06,,
Kalyan,05:03,,05:09,,05:20,05:45,05:28,05:31,05:39,05:43,,,06:12,05:50,
Thakurli,05:08,,05:14,,05:26,,05:34,05:38,05:46,05:50,,,,05:56,
Dombivli,05:11,,05:17,,05:29,05:51,05:37,05:41,05:49,05:53,06:14,05:56,06:18,06:00,
Kopar,05:14,,05:20,,05:32,…,05:40,05:44,05:52,05:56,…,06:00,…,06:04,
Diwa,05:19,,05:25,,05:37,…,05:45,05:49,05:57,06:01,…,06:05,06:23,06:09,
Mumbra,05:23,,05:29,,05:41,…,05:49,05:53,06:01,06:05,…,06:09,…,06:13,
Kalva,05:29,,05:35,,05:47,…,05:55,05:59,06:07,06:11,…,06:15,…,06:19,
Thane,05:34,05:37,05:40,05:47,05:52,06:06,06:00,06:04,06:12,06:16,06:30,06:20,06:34,06:24,06:28
Mulund,05:38,05:41,05:45,05:52,05:56,06:09,06:04,06:08,06:16,06:20,...,06:24,06:38,06:28,06:32
Nahur,05:41,05:44,05:48,05:55,05:59,...,06:07,06:11,06:19,06:23,...,06:27,...,06:31,06:35
Bhandup,05:44,05:47,05:51,05:58,06:02,...,06:10,06:14,06:22,06:26,06:38,06:30,...,06:34,06:38
Kanjur marg,05:47,05:50,05:54,06:01,06:05,...,06:13,06:17,06:25,06:29,...,06:33,...,06:37,06:41
Vikhroli,05:50,05:53,05:57,06:04,06:08,...,06:16,06:20,06:28,06:32,...,06:36,...,06:40,06:44
Ghatkopar,05:54,05:57,06:01,06:08,06:12,06:18,06:20,06:24,06:32,06:36,06:45,06:40,06:49,06:44,06:48
Vidyavihar,05:57,06:00,06:04,06:11,06:15,...,06:23,06:27,06:35,06:39,...,06:43,...,06:47,06:51
Kurla,06:00,06:03,06:07,06:14,06:18,06:22,06:26,06:30,06:38,06:42,06:49,06:46,06:53,06:50,06:54
Sion,06:04,06:07,06:11,06:18,06:22,...,06:30,06:34,06:42,06:46,...,06:50,...,06:54,06:58
Matunga,06:07,06:10,06:14,06:21,06:25,06:26,06:33,06:37,06:45,06:49,...,06:53,...,06:57,07:01
Dadar,06:11,06:14,06:18,06:25,06:29,06:31,06:37,06:41,06:49,06:53,06:57,06:57,07:01,07:01,07:05
Parel,06:14,06:17,06:21,06:28,06:32,06:34,06:40,06:44,06:52,06:56,…,07:00,…,07:04,07:08
Currey road,06:17,06:20,06:24,06:31,06:35,…,06:43,06:47,06:55,06:59,…,07:03,…,07:07,07:11
Chinchpokli,06:19,06:22,06:26,06:33,06:37,…,06:45,06:49,06:57,07:01,…,07:05,…,07:09,07:13
Byculla,06:21,06:25,06:28,06:35,06:39,06:40,06:47,06:51,06:59,07:03,07:03,07:07,07:08,07:11,07:15
Sandhurst road,06:24,06:28,06:31,06:38,06:42,…,06:50,06:54,07:02,07:06,…,07:10,…,07:14,07:18
Masjid,06:27,06:31,06:34,06:41,06:45,…,06:53,06:57,07:05,07:09,…,07:13,…,07:17,07:21
CSMT,06:30,06:34,06:38,06:44,06:48,06:51,06:56,07:00,07:08,07:12,07:14,07:16,07:18,07:20,07:24
