Badlapur,,,,,,09:29,,,09:38,,,,,,
Ambernath,,,,,,09:37,,,09:45,,,,09:52,,
Ulhas nagar,,,,,,09:41,,,09:49,,,,09:57,,
Vithalwadi,,,,,,09:44,,,09:52,,,,10:00,,
Kalyan,09:32,09:23,09:26,,09:47,09:50,09:43,09:29,09:58,,10:02,,10:06,,
Thakurli,09:38,09:28,09:31,,…,…,09:49,09:34,…,,…,,…,,
Dombivli,09:41,09:31,09:34,,09:55,09:58,09:52,09:37,10:04,,10:07,09:47,10:13,,
Kopar,09:44,09:34,09:37,,…,…,09:55,09:40,…,,…,09:51,…,,
Diwa,09:49,09:39,09:42,,…,…,10:00,09:45,…,,…,09:56,10:18,,
Mumbra,09:53,09:43,09:46,,…,…,10:04,09:49,…,,…,10:00,…,,
Kalva,09:59,09:49,09:52,,…,…,10:10,09:55,…,,…,10:06,…,,
Thane,10:05,09:54,09:57,09:57,10:10,10:13,10:16,10:00,10:20,10:06,10:23,10:11,10:29,,10:20
Mulund,10:10,10:00,,10:03,...,...,10:20,10:06,10:24,10:12,,10:16,...,,10:25
Nahur,...,10:03,,10:06,...,...,...,10:09,...,10:15,...,10:19,...,,10:28
Bhandup,...,10:06,,10:09,...,10:22,...,10:12,...,10:18,...,10:22,...,,10:31
Kanjur marg,...,10:09,,10:12,...,...,...,10:15,...,10:21,...,10:25,...,,10:34
Vikhroli,...,10:12,,10:15,...,...,10:29,10:18,...,10:24,...,10:28,...,,10:37
Ghatkopar,10:22,10:16,,10:19,10:27,10:30,...,10:22,10:37,10:28,10:40,10:32,10:43,10:35,10:41
Vidyavihar,...,10:19,,10:22,...,...,...,10:25,...,10:31,...,10:35,...,10:38,10:44
Kurla,10:26,10:22,,10:25,10:31,10:34,10:38,10:28,10:41,10:34,10:44,10:38,10:47,10:41,10:47
Sion,...,10:26,,10:29,...,...,...,10:32,...,10:38,...,10:42,...,10:45,10:51
Matunga,...,10:29,,10:32,...,...,...,10:35,...,10:41,...,10:46,...,10:49,10:54
Dadar,10:35,10:33,,10:36,10:40,10:43,10:46,10:39,10:49,10:45,10:52,10:49,10:55,10:52,10:58
Parel,…,10:36,,10:39,,…,…,10:42,…,10:48,,10:52,…,10:55,11:01
Currey road,…,10:39,,10:42,,…,…,10:45,…,10:51,,,…,10:58,11:04
Chinchpokli,…,10:41,,10:44,,…,…,10:47,…,10:53,,,…,11:00,11:06
Byculla,10:41,10:43,,10:46,,10:49,10:52,10:49,10:55,10:55,,,11:01,11:02,11:08
Sandhurst road,…,10:46,,10:49,,…,…,10:52,…,10:58,,,…,11:05,11:11
Masjid,…,10:49,,10:52,,…,…,10:55,…,11:01,,,…,11:08,11:14
CSMT,10:50,10:52,,10:56,,10:57,11:00,11:00,11:03,11:04,,,11:10,11:12,11:17
