,K 48,AN 10,T 66,T 62,A 26,PTL 4,T 64,S 22,K 50,T 68,K 52,DL 16,TL 22,AN 12
,,,15 C,,,,,,,,AC,,,
,,,X,X,,,X,,X,,X,,,
Kasara,,,,,,,,,,,,,,
Umbermali,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,9:18,,,,,,,,,,,,10:03
Vasind,,9:26,,,,,,,,,,,,10:12
Khadavli,,9:33,,,,,,,,,,,,10:19
Titwala,,9:40,,,,9:53,,,,,,,10:20,10:25
Ambivli,,9:46,,,,9:59,,,,,,,10:26,10:31
Shahad,,9:49,,,,10:03,,,,,,,10:30,10:34
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
