,TK 6,K 54,DA 2,T 74,BL 22,A 30,TL 28,DL 20,PK 16,S 26,BL 24,K 56,N 16,AN 14
,,15 C,,,,AC,,AC,,,,,,
,,X,,X,,X,,X,,,,,,
Kasara,,,,,,,,,,,,,11:10,
Umbermali,,,,,,,,,,,,,11:21,
Khardi,,,,,,,,,,,,,11:27,
Thansit,,,,,,,,,,,,,11:32,
Atgaon,,,,,,,,,,,,,11:37,
Asangaon,,,,,,,,,,,,,11:47,11:16
Vasind,,,,,,,,,,,,,11:53,11:24
Khadavli,,,,,,,,,,,,,12:00,11:31
Titwala,,,,,,,11:18,,,,,,12:07,11:38
Ambivli,,,,,,,11:24,,,,,,12:13,11:44
Shahad,,,,,,,11:28,,,,,,12:16,11:47
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
