Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Karjat,12:23,,,,,,,,,,,,13:00,,
Bhivpuri road,12:32,,,,,,,,,,,,13:09,,
Neral,12:39,,,,,,,,,,,,13:16,,
Shelu,12:43,,,,,,,,,,,,13:20,,
Vangani,12:47,,,,,,,,,,,,13:24,,
Badlapur,12:55,,,,,,,,,,13:22,,13:32,,
Ambernath,13:02,,,,12:50,,,,,,13:31,,13:39,,
Ulhas nagar,13:06,,,,12:55,,,,,,13:35,,13:44,,
Vithalwadi,13:09,,,,12:58,,,,,,13:38,,13:47,,
Kalyan,13:16,12:53,,13:00,13:04,13:09,13:32,13:14,13:19,13:36,13:44,,13:53,13:28,
Thakurli,,12:59,,13:06,13:10,13:14,,13:19,13:25,,,,,13:34,
Dombivli,13:22,13:02,,13:09,13:13,13:17,13:38,13:22,13:28,13:42,13:51,13:32,14:00,13:37,
Kopar,…,13:05,,13:12,13:16,13:20,…,13:25,13:31,…,…,13:36,…,13:40,
Diwa,13:27,13:10,,13:17,13:21,13:25,13:43,13:30,13:36,…,13:56,13:41,…,13:45,
Mumbra,…,13:14,,13:21,13:25,13:29,…,13:34,13:40,…,…,13:45,…,13:49,
Kalva,…,13:20,,13:27,13:31,13:35,…,13:40,13:46,…,…,13:51,…,13:55,
Thane,13:38,13:25,13:28,13:32,13:36,13:40,13:55,13:45,13:51,13:58,14:07,13:56,14:15,14:00,14:03
Mulund,...,13:29,13:33,13:37,13:41,,...,13:49,13:55,...,14:11,14:00,...,14:04,14:09
Nahur,...,13:32,13:36,13:40,13:44,,...,13:52,13:58,...,...,14:03,...,14:07,14:12
Bhandup,...,13:35,13:39,13:43,13:47,,...,13:55,14:01,...,...,14:06,...,14:10,14:15
Kanjur marg,...,13:38,13:42,13:46,13:50,,...,13:58,14:04,...,...,14:09,...,14:13,14:18
Vikhroli,...,13:41,13:45,13:49,13:53,,...,14:01,14:07,...,...,14:12,...,14:16,14:21
Ghatkopar,13:53,13:45,13:49,13:53,13:57,,14:11,14:05,14:11,14:14,14:23,14:16,14:29,14:20,14:25
Vidyavihar,...,13:48,13:52,13:56,14:00,,...,14:08,14:14,...,...,14:19,...,14:23,14:28
Kurla,13:57,13:51,13:55,13:59,14:03,,14:15,14:11,14:17,14:18,14:27,14:22,14:33,14:26,14:31
Sion,...,13:55,13:59,14:03,14:07,,...,14:15,,...,...,14:26,...,14:30,14:35
Matunga,...,13:58,14:02,14:06,14:10,,...,14:18,,...,...,14:29,...,14:33,14:38
Dadar,14:05,14:02,14:06,14:10,14:14,,14:23,14:22,,14:26,14:35,14:33,14:41,14:37,14:42
Parel,…,14:05,14:09,14:13,14:17,,…,14:25,,…,…,14:36,…,14:40,14:45
Currey road,…,14:08,14:12,14:16,14:20,,…,14:28,,…,…,14:39,…,14:43,14:48
Chinchpokli,…,14:10,14:14,14:18,14:22,,…,14:30,,…,,14:41,…,14:45,14:50
Byculla,14:11,14:12,14:16,14:20,14:24,,14:29,14:32,,14:32,14:40,14:43,14:47,14:47,14:52
Sandhurst road,…,14:15,14:19,14:23,14:27,,…,14:35,,…,…,14:46,…,14:50,14:55
Masjid,…,14:18,14:22,14:26,14:30,,…,14:38,,…,…,14:49,…,14:53,14:58
CSMT,14:20,14:21,14:25,14:29,14:33,,14:38,14:41,,14:41,14:49,14:52,14:55,14:57,15:01
