,T 84,A 40,PT 2,SKP 12,TS 2,N 20,S 34,K 74,K 76,T 86,A 44,K 78,KP 8,DL 30,PT 4
,AC,AC,,,,,,,,,,,,,
,X,X,,,,,,,,X,,,,,X
Kasara,,,,,,13:31,,,,,,,,,
Umbermali,,,,,,13:42,,,,,,,,,
Khardi,,,,,,13:48,,,,,,,,,
Thansit,,,,,,13:53,,,,,,,,,
Atgaon,,,,,,13:58,,,,,,,,,
Asangaon,,,,,,14:08,,,,,,,,,
Vasind,,,,,,14:14,,,,,,,,,
Khadavli,,,,,,14:21,,,,,,,,,
Titwala,,,,,,14:28,,,,,,,,,
Ambivli,,,,,,14:34,,,,,,,,,
Shahad,,,,,,14:37,,,,,,,,,
Khopoli,,,,12:40,,,,,,,,,13:48,,
Lowjee,,,,12:44,,,,,,,,,13:52,,
Dolavli,,,,12:48,,,,,,,,,13:56,,
Kelavli,,,,12:51,,,,,,,,,13:59,,
Palasdhari,,,,12:58,,,,,,,,,14:06,,
Karjat,,,,13:05,13:27,,13:55,,,,,,14:14,,
Bhivpuri road,,,,,13:36,,14:04,,,,,,14:23,,
Neral,,,,,13:43,,14:11,,,,,,14:30,,
Shelu,,,,,13:47,,14:15,,,,,,14:34,,
Vangani,,,,,13:51,,14:19,,,,,,14:38,,
Badlapur,,,,,13:59,,14:27,,,,,,14:46,,
Ambernath,,14:00,,,14:06,,14:34,,,,14:45,,14:53,,
Ulhas nagar,,14:05,,,14:10,,14:38,,,,14:50,,14:57,,
Vithalwadi,,14:08,,,14:13,,14:41,,,,14:53,,15:00,,
Kalyan,,14:15,,,14:20,14:44,14:47,14:25,14:33,,14:58,14:41,15:06,,
Thakurli,,14:23,,,14:27,,,14:32,14:39,,,14:47,,,
Dombivli,,14:26,,,14:30,14:51,14:54,14:35,14:42,,15:05,14:50,15:12,14:56,
Kopar,,14:29,,,14:33,…,…,14:38,14:45,,…,14:53,…,14:59,
Diwa,,14:34,,,14:38,14:56,…,14:43,14:50,,…,14:58,…,15:04,
Mumbra,,14:38,,,14:42,…,…,14:47,14:54,,…,15:02,…,15:08,
Kalva,,14:44,,,14:48,…,…,14:53,15:00,,…,15:08,…,15:14,
Thane,15:03,14:49,14:52,,14:53,15:08,15:11,14:58,15:05,15:08,15:22,15:13,15:27,15:19,15:23
Mulund,...,14:54,14:58,,,...,...,15:03,15:10,15:14,15:26,15:18,...,15:24,15:28
Nahur,...,14:57,15:01,,,...,...,15:06,15:13,15:17,...,15:21,...,15:27,15:31
Bhandup,...,15:00,15:04,,,...,...,15:09,15:16,15:20,...,15:24,...,15:30,15:34
Kanjur marg,...,15:03,15:07,,,...,...,15:12,15:19,15:23,...,15:27,...,15:33,15:37
Vikhroli,...,15:06,15:10,,,...,...,15:15,15:22,15:26,...,15:30,...,15:36,15:40
Ghatkopar,15:19,15:10,15:14,,,15:23,15:26,15:19,15:26,15:30,15:38,15:34,15:41,15:40,15:44
Vidyavihar,...,15:13,15:17,,,...,...,15:22,15:29,15:33,...,15:37,...,15:43,15:47
Kurla,15:23,15:16,15:20,,,15:27,15:30,15:25,15:32,15:36,15:42,15:40,15:45,15:46,15:50
Sion,...,15:20,15:24,,,...,...,15:29,15:36,15:40,...,15:44,...,15:50,15:54
Matunga,...,15:23,15:27,,,...,...,15:32,15:39,15:43,...,15:47,...,15:53,15:57
Dadar,15:31,15:27,15:31,,,15:35,15:38,15:36,15:43,15:47,15:50,15:51,15:53,15:57,16:01
Parel,…,15:30,15:34,,,…,…,15:39,15:46,15:50,…,15:54,…,16:00,16:04
Currey road,…,15:33,,,,…,…,15:42,15:49,15:53,…,15:57,…,16:03,
Chinchpokli,…,15:35,,,,…,…,15:44,15:51,15:55,…,15:59,…,16:05,
Byculla,15:37,15:37,,,,15:41,15:45,15:46,15:53,15:57,15:57,16:01,16:01,16:07,
Sandhurst road,…,15:40,,,,…,…,15:49,15:56,16:00,…,16:04,…,16:10,
Masjid,…,15:43,,,,…,…,15:52,15:59,16:03,…,16:07,…,16:13,
CSMT,15:45,15:47,,,,15:49,15:55,15:55,16:02,16:06,16:09,16:11,16:14,16:17,
