,BL 36,C 14,TL 42,A 46,T 88,K 80,TK 12,C 16,AN 16,T 90,TL 44,BL 38,DL 32,N 22
,,,,AC,,,,,,,,,,
,,X,,X,X,,,X,,,,,,
Kasara,,,,,,,,,,,,,,14:42
Umbermali,,,,,,,,,,,,,,14:53
Khardi,,,,,,,,,,,,,,14:59
Thansit,,,,,,,,,,,,,,15:04
Atgaon,,,,,,,,,,,,,,15:09
Asangaon,,,,,,,,,15:02,,,,,15:18
Vasind,,,,,,,,,15:10,,,,,15:24
Khadavli,,,,,,,,,15:17,,,,,15:31
Titwala,,,14:44,,,,,,15:24,,15:08,,,15:39
Ambivli,,,14:50,,,,,,15:30,,15:14,,,15:45
Shahad,,,14:54,,,,,,15:33,,15:18,,,15:49
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
