Bhivpuri road,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,,
Badlapur,14:57,,,,,,,,,,,15:32,,,
Ambernath,15:05,,,15:12,,,,,,,,15:40,,,
Ulhas nagar,15:09,,,15:17,,,,,,,,15:44,,,
Vithalwadi,15:12,,,15:20,,,,,,,,15:47,,,
Kalyan,15:17,,15:00,15:25,,15:10,15:14,,15:40,,15:24,15:52,,15:56,15:30
Thakurli,…,,15:05,…,,15:16,15:20,,,,15:29,,,,15:36
Dombivli,15:23,,15:08,15:31,,15:19,15:23,,15:47,,15:32,15:58,15:35,16:03,15:39
Kopar,…,,15:11,…,,15:22,15:26,,…,,15:35,…,15:39,…,15:43
Diwa,…,,15:16,…,,15:27,15:31,,…,,15:40,…,15:44,16:08,15:48
Mumbra,…,,15:20,…,,15:31,15:35,,…,,15:44,…,15:48,…,15:52
Kalva,…,,15:26,…,,15:37,15:41,,…,,15:50,…,15:54,…,15:58
Thane,15:38,,15:31,15:46,15:36,15:42,15:46,,16:02,15:51,15:55,16:13,15:59,16:19,16:03
Mulund,15:42,,15:36,...,15:42,15:46,,,...,15:56,16:00,...,16:04,...,16:09
Nahur,...,,15:39,...,15:45,15:49,,,...,15:59,16:03,...,16:07,...,16:12
Bhandup,,,15:42,15:54,15:48,15:52,,,...,16:02,16:06,16:21,16:10,16:27,16:15
Kanjur marg,...,,15:45,...,15:51,15:55,,,...,16:05,16:09,...,16:13,...,16:18
Vikhroli,...,,15:48,...,15:54,15:58,,,...,16:08,16:12,...,16:16,...,16:21
Ghatkopar,15:54,,15:52,16:02,15:58,16:02,,,16:18,16:12,16:16,16:29,16:20,16:36,16:25
Vidyavihar,...,,15:55,...,16:01,16:05,,,...,16:15,16:19,...,16:23,...,16:28
Kurla,15:58,15:54,15:58,16:06,16:04,16:08,,16:12,16:22,16:18,16:22,16:33,16:26,16:40,16:31
Sion,...,15:58,16:02,...,16:08,16:12,,16:16,...,16:22,16:26,...,16:30,...,16:35
Matunga,...,16:02,16:05,...,16:11,16:15,,16:20,...,16:25,16:29,...,16:33,...,16:38
Dadar,16:06,16:05,16:09,16:14,16:15,16:19,,16:23,16:30,16:29,16:33,16:41,16:37,16:48,16:42
Parel,…,16:08,16:12,…,16:18,16:22,,16:26,…,16:32,16:36,…,16:40,…,16:46
Currey road,…,16:11,16:15,…,16:21,16:25,,16:29,…,16:35,16:39,…,16:43,…,16:49
Chinchpokli,…,16:13,16:17,…,16:23,16:27,,16:31,…,16:37,16:41,…,16:45,…,16:51
Byculla,16:12,16:15,16:19,16:20,16:25,16:29,,16:33,16:36,16:39,16:43,16:47,16:47,16:54,16:53
Sandhurst road,…,16:18,16:22,…,16:28,16:32,,16:36,…,16:42,16:46,…,16:50,…,16:56
Masjid,…,16:21,16:25,…,16:31,16:35,,16:39,…,16:45,16:49,…,16:53,…,16:59
CSMT,16:23,16:24,16:29,16:31,16:34,16:38,,16:42,16:44,16:48,16:52,16:56,16:56,17:02,17:04
