Bhivpuri road,,,,,,,,15:35,,,,,,
Neral,,,,,,,,15:42,,,,,,
Shelu,,,,,,,,15:46,,,,,,
Vangani,,,,,,,,15:50,,,,,,
Badlapur,,15:47,,,,,,15:58,,,,,,
Ambernath,,15:55,,,,,,16:05,,,,,,
Ulhas nagar,,15:59,,,,,,16:09,,,,,,
Vithalwadi,,16:02,,,,,,16:12,,,,,,
Kalyan,,16:07,15:37,,15:47,15:51,16:15,16:18,,16:21,15:58,16:04,16:10,16:28
Thakurli,,,15:43,,15:53,15:57,…,,,…,16:04,16:09,16:15,…
Dombivli,,16:13,15:46,,15:56,16:00,16:21,16:24,,16:29,16:07,16:12,16:18,16:36
Kopar,,…,15:49,,15:59,16:03,…,…,,…,16:10,16:15,16:21,…
Diwa,,…,15:54,,16:04,16:08,…,…,,…,16:15,16:20,16:26,…
Mumbra,,…,15:58,,16:08,16:12,…,…,,…,16:19,16:24,16:30,…
Kalva,,…,16:04,,16:14,16:18,…,…,,…,16:25,16:30,16:36,…
Thane,,16:28,16:09,16:12,16:19,16:23,16:37,16:40,16:30,16:45,16:30,16:35,16:41,16:52
Mulund,,16:32,16:15,16:18,16:24,16:28,16:41,16:44,16:36,16:49,,16:40,16:45,...
Nahur,,...,16:18,16:21,16:27,16:31,...,...,16:39,...,,16:43,16:48,...
Bhandup,,...,16:21,16:24,16:30,16:34,...,...,16:42,...,,16:46,16:51,...
Kanjur marg,,...,16:24,16:27,16:33,16:37,...,...,16:45,...,,16:49,16:54,...
Vikhroli,,,16:27,16:30,16:36,16:40,...,...,16:48,...,,16:52,16:57,
Ghatkopar,,16:45,16:31,16:34,16:40,16:44,16:53,16:56,16:52,17:01,,16:56,17:01,17:08
Vidyavihar,,...,16:35,16:38,16:43,16:47,...,...,16:55,...,,16:59,17:04,...
Kurla,16:34,16:49,16:38,16:41,16:46,16:50,16:57,17:00,16:58,17:05,,17:02,17:07,17:12
Sion,16:38,...,16:42,16:45,16:50,16:54,...,...,17:02,...,,17:06,17:11,...
Matunga,16:41,...,16:45,16:48,16:53,16:57,...,...,17:05,...,,17:09,17:14,...
Dadar,16:45,16:57,16:49,16:52,16:57,17:01,17:05,17:08,17:09,17:13,,17:12,17:17,17:20
Parel,16:49,…,16:53,16:56,17:00,17:04,…,…,17:12,…,,17:15,17:20,
Currey road,16:53,…,16:57,17:00,,17:07,…,…,17:15,…,,17:18,17:23,
Chinchpokli,16:55,…,16:59,17:02,,17:09,…,…,17:17,…,,17:20,17:25,
Byculla,16:57,17:03,17:01,17:04,,17:11,17:14,17:17,17:19,17:20,,17:22,17:27,
Sandhurst road,17:00,…,17:04,17:08,,17:14,…,…,17:22,…,,17:25,17:30,
Masjid,17:03,…,17:07,17:11,,17:17,…,…,17:25,…,,17:28,17:33,
CSMT,17:08,17:13,17:12,17:16,,17:20,17:22,17:26,17:28,17:30,,17:32,17:37,
