,A 48,T 96,PK 24,BL 42,K 92,C 20,N 24,K 90,S 38,T 98,DL 34,T 100,DA 4,PT 6,TL 50
,,,,,,,,,,,,,,,AC
,,,,,,X,,,,X,,X,,X,
Kasara,,,,,,,15:35,,,,,,,,
Umbermali,,,,,,,15:46,,,,,,,,
Khardi,,,,,,,15:52,,,,,,,,
Thansit,,,,,,,15:57,,,,,,,,
Atgaon,,,,,,,16:02,,,,,,,,
Asangaon,,,,,,,16:12,,,,,,,,
Vasind,,,,,,,16:18,,,,,,,,
Khadavli,,,,,,,16:25,,,,,,,,
Titwala,,,,,,,16:32,,,,,,,,16:47
Ambivli,,,,,,,16:38,,,,,,,,16:53
Shahad,,,,,,,16:41,,,,,,,,16:57
Khopoli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
