Ulhas nagar,17:00,,,,,,17:12,,,,,,,,
Vithalwadi,17:03,,,,,,17:15,,,,,,,,
Kalyan,17:09,16:38,,,17:12,,17:20,,16:57,17:23,,17:27,,17:30,
Thakurli,,16:44,,,…,,,,17:02,,,,,,
Dombivli,17:15,16:47,,16:55,17:19,,17:26,,17:05,17:29,,17:33,17:13,17:36,
Kopar,…,16:51,,16:59,…,,…,,17:08,…,,…,17:17,…,
Diwa,…,16:56,,17:04,…,,17:31,,17:13,…,,…,17:22,…,
Mumbra,…,17:00,,17:08,…,,…,,17:17,…,,…,17:26,…,
Kalva,…,17:06,,17:14,…,,…,,17:23,…,,…,17:32,…,
Thane,17:30,17:11,17:13,17:19,17:34,17:21,17:41,17:25,17:28,17:44,17:31,17:49,17:37,17:52,
Mulund,…,,17:18,17:23,...,17:27,17:45,17:31,17:34,...,17:37,...,17:41,...,
Nahur,...,,17:21,17:26,...,17:30,...,17:34,17:37,...,17:40,...,17:44,...,
Bhandup,...,,17:24,17:29,17:41,17:33,...,17:37,17:40,...,17:43,...,17:47,17:59,
Kanjur marg,...,,17:27,17:32,...,17:36,...,17:40,17:43,...,17:46,...,17:50,...,
Vikhroli,,,17:30,17:35,...,17:39,...,17:43,17:46,...,17:49,...,17:53,...,
Ghatkopar,17:43,,17:34,17:39,17:48,17:43,17:56,17:47,17:50,17:59,17:53,18:04,17:57,18:07,
Vidyavihar,...,,17:37,17:42,...,17:46,...,17:50,17:53,...,17:56,...,18:00,...,
Kurla,17:47,,17:40,17:45,17:52,17:49,18:00,17:53,17:56,18:03,17:59,18:08,18:03,18:11,18:06
Sion,...,,17:44,17:49,...,17:53,...,17:57,18:00,...,18:03,...,18:07,...,18:10
Matunga,...,,17:47,17:52,...,17:56,...,18:00,18:03,...,18:06,...,18:10,...,18:13
Dadar,17:55,,17:50,17:55,17:59,17:59,18:07,18:03,18:06,18:10,18:09,18:15,18:14,18:18,18:17
Parel,…,,17:53,17:58,…,18:02,…,18:06,18:09,…,18:12,…,18:17,…,18:20
Currey road,…,,17:56,18:01,…,18:05,…,18:09,,…,18:15,…,18:20,…,18:23
Chinchpokli,…,,17:58,18:03,…,18:07,…,18:11,,…,18:17,…,18:22,…,18:25
Byculla,18:01,,18:00,18:05,18:05,18:09,18:13,18:13,,18:16,18:19,18:21,18:24,18:24,18:27
Sandhurst road,…,,18:03,18:08,…,18:12,…,18:16,,…,18:22,…,18:27,…,18:30
Masjid,…,,18:06,18:11,…,18:15,…,18:19,,…,18:25,…,18:30,…,18:33
CSMT,18:10,,18:10,18:14,18:14,18:18,18:21,18:22,,18:26,18:29,18:30,18:33,18:34,18:37
