Bhivpuri road,,,,,,,17:42,,,,,,,,
Neral,,,,,,,17:49,,,,,,,,
Shelu,,,,,,,17:53,,,,,,,,
Vangani,,,,,,,17:57,,,,,,,,
Badlapur,,,,,,,18:05,,,,,,,18:17,
Ambernath,,,,18:03,,,18:12,,,,,,,18:25,
Ulhas nagar,,,,18:08,,,18:16,,,,,,,18:29,
Vithalwadi,,,,18:11,,,18:19,,,,,,,18:32,
Kalyan,,,18:14,18:18,18:22,,18:25,18:00,18:28,,18:08,18:25,,18:37,
Thakurli,,,,,…,,,18:07,…,,18:14,18:31,,,
Dombivli,17:58,,18:21,18:25,18:29,,18:32,18:10,18:35,,18:17,18:34,18:20,18:43,
Kopar,18:01,,…,…,…,,…,18:13,…,,18:20,18:37,18:24,…,
Diwa,18:06,,18:26,…,…,,…,18:18,18:40,,18:25,18:42,18:29,…,
Mumbra,18:10,,…,…,…,,…,18:22,…,,18:29,18:46,18:33,…,
Kalva,18:16,,…,…,…,,…,18:28,…,,18:35,18:52,18:39,…,
Thane,18:21,18:24,18:37,18:41,18:44,,18:47,18:33,18:51,18:36,18:39,18:57,18:44,19:00,18:48
Mulund,18:26,18:30,18:41,...,...,,...,18:38,18:55,18:42,,19:01,18:49,...,18:54
Nahur,18:29,18:33,...,...,...,,...,18:41,...,18:45,,...,18:52,...,18:57
Bhandup,18:32,18:36,...,...,...,,...,18:44,...,18:48,,...,18:55,19:08,19:00
Kanjur marg,18:35,18:39,...,...,...,,...,18:47,...,18:51,,...,18:58,...,19:03
Vikhroli,18:38,18:42,...,...,...,,...,18:50,...,18:54,,19:09,19:01,...,19:06
Ghatkopar,18:42,18:46,18:52,18:56,18:59,,19:02,18:54,19:06,18:58,,...,19:05,19:15,19:10
Vidyavihar,18:45,18:49,...,...,...,,...,18:57,...,19:01,,...,19:08,...,19:13
Kurla,18:48,18:52,18:56,19:00,19:03,18:56,19:06,19:00,19:10,19:04,,19:17,19:11,19:20,19:16
Sion,18:52,18:56,...,...,...,19:00,...,19:04,...,19:08,,...,19:15,...,19:20
Matunga,18:55,18:59,...,...,...,19:03,...,19:07,...,19:11,,...,19:18,...,19:23
Dadar,18:59,19:03,19:04,19:08,19:11,19:07,19:14,19:11,19:18,19:15,,19:25,19:22,19:28,19:27
Parel,19:02,19:06,…,,…,19:10,…,19:14,…,19:18,,…,19:25,…,19:30
Currey road,19:05,,…,,…,19:13,…,19:17,…,,,…,19:28,…,19:33
Chinchpokli,19:07,,…,,…,19:15,…,19:19,…,,,…,19:30,…,19:35
Byculla,19:09,,19:10,,19:17,19:17,19:20,19:21,19:24,,,19:31,19:32,19:34,19:37
Sandhurst road,19:12,,…,,…,19:20,…,19:24,…,,,…,19:35,…,19:40
Masjid,19:15,,…,,…,19:23,…,19:27,…,,,…,19:38,…,19:43
CSMT,19:18,,19:19,,19:25,19:26,19:28,19:30,19:33,,,19:40,19:41,19:44,19:46
