,K 106,DA 8,TL 56,T 120,PDL 8,S 42,K 112,C 28,PT 12,TK 20,DL 44,CK 6,BL 52,K 114,KP 12
,,AC,,AC,,,,,,,,,,,
,,X,,,,,,X,X,,,,,,
Kasara,,,,,,,,,,,,,,,
Umbermali,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,,
Titwala,,,18:30,,,,,,,,,,,,
Ambivli,,,18:36,,,,,,,,,,,,
Shahad,,,18:40,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,18:02
Lowjee,,,,,,,,,,,,,,,18:06
Dolavli,,,,,,,,,,,,,,,18:10
Kelavli,,,,,,,,,,,,,,,18:13
Palasdhari,,,,,,,,,,,,,,,18:20
Karjat,,,,,,17:56,,,,,,,,,18:28
Bhivpuri road,,,,,,18:05,,,,,,,,,18:37
Neral,,,,,,18:12,,,,,,,,,18:44
Shelu,,,,,,18:16,,,,,,,,,18:48
Vangani,,,,,,18:20,,,,,,,,,18:52
Badlapur,,,,,,18:28,,,,,,,18:55,,19:00
Ambernath,,18:30,,,,18:35,,,,,,,19:03,,19:07
Ulhas nagar,,18:35,,,,18:40,,,,,,,19:07,,19:11
Vithalwadi,,18:38,,,,18:43,,,,,,,19:10,,19:14
Kalyan,18:21,18:43,18:46,,,18:49,18:34,,,18:40,,18:48,19:15,18:51,19:21
Thakurli,18:27,,,,,,18:40,,,18:46,,18:54,…,18:57,…
Dombivli,18:30,18:49,18:53,,18:37,18:57,18:43,,,18:49,18:52,18:57,19:21,19:00,19:27
Kopar,18:34,…,…,,18:41,…,18:46,,,18:52,18:56,19:00,…,19:03,…
Diwa,18:38,…,…,,18:46,…,18:51,,,18:57,19:01,19:05,…,19:08,…
Mumbra,18:42,…,…,,18:50,…,18:55,,,19:01,19:05,19:09,…,19:12,…
Kalva,18:48,…,…,,18:56,…,19:01,,,19:07,19:11,19:15,…,19:18,…
Thane,18:53,19:04,19:08,18:57,19:01,19:12,19:06,,19:10,19:12,19:16,19:20,19:36,19:23,19:42
Mulund,18:58,19:08,19:12,19:03,19:06,...,19:10,,19:16,,19:20,19:24,19:40,19:27,...
Nahur,19:01,...,...,19:06,19:09,...,19:13,,19:19,,19:23,19:27,...,19:30,...
Bhandup,19:04,...,...,19:09,19:12,...,19:16,,19:22,,19:26,19:30,...,19:33,19:50
Kanjur marg,19:07,...,...,19:12,19:15,...,19:19,,19:25,,19:29,19:33,...,19:36,...
Vikhroli,19:10,...,19:21,19:15,19:18,...,19:22,,19:28,,19:32,19:36,...,19:39,...
Ghatkopar,19:14,19:20,...,19:19,19:22,19:27,19:26,,19:32,,19:36,19:40,19:51,19:43,19:58
Vidyavihar,19:17,...,...,19:22,19:25,...,19:29,,19:35,,19:39,19:43,...,19:46,...
Kurla,19:20,19:24,19:28,19:25,19:28,19:31,19:32,19:35,19:38,,19:42,19:46,19:55,19:49,20:02
Sion,19:24,...,...,19:29,19:32,...,19:36,19:39,19:42,,19:46,,...,19:53,...
Matunga,19:27,...,...,19:32,19:35,...,19:39,19:42,19:45,,19:49,,...,19:56,...
Dadar,19:31,19:32,19:37,19:36,19:39,19:40,19:43,19:46,19:49,,19:53,,20:03,20:00,20:10
Parel,19:34,,…,19:39,19:42,…,19:46,19:49,19:52,,19:56,,…,20:03,…
Currey road,19:37,,…,19:42,,…,19:49,19:52,,,19:59,,…,20:07,…
Chinchpokli,19:39,,…,19:44,,…,19:51,19:54,,,20:01,,,20:11,…
Byculla,19:41,,19:43,19:46,,19:46,19:53,19:56,,,20:03,,20:09,20:13,20:16
Sandhurst road,19:44,,…,19:49,,…,19:56,19:59,,,20:06,,…,20:16,…
Masjid,19:47,,…,19:52,,…,19:59,20:02,,,20:09,,…,20:19,…
CSMT,19:50,,19:52,19:55,,19:56,20:02,20:06,,,20:12,,20:18,20:22,20:24
