,BL 2,K 8,N 4,K 12,K 10,SKP 4,S 10,T 20,A 10,TL 10,T 22,BL 4,C 6,K 14,BL 8
,,,,AC,,,,,,,AC,,,,
,,,,,,,,X,,,X,,,X,
Kasara,,,4:59,,,,,,,,,,,,
Umbermali,,,5:10,,,,,,,,,,,,
Khardi,,,5:16,,,,,,,,,,,,
Thansit,,,5:21,,,,,,,,,,,,
Atgaon,,,5:26,,,,,,,,,,,,
Asangaon,,,5:36,,,,,,,,,,,,
Vasind,,,5:42,,,,,,,,,,,,
Khadavli,,,5:49,,,,,,,,,,,,
Titwala,,,5:56,,,,,,,6:13,,,,,
Ambivli,,,6:02,,,,,,,6:19,,,,,
Shahad,,,6:05,,,,,,,6:23,,,,,
Khopoli,,,,,,05:10,,,,,,,,,
Lowjee,,,,,,05:14,,,,,,,,,
Dolavli,,,,,,05:18,,,,,,,,,
Kelavli,,,,,,05:21,,,,,,,,,
Palasdhari,,,,,,05:28,,,,,,,,,
Karjat,,,,,,05:35,05:50,,,,,,,,
Bhivpuri road,,,,,,,05:59,,,,,,,,
Neral,,,,,,,06:06,,,,,,,,
Shelu,,,,,,,06:10,,,,,,,,
Vangani,,,,,,,06:14,,,,,,,,
Badlapur,05:40,,,,,,06:22,,,,,06:15,,,06:52
Ambernath,05:47,,,,,,06:29,,06:10,,,06:22,,,07:00
Ulhas nagar,05:51,,,,,,06:33,,06:15,,,06:26,,,07:04
Vithalwadi,05:54,,,,,,06:36,,06:18,,,06:29,,,07:07
Kalyan,05:59,06:03,06:11,06:32,06:14,,06:41,,06:23,06:29,,06:35,,06:43,07:12
Thakurli,06:06,06:10,06:16,…,06:20,,…,,06:30,06:34,,06:42,,06:50,…
Dombivli,06:09,06:13,06:19,06:37,06:23,,06:47,,06:33,06:37,,06:45,,06:53,07:18
Kopar,06:12,06:16,06:22,…,06:26,,…,,06:36,06:40,,06:48,,06:56,…
Diwa,06:17,06:21,06:27,…,06:31,,06:52,,06:41,06:45,,06:53,,07:01,…
Mumbra,06:21,06:25,06:31,…,06:35,,…,,06:45,06:49,,06:57,,07:05,…
Kalva,06:27,06:31,06:37,…,06:41,,…,,06:51,06:55,,07:03,,07:11,…
Thane,06:32,06:36,06:42,06:55,06:46,,07:03,06:50,06:56,07:00,07:04,07:08,,07:16,07:33
Mulund,06:36,06:40,06:46,...,06:50,,07:07,06:54,07:00,07:04,07:08,07:12,,07:20,...
Nahur,06:39,06:43,06:49,...,06:53,,...,06:57,07:03,07:07,07:11,07:15,,07:23,...
Bhandup,06:42,06:46,06:52,,06:56,,...,07:00,07:06,07:10,07:14,07:18,,07:26,...
Kanjur marg,06:45,06:49,06:55,...,06:59,,...,07:03,07:09,07:13,07:17,07:21,,07:29,...
Vikhroli,06:48,06:52,06:58,...,07:02,,07:15,07:06,07:12,07:16,07:20,07:24,,07:32,...
Ghatkopar,06:52,06:56,07:02,07:11,07:06,,07:19,07:10,07:16,07:20,07:24,07:28,,07:36,07:49
Vidyavihar,06:55,06:59,07:05,...,07:09,,...,07:13,07:19,07:23,07:27,07:31,,07:39,...
Kurla,06:58,07:02,07:08,07:15,07:12,,07:23,07:16,07:22,07:26,07:30,07:34,07:38,07:42,07:53
Sion,07:02,07:06,07:12,...,07:16,,...,07:20,07:26,07:30,07:34,07:38,07:42,07:46,...
Matunga,07:05,07:09,07:15,...,07:19,,...,07:23,07:29,07:33,07:37,07:41,07:45,07:49,...
Dadar,07:09,07:13,07:19,07:24,07:23,,07:31,07:27,07:33,07:37,07:41,07:45,07:49,07:53,08:01
Parel,07:12,07:16,07:22,…,07:26,,…,07:30,07:36,07:40,07:44,07:48,07:52,07:56,…
Currey road,07:15,07:19,07:25,…,07:29,,…,07:33,07:39,07:43,07:47,07:51,07:55,07:59,…
Chinchpokli,07:17,07:21,07:27,…,07:31,,…,07:35,07:41,07:45,07:49,07:53,07:57,08:01,
Byculla,07:19,07:23,07:29,07:29,07:33,,07:37,07:37,07:43,07:47,07:51,07:55,07:59,08:03,08:07
Sandhurst road,07:22,07:26,07:32,…,07:36,,…,07:40,07:46,07:50,07:54,07:58,08:02,08:06,…
Masjid,07:25,07:29,07:35,…,07:39,,…,07:43,07:49,07:53,07:57,08:01,08:05,08:09,…
CSMT,07:28,07:32,07:38,07:39,07:42,,07:45,07:46,07:52,07:56,08:00,08:04,08:08,08:12,08:16
