,AN 24,T 122,TK 22,DA 10,K 116,N 30,T 124,S 44,PK 28,K 118,T 126,TTL 2,DL 46,AN 26
,,X,,,,,X,,,,X,,,
Kasara,,,,,,18:17,,,,,,,,
Umbermali,,,,,,18:28,,,,,,,,
Khardi,,,,,,18:34,,,,,,,,
Thansit,,,,,,18:39,,,,,,,,
Atgaon,,,,,,18:44,,,,,,,,
Asangaon,18:15,,,,,18:54,,,,,,,,19:10
Vasind,18:23,,,,,19:00,,,,,,,,19:18
Khadavli,18:30,,,,,19:07,,,,,,,,19:25
Titwala,18:37,,,,,19:14,,,,,,19:01,,19:32
Ambivli,18:43,,,,,19:20,,,,,,19:07,,19:38
Shahad,18:46,,,,,19:23,,,,,,19:11,,19:41
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
