,T 130,AN 28,DL 52,K 126,TL 60,A 58,K 128,PK 34,BL 60,BL 58,AN 30,T 132,TK 26,A 60,TL 62
,,,,,,AC,,,,,,,,,
,X,,X,,,X,X,,,,,X,,,
Kasara,,,,,,,,,,,,,,,
Umbermali,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Asangaon,,19:42,,,,,,,,,20:33,,,,
Vasind,,19:50,,,,,,,,,20:41,,,,
Khadavli,,19:57,,,,,,,,,20:48,,,,
Titwala,,20:04,,,20:14,,,,,,20:55,,,,20:37
Ambivli,,20:10,,,20:23,,,,,,21:01,,,,20:43
Shahad,,20:13,,,20:27,,,,,,21:04,,,,20:47
Khopoli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
