Neral,,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,,,
Badlapur,,,,,,,,,20:46,20:22,,,,,,
Ambernath,,,,,,20:50,,,20:54,20:30,,,,21:07,,
Ulhas nagar,,,,,,20:55,,,20:58,20:34,,,,21:12,,
Vithalwadi,,,,,,20:58,,,21:01,20:37,,,,21:15,,
Kalyan,,20:21,,20:29,20:34,21:04,20:38,20:43,21:08,20:46,21:12,,20:50,21:21,20:55,
Thakurli,,20:27,,20:35,20:40,,20:44,20:49,,20:52,,,20:57,,21:02,
Dombivli,,20:30,20:33,20:38,20:43,21:11,20:47,20:52,21:15,20:55,21:20,,21:00,21:29,21:05,21:08
Kopar,,20:33,20:37,20:41,20:46,…,20:50,20:55,…,20:58,…,,21:04,…,21:08,21:12
Diwa,,20:38,20:42,20:46,20:51,…,20:55,21:00,…,21:03,21:25,,21:09,…,21:13,21:17
Mumbra,,20:42,20:46,20:50,20:55,…,20:59,21:04,…,21:07,…,,21:13,…,21:18,21:21
Kalva,,20:48,20:52,20:56,21:01,…,21:05,21:10,…,21:13,…,,21:19,…,21:24,21:27
Thane,20:50,20:53,20:57,21:01,21:06,21:26,21:10,21:15,21:30,21:18,21:35,21:21,21:24,21:44,21:29,21:33
Mulund,20:56,20:59,21:03,21:07,21:11,...,21:15,21:19,...,21:23,21:39,21:27,,...,21:34,21:38
Nahur,20:59,21:02,21:06,21:10,21:14,...,21:18,21:22,...,21:26,...,21:30,,...,21:37,21:41
Bhandup,21:02,21:05,21:09,21:13,21:17,...,21:21,21:25,...,21:29,...,21:33,,...,21:40,21:44
Kanjur marg,21:05,21:08,21:12,21:16,21:20,...,21:24,21:28,...,21:32,...,21:36,,...,21:43,21:47
Vikhroli,21:08,21:11,21:15,21:19,21:23,...,21:27,21:31,...,21:35,...,21:39,,...,21:46,21:50
Ghatkopar,21:12,21:15,21:19,21:23,21:27,21:39,21:31,21:35,21:43,21:39,21:51,21:43,,21:59,21:50,21:54
Vidyavihar,21:15,21:18,21:22,21:26,21:30,...,21:34,21:38,...,21:42,...,21:46,,...,21:53,21:57
Kurla,21:18,21:21,21:25,21:29,21:33,21:43,21:37,21:41,21:47,21:45,21:55,21:49,,22:03,21:56,22:00
Sion,21:22,21:25,21:29,21:33,21:37,...,21:41,21:45,...,21:49,...,21:53,,...,22:00,22:04
Matunga,21:25,21:28,21:32,21:36,21:40,...,21:44,21:48,...,21:52,...,21:56,,...,22:03,22:07
Dadar,21:29,21:32,21:36,21:40,21:44,21:51,21:48,21:52,21:55,21:56,22:03,22:00,,22:11,22:07,22:11
Parel,21:32,21:35,21:39,21:43,21:47,…,21:51,21:55,…,21:59,…,22:03,,…,22:10,22:14
Currey road,21:35,21:38,21:42,21:46,21:50,…,21:54,,…,22:02,…,22:06,,…,22:13,22:17
Chinchpokli,21:37,21:40,21:44,21:48,21:52,…,21:56,,,22:04,…,22:08,,…,22:16,22:19
Byculla,21:39,21:42,21:46,21:50,21:54,21:58,21:58,,22:02,22:06,22:11,22:10,,22:19,22:18,22:22
Sandhurst road,21:42,21:45,21:49,21:53,21:57,…,22:01,,…,22:09,…,22:13,,…,22:21,22:25
Masjid,21:45,21:48,21:52,21:56,22:00,…,22:04,,…,22:12,…,22:16,,…,22:24,22:28
CSMT,21:48,21:52,21:56,22:00,22:03,22:07,22:08,,22:11,22:15,22:20,22:20,,22:28,22:28,22:32
