Bhivpuri road,,,,,,,,,,,22:50,,,
Neral,,,,,,,,,,,22:57,,,
Shelu,,,,,,,,,,,23:01,,,
Vangani,,,,,,,,,,,23:05,,,
Badlapur,,,,22:40,,,,,23:04,,23:14,,,23:29
Ambernath,,,,22:48,,,,,23:13,,23:21,,,23:37
Ulhas nagar,,,,22:52,,,,,23:17,,23:25,,,23:41
Vithalwadi,,,,22:55,,,,,23:20,,23:28,,,23:44
Kalyan,22:52,22:56,23:15,23:00,23:04,,23:15,23:19,23:26,23:30,23:36,23:43,23:47,23:52
Thakurli,22:57,23:01,…,23:06,23:09,,23:22,23:24,23:33,23:36,23:42,23:50,23:54,23:58
Dombivli,23:00,23:04,23:22,23:09,23:12,,23:25,23:27,23:36,23:39,23:45,23:53,23:57,00:01
Kopar,23:03,23:08,…,23:12,23:15,,23:28,23:30,23:39,23:42,23:48,23:56,00:00,00:04
Diwa,23:08,23:13,…,23:17,23:20,,23:33,23:35,23:44,23:47,23:53,00:01,00:05,00:09
Mumbra,23:12,23:17,…,23:21,23:24,,23:37,23:39,23:48,23:51,23:57,00:05,00:09,00:13
Kalva,23:18,23:23,…,23:27,23:30,,23:43,23:45,23:54,23:57,00:03,00:11,00:15,00:19
Thane,23:23,23:28,23:40,23:32,23:35,23:40,23:49,23:50,23:59,00:03,00:09,00:16,00:20,00:24
Mulund,23:27,23:33,23:44,23:36,,23:44,23:53,,,,00:13,,,00:28
Nahur,23:30,23:36,...,23:39,,23:47,23:56,,,,00:16,,,00:31
Bhandup,23:33,23:39,...,23:42,,23:50,23:59,,,,00:19,,,00:34
Kanjur marg,23:36,23:42,...,23:45,,23:53,00:02,,,,00:22,,,00:37
Vikhroli,23:39,23:45,...,23:48,,23:56,00:05,,,,00:25,,,00:40
Ghatkopar,23:44,23:49,23:54,23:53,,00:00,00:10,,,,00:29,,,00:45
Vidyavihar,23:47,23:52,...,23:56,,00:03,00:13,,,,00:32,,,00:48
Kurla,23:50,23:55,23:58,23:59,,00:06,00:16,,,,00:35,,,00:51
Sion,23:54,,...,00:03,,,00:20,,,,00:39,,,00:55
Matunga,23:58,,...,00:07,,,00:24,,,,00:42,,,00:59
Dadar,00:01,,00:06,00:10,,,00:27,,,,00:46,,,01:02
Parel,00:04,,…,00:13,,,00:29,,,,00:49,,,01:04
Currey road,00:07,,…,,,,00:32,,,,00:52,,,01:07
Chinchpokli,00:09,,…,,,,00:34,,,,00:54,,,01:09
Byculla,00:11,,00:12,,,,00:36,,,,00:56,,,01:11
Sandhurst road,00:14,,…,,,,00:39,,,,00:59,,,01:14
Masjid,00:17,,…,,,,00:42,,,,01:02,,,01:17
CSMT,00:20,,00:22,,,,00:45,,,,01:05,,,01:20
