,DK 2,T 28,K 20,A 14,T 26,S 14,K 24,K 22,T 32,DL 8,A 16,AN 6,T 30,S 16,AN 4
,,AC,,,,,,,,,,,,,
,,X,X,,X,,,X,X,,,,,,
Kasara,,,,,,,,,,,,,,,
Umbermali,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,7:28,,,7:08
Vasind,,,,,,,,,,,,7:36,,,7:17
Khadavli,,,,,,,,,,,,7:43,,,7:24
Titwala,,,,,,,,,,,,7:50,,,7:31
Ambivli,,,,,,,,,,,,7:56,,,7:37
Shahad,,,,,,,,,,,,8:00,,,7:40
Khopoli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
