,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98021,98023,98709,99005,98025,98027,98807,98029,98711,98031,98033,98713,98035,98305,98809,99007,98037,98901,98307,98811
,PLVD 3,PL 19,GN 9,TPL 5,PL 21,PL 23,B 7,PL 25,GN 11,PL 27,PL 29,GN 13,PLVD 5,BR 3,B 9,TPL 7,PL 31,PLGN 1,BR 5,B 11
,X,,,,X,,,,,,,,X,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,,05:43,05:50,TNA,05:56,06:00,06:04,06:08,06:11,06:16,06:24,06:28,,06:32,06:36,TNA,06:40,,06:46,06:50
Masjid,,05:46,05:53,06:20,05:59,06:03,06:07,06:11,06:14,06:19,06:27,06:31,,06:35,06:39,07:04,06:43,,06:49,06:53
Sandhurst Road,,05:49,05:56,,06:02,06:06,06:10,06:14,06:17,06:22,06:30,06:34,,06:38,06:42,,06:46,,06:52,06:56
Dockyard Road,,05:51,05:58,,06:04,06:08,06:12,06:16,06:19,06:24,06:32,06:36,,06:40,06:44,,06:48,,06:54,06:58
Reay Road,,05:53,06:00,,06:06,06:10,06:14,06:18,06:21,06:26,06:34,06:38,,06:42,06:46,,06:50,,06:56,07:00
Cotton Green,,05:55,06:02,,06:08,06:12,06:16,06:20,06:23,06:28,06:36,06:40,,06:44,06:48,,06:52,,06:58,07:02
Sewri,,05:58,06:05,,06:11,06:15,06:19,06:23,06:26,06:31,06:39,06:43,,06:47,06:51,,06:55,,07:01,07:05
Vadala Road,05:52,06:01,06:08,,06:14,06:18,06:22,06:26,06:29,06:34,06:42,06:46,06:46,06:50,06:54,,06:58,07:02,07:05,07:09
King's Circle,,,06:12,,,,06:26,,06:33,,,06:50,,,06:58,,,07:07,,07:14
Mahim Jn,,,06:15,,,,06:29,,06:36,,,06:53,,,07:01,,,07:10,,07:17
Bandra,,,06:19,,,,06:34,,06:40,,,06:57,,,07:05,,,07:14,,07:21
Khar Road,,,06:23,,,,,,06:44,,,07:01,,,,,,07:18,,
Santacruz,,,06:26,,,,,,06:47,,,07:04,,,,,,07:21,,
Vileparle,,,06:29,,,,,,06:50,,,07:07,,,,,,07:24,,
Andheri,,,06:33,,,,,,06:54,,,07:11,,,,,,07:28,,
Jogeshwari,,,06:37,,,,,,06:58,,,07:15,,,,,,07:32,,
Ramnagar,,,06:40,,,,,,07:01,,,07:18,,,,,,07:35,,
Goregaon,,,06:44,,,,,,07:05,,,07:22,,,,,,07:39,,
GTB Nagar,05:57,06:06,,,06:19,06:23,,06:31,,06:39,06:47,,06:51,06:55,,,07:03,,07:10,
