,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,,,,,,,
Stations,98161,98533,99039,98163,98853,98165,98535,98753,98167,99041,98169,98347,98855,98171,98349,98755,98173,98537,98175,99043,Stations,98857,98177,98351,98539,98179
,PLVD 27,V 29,TPL 39,PL 135,B 53,PL 137,V 31,GN 53,PLVD 29 TPL 41,,PL 139,BR 35,B 55,PL 141,BR 37,GN 55,PLVD 31,V 33,PL 143,TPL 43,,B 57,PLVD 33,BR 39,V 35,PL 145
,,,,,X,,X,,X,,,X,,,,,X,,,,,,,,X,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Mumbai CSMT,,15:54,TNA,16:00,16:04,16:08,16:12,16:16,,TNA,16:23,16:27,16:31,16:35,16:39,16:43,,16:47,16:51,TNA,Mumbai CSMT,16:56,,17:00,17:04,17:08
Masjid,,15:57,16:24,16:03,16:07,16:11,16:15,16:19,,16:48,16:26,16:30,16:34,16:38,16:42,16:46,,16:50,16:54,17:23,Masjid,16:59,,17:03,17:07,17:11
Sandhurst Road,,16:00,,16:06,16:10,16:14,16:18,16:22,,,16:29,16:33,16:37,16:41,16:45,16:49,,16:53,16:57,,Sandhurst Road,17:02,,17:06,17:10,17:14
Dockyard Road,,16:02,,16:08,16:12,16:16,16:20,16:24,,,16:31,16:35,16:39,16:43,16:47,16:51,,16:55,16:59,,Dockyard Road,17:04,,17:08,17:12,17:16
Reay Road,,16:04,,16:10,16:14,16:18,16:22,16:26,,,16:33,16:37,16:41,16:45,16:49,16:53,,16:57,17:01,,Reay Road,17:06,,17:10,17:14,17:18
Cotton Green,,16:06,,16:12,16:16,16:20,16:24,16:28,,,16:35,16:39,16:43,16:47,16:51,16:55,,16:59,17:03,,Cotton Green,17:08,,17:12,17:16,17:20
Sewri,,16:09,,16:15,16:19,16:23,16:27,16:31,,,16:38,16:42,16:46,16:50,16:54,16:58,,17:02,17:06,,Sewri,17:11,,17:15,17:19,17:23
Vadala Road,16:08,16:12,,16:18,16:22,16:26,16:30,16:34,16:34,,16:41,16:45,16:49,16:53,16:57,17:01,17:01,17:05,17:09,,Vadala Road,17:14,17:14,17:18,17:22,17:26
King's Circle,,,,,16:26,,,16:38,,,,,16:53,,,17:05,,,,,King's Circle,17:18,,,,
Mahim Jn,,,,,16:29,,,16:41,,,,,16:55,,,17:08,,,,,Mahim Jn,17:20,,,,
Bandra,,,,,16:33,,,16:45,,,,,17:00,,,17:12,,,,,Bandra,17:25,,,,
Khar Road,,,,,,,,16:49,,,,,,,,17:16,,,,,Khar Road,,,,,
Santacruz,,,,,,,,16:52,,,,,,,,17:19,,,,,Santacruz,,,,,
Vileparle,,,,,,,,16:55,,,,,,,,17:22,,,,,Vileparle,,,,,
Andheri,,,,,,,,16:59,,,,,,,,17:26,,,,,Andheri,,,,,
Jogeshwari,,,,,,,,17:03,,,,,,,,17:30,,,,,Jogeshwari,,,,,
Ramnagar,,,,,,,,17:06,,,,,,,,17:33,,,,,Ramnagar,,,,,
Goregaon,,,,,,,,17:10,,,,,,,,17:37,,,,,Goregaon,,,,,
GTB Nagar,16:13,16:17,,16:23,,16:31,16:35,,16:39,,16:46,16:50,,16:58,17:02,,17:06,17:10,17:14,,GTB Nagar,,17:19,17:23,17:27,17:31
