PLVD 35 GN 57,,BR 41,PL 147 PLGN 9,,V 37,TPL 45,B 59,PL 149,PLVD 37 GN 59,,TPL 47,V 39,PL 151,,PLGN 11,B 61,V 41,PL 153,BR 43,GN 61,TPL 49,PL 155,PL 157,V 43,PLGN 13,B 63,PLVD 39
,,,,,,,,,,,,,,,,,,,,,,L/SPL,,,,,
,,X,,,X,,,,,X,,,,,,,,,X,,$,#,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,17:12,17:16,17:20,,17:26,TNA,17:29,17:33,,17:37,TNA,17:41,17:45,Mumbai CSMT,,17:50,17:53,17:57,18:01,18:05,TNA,18:08,18:12,18:16,,18:22,
,17:15,17:19,17:23,,17:29,17:54,17:32,17:36,,17:40,18:10,17:44,17:48,Masjid,,17:53,17:56,18:00,18:04,18:08,18:34,18:11,18:15,18:19,,18:25,
,17:18,17:22,17:26,,17:32,,17:35,17:39,,17:43,,17:47,17:51,Sandhurst Road,,17:56,17:59,18:03,18:07,18:11,,18:14,18:18,18:22,,18:28,
,17:20,17:24,17:28,,17:34,,17:37,17:41,,17:45,,17:49,17:53,Dockyard Road,,17:58,18:01,18:05,18:09,18:13,,18:16,18:20,18:24,,18:30,
,17:22,17:26,17:30,,17:36,,17:39,17:43,,17:47,,17:51,17:55,Reay Road,,18:00,18:03,18:07,18:11,18:15,,18:18,18:22,18:26,,18:32,
,17:24,17:28,17:32,,17:38,,17:41,17:45,,17:49,,17:53,17:57,Cotton Green,,18:02,18:05,18:09,18:13,18:17,,18:20,18:24,18:28,,18:34,
,17:27,17:31,17:35,,17:41,,17:44,17:48,,17:52,,17:56,18:00,Sewri,,18:05,18:08,18:12,18:16,18:20,,18:23,18:27,18:31,,18:37,
17:30,17:30,17:34,17:38,17:41,17:44,,17:47,17:51,17:55,17:55,,17:59,18:03,Vadala Road,18:06,18:09,18:12,18:16,18:20,18:23,,18:26,18:30,18:34,18:37,18:41,18:41
,17:34,,,17:47,,,17:51,,,18:00,,,,King's Circle,18:12,18:15,,,,18:28,,,,,18:42,18:46,
,17:37,,,17:49,,,17:53,,,18:02,,,,Mahim Jn,18:14,18:17,,,,18:30,,,,,18:44,18:48,
,17:41,,,17:53,,,17:58,,,18:05,,,,Bandra,18:18,18:22,,,,18:34,,,,,18:48,18:53,
,17:45,,,17:57,,,,,,18:10,,,,Khar Road,18:23,,,,,18:39,,,,,18:52,,
,17:48,,,18:00,,,,,,18:13,,,,Santacruz,18:26,,,,,18:42,,,,,18:55,,
,17:51,,,18:03,,,,,,18:16,,,,Vileparle,18:29,,,,,18:45,,,,,18:58,,
,17:55,,,18:07,,,,,,18:20,,,,Andheri,18:33,,,,,18:49,,,,,19:02,,
,17:59,,,18:11,,,,,,18:24,,,,Jogeshwari,18:37,,,,,18:53,,,,,19:06,,
,18:02,,,18:14,,,,,,18:27,,,,Ramnagar,18:40,,,,,18:56,,,,,19:09,,
,18:06,,,18:18,,,,,,18:31,,,,Goregaon,18:45,,,,,19:00,,,,,19:14,,
17:35,,17:39,17:43,,17:50,,,17:56,18:00,,,18:04,18:08,GTB Nagar,,,18:17,18:21,18:25,,,18:31,18:35,18:39,,,18:46
