,B 65,V 45,GN 65,GNPL 10,PL 165,BR 45,PL 167,PLVD 41 GN 67,,BR 47,PL 169,TPL 53,PLGN 15,B 67,GNPL 12,TPL 55,V 47,PL 171,BR 49
,,X,,,X,,,,,X,,X,,,,,X,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,18:45,18:49,18:53,,18:57,19:01,19:05,,19:09,19:13,19:17,TNA,,19:24,,TNA,19:28,19:32,19:36
Masjid,18:48,18:52,18:56,,19:00,19:04,19:08,,19:12,19:16,19:20,19:48,,19:27,,19:59,19:31,19:35,19:39
Sandhurst Road,18:51,18:55,18:59,,19:03,19:07,19:11,,19:15,19:19,19:23,,,19:30,,,19:34,19:38,19:42
Dockyard Road,18:53,18:57,19:01,,19:05,19:09,19:13,,19:17,19:21,19:25,,,19:32,,,19:36,19:40,19:44
Reay Road,18:55,18:59,19:03,,19:07,19:11,19:15,,19:19,19:23,19:27,,,19:34,,,19:38,19:42,19:46
Cotton Green,18:57,19:01,19:05,,19:09,19:13,19:17,,19:21,19:25,19:29,,,19:36,,,19:40,19:44,19:48
Sewri,19:00,19:04,19:08,,19:12,19:16,19:20,,19:24,19:28,19:32,,,19:39,,,19:43,19:47,19:51
Vadala Road,19:03,19:07,19:11,19:11,19:15,19:19,19:23,19:27,19:27,19:31,19:35,,19:39,19:43,19:43,,19:47,19:51,19:54
King's Circle,19:07,,19:16,,,,,,19:32,,,,19:44,19:47,,,,,
Mahim Jn,19:09,,19:18,,,,,,19:34,,,,19:46,19:49,,,,,
Bandra,19:14,,19:22,,,,,,19:38,,,,19:50,19:54,,,,,
Khar Road,,,19:27,,,,,,19:43,,,,19:55,,,,,,
Santacruz,,,19:30,,,,,,19:46,,,,19:58,,,,,,
Vileparle,,,19:33,,,,,,19:49,,,,20:01,,,,,,
Andheri,,,19:37,,,,,,19:53,,,,20:05,,,,,,
Jogeshwari,,,19:41,,,,,,19:57,,,,20:09,,,,,,
Ramnagar,,,19:44,,,,,,20:00,,,,20:12,,,,,,
Goregaon,,,19:48,,,,,,20:04,,,,20:16,,,,,,
GTB Nagar,,19:12,,19:16,19:20,19:24,19:28,19:32,,19:36,19:40,,,,19:49,,19:53,19:57,20:00
