,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,
Stations,98769,98215,99057,98553,98217,98365,98869,98219,98221,98555,98914,98771,98223,99059,98871,98917,98367,98225,98227
,GN 69,PLVD 43 TPL 57,,V 49,PL 173,BR 51,B 69,PLVD 45 PL 175,,V 51,GNPL 14,GN 71,PL 177,TPL 59,B 71,PLGN 17,BR 53,PL 179,PLVD 47
,,,,X,,X,,X,,,,,,,,,,,X
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,19:40,,TNA,19:44,19:48,19:52,19:56,,20:00,20:04,,20:08,20:16,TNA,20:20,,20:28,20:32,
Masjid,19:43,,20:15,19:47,19:51,19:55,19:59,,20:03,20:07,,20:11,20:19,20:50,20:23,,20:31,20:35,
Sandhurst Road,19:46,,,19:50,19:54,19:58,20:02,,20:06,20:10,,20:14,20:22,,20:26,,20:34,20:38,
Dockyard Road,19:48,,,19:52,19:56,20:00,20:04,,20:08,20:12,,20:16,20:24,,20:28,,20:36,20:40,
Reay Road,19:50,,,19:54,19:58,20:02,20:06,,20:10,20:14,,20:18,20:26,,20:30,,20:38,20:42,
Cotton Green,19:52,,,19:56,20:00,20:04,20:08,,20:12,20:16,,20:20,20:28,,20:32,,20:40,20:44,
Sewri,19:55,,,19:59,20:03,20:07,20:11,,20:15,20:19,,20:23,20:31,,20:35,,20:43,20:47,
Vadala Road,19:58,19:58,,20:02,20:06,20:10,20:14,20:14,20:18,20:22,20:26,20:26,20:34,,20:38,20:42,20:46,20:50,20:54
King's Circle,20:03,,,,,,20:18,,,,,20:31,,,20:42,20:47,,,
Mahim Jn,20:05,,,,,,20:20,,,,,20:33,,,20:44,20:49,,,
Bandra,20:09,,,,,,20:24,,,,,20:37,,,20:50,20:53,,,
Khar Road,20:14,,,,,,,,,,,20:42,,,,20:58,,,
Santacruz,20:17,,,,,,,,,,,20:45,,,,21:01,,,
Vileparle,20:20,,,,,,,,,,,20:48,,,,21:04,,,
Andheri,20:24,,,,,,,,,,,20:52,,,,21:08,,,
Jogeshwari,20:28,,,,,,,,,,,20:56,,,,21:12,,,
Ramnagar,20:31,,,,,,,,,,,20:59,,,,21:15,,,
Goregaon,20:35,,,,,,,,,,,21:03,,,,21:20,,,
GTB Nagar,,20:04,,20:08,20:12,20:16,,20:20,20:24,20:28,20:32,,20:40,,,,20:52,20:56,21:00
