,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,,,,,,,
Stations,98773,98557,99061,91491,98916,98229,98231,98873,98233,99063,98559,98775,98235,98369,98875,98237,99065,98561,98239,Stations,98777,98371,98241,98877,98563,99067
,GN 73,V 53,,TPL 61 WBO 1 GNPL 16,,PL 181,PLVD 49,B 73,PL 183,TPL 63,V 55,GN 75,PL 185,BR 55,B 75,PLVD 51 TPL 65,,V 57,PL 187,,GN 77,BR 57,PL 189,B 77,V 59,TPL 67
,,X,,,,,,,,,X,,,,,X,X,X,,,,X,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Mumbai CSMT,20:36,20:40,TNA,20:46,,20:49,,20:54,21:02,TNA,21:06,21:10,21:14,21:18,21:22,,TNA,21:26,21:30,Mumbai CSMT,21:34,21:38,21:42,21:46,21:50,TNA
Masjid,20:39,20:43,21:11,20:48,,20:52,,20:57,21:05,21:36,21:09,21:13,21:17,21:21,21:25,,21:52,21:29,21:33,Masjid,21:37,21:41,21:45,21:49,21:53,22:15
Sandhurst Road,20:42,20:46,,20:51,,20:55,,21:00,21:08,,21:12,21:16,21:20,21:24,21:28,,,21:32,21:36,Sandhurst Road,21:40,21:44,21:48,21:52,21:56,
Dockyard Road,20:44,20:48,,20:53,,20:57,,21:02,21:10,,21:14,21:18,21:22,21:26,21:30,,,21:34,21:38,Dockyard Road,21:42,21:46,21:50,21:54,21:58,
Reay Road,20:46,20:50,,20:55,,20:59,,21:04,21:12,,21:16,21:20,21:24,21:28,21:32,,,21:36,21:40,Reay Road,21:44,21:48,21:52,21:56,22:00,
Cotton Green,20:48,20:52,,20:57,,21:01,,21:06,21:14,,21:18,21:22,21:26,21:30,21:34,,,21:38,21:42,Cotton Green,21:46,21:50,21:54,21:58,22:02,
Sewri,20:51,20:55,,21:00,,21:04,,21:09,21:17,,21:21,21:25,21:29,21:33,21:37,,,21:41,21:45,Sewri,21:49,21:53,21:57,22:01,22:05,
Vadala Road,20:54,20:58,,21:03,21:03,21:07,21:11,21:12,21:20,,21:24,21:28,21:32,21:36,21:40,21:40,,21:44,21:48,Vadala Road,21:52,21:56,22:00,22:04,22:08,
King's Circle,20:59,,,21:07,,,,21:16,,,,21:33,,,21:44,,,,,King's Circle,21:57,,,22:09,,
Mahim Jn,21:01,,,21:09,,,,21:18,,,,21:35,,,21:46,,,,,Mahim Jn,21:59,,,22:11,,
Bandra,21:05,,,21:13,,,,21:23,,,,21:39,,,21:51,,,,,Bandra,22:03,,,22:16,,
Khar Road,21:10,,,21:17,,,,,,,,21:44,,,,,,,,Khar Road,22:08,,,,,
Santacruz,21:13,,,21:20,,,,,,,,21:47,,,,,,,,Santacruz,22:11,,,,,
Vileparle,21:16,,,21:23,,,,,,,,21:50,,,,,,,,Vileparle,22:14,,,,,
Andheri,21:20,,,21:27,,,,,,,,21:54,,,,,,,,Andheri,22:18,,,,,
Jogeshwari,21:24,,,21:31,,,,,,,,21:58,,,,,,,,Jogeshwari,22:22,,,,,
Ramnagar,21:27,,,21:34,,,,,,,,22:01,,,,,,,,Ramnagar,22:25,,,,,
Goregaon,21:32,,,21:38,,,,,,,,22:05,,,,,,,,Goregaon,22:29,,,,,
GTB Nagar,,21:04,,,21:08,21:12,21:16,,21:25,,21:29,,21:37,21:41,,21:45,,21:49,21:53,GTB Nagar,,22:01,22:05,,22:13,
Chunabhatti,,21:07,,,21:11,21:15,21:19,,21:28,,21:32,,21:40,21:44,,21:48,,21:52,21:56,Chunabhatti,,22:04,22:08,,22:16,
Kurla,,21:10,,BVI,21:14,21:18,21:22,,21:31,,21:35,,21:43,21:47,,21:51,,21:55,21:59,Kurla,,22:07,22:11,,22:19,
Tilaknagar,,21:13,,21:50,21:17,21:21,21:25,,21:34,,21:38,,21:46,21:50,,21:54,,21:58,22:02,Tilaknagar,,22:10,22:14,,22:22,
Chembur,,21:15,,,21:19,21:23,21:27,,21:36,,21:40,,21:48,21:52,,21:56,,22:00,22:04,Chembur,,22:12,22:16,,22:24,
