,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,
98243,98373,98918,98779,98245,98879,98565,98247,99069,98781,98567,98249,98881
PL 191,BR 59,GNPL 18,GN 79,PL 193,B 79,V 61,PL 195,TPL 69,GN 81,V 63,PL 197,B 81
,,,,,,X,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0
21:54,21:58,,22:02,22:06,22:10,22:14,22:20,TNA,22:24,22:30,22:34,22:38
21:57,22:01,,22:05,22:09,22:13,22:17,22:23,22:55,22:27,22:33,22:37,22:41
22:00,22:04,,22:08,22:12,22:16,22:20,22:26,,22:30,22:36,22:40,22:44
22:02,22:06,,22:10,22:14,22:18,22:22,22:28,,22:32,22:38,22:42,22:46
22:04,22:08,,22:12,22:16,22:20,22:24,22:30,,22:34,22:40,22:44,22:48
22:06,22:10,,22:14,22:18,22:22,22:26,22:32,,22:36,22:42,22:46,22:50
22:09,22:13,,22:17,22:21,22:25,22:29,22:35,,22:39,22:45,22:49,22:53
22:12,22:16,22:20,22:20,22:24,22:28,22:32,22:38,,22:42,22:48,22:52,22:56
,,,22:25,,22:32,,,,22:47,,,23:00
,,,22:27,,22:34,,,,22:49,,,23:02
,,,22:31,,22:39,,,,22:53,,,23:07
,,,22:36,,,,,,22:58,,,
,,,22:39,,,,,,23:01,,,
,,,22:42,,,,,,23:04,,,
,,,22:46,,,,,,23:08,,,
,,,22:50,,,,,,23:12,,,
,,,22:53,,,,,,23:15,,,
,,,22:57,,,,,,23:19,,,
22:17,22:21,22:25,,22:29,,22:37,22:43,,,22:53,22:57,
