,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,
Stations,98569,99071,98251,98783,98253,98883,99073,98255,98571,98785,98257,98885,98573,98787,99001,98259,98575
,V 65,TPL 71,PL 199,GN 83,PL 201,B 83,TPL 73,PL 203,V 67,GN 85,PL 205,B 85,V 69,GN 87,TPL 1,PL 207,V 71
,X,,,,,,,,X,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,22:45,TNA,22:50,22:54,22:58,23:02,TNA,23:14,23:20,23:26,23:30,23:38,23:42,23:46,TNA,23:52,23:57
Masjid,22:48,23:14,22:53,22:57,23:01,23:05,23:32,23:17,23:23,23:29,23:33,23:41,23:45,23:49,00:05,23:55,00:00
Sandhurst Road,22:51,,22:56,23:00,23:04,23:08,,23:20,23:26,23:32,23:36,23:44,23:48,23:52,,23:58,00:03
Dockyard Road,22:53,,22:58,23:02,23:06,23:10,,23:22,23:28,23:34,23:38,23:46,23:50,23:54,,00:00,00:05
Reay Road,22:55,,23:00,23:04,23:08,23:12,,23:24,23:30,23:36,23:40,23:48,23:52,23:56,,00:02,00:07
Cotton Green,22:57,,23:02,23:06,23:10,23:14,,23:26,23:32,23:38,23:42,23:50,23:54,23:58,,00:04,00:09
Sewri,23:00,,23:05,23:09,23:13,23:17,,23:29,23:35,23:41,23:45,23:53,23:57,00:01,,00:07,00:12
Vadala Road,23:03,,23:08,23:12,23:16,23:20,,23:32,23:38,23:44,23:48,23:56,00:00,00:04,,00:10,00:15
King's Circle,,,,23:16,,23:24,,,,23:48,,00:00,,00:08,,,
Mahim Jn,,,,23:19,,23:26,,,,23:51,,00:02,,00:11,,,
Bandra,,,,23:23,,23:31,,,,23:55,,00:07,,00:15,,,
Khar Road,,,,23:28,,,,,,,,,,00:20,,,
Santacruz,,,,23:31,,,,,,00:03,,,,00:23,,,
Vileparle,,,,23:34,,,,,,00:06,,,,00:26,,,
Andheri,,,,23:38,,,,,,00:10,,,,00:30,,,
Jogeshwari,,,,23:42,,,,,,00:14,,,,00:34,,,
Ramnagar,,,,23:45,,,,,,00:17,,,,00:37,,,
Goregaon,,,,23:49,,,,,,00:21,,,,00:41,,,
GTB Nagar,23:08,,23:13,,23:21,,,23:37,23:43,,23:53,,00:05,,,00:15,00:20
