,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98737,98111,98837,99025,98335,98113,98115,91393,98337,98908,98839,98117,98527,99027,98739,98119,98121,98339,98841,98123
,GN 37,PL 93,B 37,TPL 25,BR 25,PL 95,PLVD 19 WGN 1,,BR 27,GNPL 8,B 39,PL 97,V 25,TPL 27,GN 39,PLVD 21,PL 99,BR 29,B 41,PL 101
,,X,,,,,,X,,,,,X,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,12:12,12:17,12:21,TNA,12:25,12:29,,12:36,12:39,,12:47,12:51,12:55,TNA,12:58,,13:03,13:07,13:11,13:15
Masjid,12:15,12:20,12:24,12:49,12:28,12:32,,12:38,12:42,,12:50,12:54,12:58,13:24,13:01,,13:06,13:10,13:14,13:18
Sandhurst Road,12:18,12:23,12:27,,12:31,12:35,,12:41,12:45,,12:53,12:57,13:01,,13:04,,13:09,13:13,13:17,13:21
Dockyard Road,12:20,12:25,12:29,,12:33,12:37,,12:43,12:47,,12:55,12:59,13:03,,13:06,,13:11,13:15,13:19,13:23
Reay Road,12:22,12:27,12:31,,12:35,12:39,,12:45,12:49,,12:57,13:01,13:05,,13:08,,13:13,13:17,13:21,13:25
Cotton Green,12:24,12:29,12:33,,12:37,12:41,,12:47,12:51,,12:59,13:03,13:07,,13:10,,13:15,13:19,13:23,13:27
Sewri,12:27,12:32,12:36,,12:40,12:44,,12:50,12:54,,13:02,13:06,13:10,,13:13,,13:18,13:22,13:26,13:30
Vadala Road,12:30,12:35,12:39,,12:43,12:47,12:51,12:53,12:57,13:01,13:05,13:09,13:13,,13:17,13:17,13:21,13:25,13:29,13:33
King's Circle,12:34,,12:43,,,,,12:57,,,13:09,,,,13:21,,,,13:33,
Mahim Jn,12:37,,12:46,,,,,13:00,,,13:12,,,,13:24,,,,13:36,
Bandra,12:41,,12:50,,,,,13:04,,,13:16,,,,13:28,,,,13:40,
Khar Road,12:45,,,,,,,13:08,,,,,,,13:32,,,,,
Santacruz,12:48,,,,,,,13:11,,,,,,,13:35,,,,,
Vileparle,12:51,,,,,,,13:14,,,,,,,13:38,,,,,
Andheri,12:55,,,,,,,13:18,,,,,,,13:42,,,,,
Jogeshwari,12:59,,,,,,,13:22,,,,,,,13:46,,,,,
Ramnagar,13:02,,,,,,,13:25,,,,,,,13:49,,,,,
Goregaon,13:06,,,,,,,13:29,,,,,,,13:53,,,,,
GTB Nagar,,12:40,,,12:48,12:52,12:56,,13:02,13:06,,13:14,13:18,,,13:22,13:26,13:30,,13:38
