,PL 103,GN 41,PL 105,V 27,B 43,TPL 29,,PLVD 23 PL 107,GN 43,PL 109,B 45,TPL 31,PL 111,GN 45,PL 113,B 47,TPL 33,,BRVD 11 PL 115 WGN 3,
,,,,,,,,,,,,,,,,,,,X,X
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,13:19,13:26,13:30,13:34,13:38,TNA,,13:48,13:52,13:56,14:04,TNA,14:12,14:18,14:22,14:28,TNA,,14:34,14:40
Masjid,13:22,13:29,13:33,13:37,13:41,14:03,,13:51,13:55,13:59,14:07,14:36,14:15,14:21,14:25,14:31,14:54,,14:37,14:43
Sandhurst Road,13:25,13:32,13:36,13:40,13:44,,,13:54,13:58,14:02,14:10,,14:18,14:24,14:28,14:34,,,14:40,14:46
Dockyard Road,13:27,13:34,13:38,13:42,13:46,,,13:56,14:00,14:04,14:12,,14:20,14:26,14:30,14:36,,,14:42,14:48
Reay Road,13:29,13:36,13:40,13:44,13:48,,,13:58,14:02,14:06,14:14,,14:22,14:28,14:32,14:38,,,14:44,14:50
Cotton Green,13:31,13:38,13:42,13:46,13:50,,,14:00,14:04,14:08,14:16,,14:24,14:30,14:34,14:40,,,14:46,14:52
Sewri,13:34,13:41,13:45,13:49,13:53,,,14:03,14:07,14:11,14:19,,14:27,14:33,14:37,14:43,,,14:49,14:55
Vadala Road,13:37,13:44,13:48,13:52,13:56,,13:58,14:06,14:10,14:14,14:22,,14:30,14:36,14:40,14:46,,14:47,14:52,14:58
King's Circle,,13:48,,,14:00,,,,14:14,,14:26,,,14:40,,14:50,,,,15:02
Mahim Jn,,13:51,,,14:03,,,,14:17,,14:29,,,14:43,,14:53,,,,15:04
Bandra,,13:55,,,14:07,,,,14:21,,14:33,,,14:47,,14:57,,,,15:09
Khar Road,,13:59,,,,,,,14:25,,,,,14:51,,,,,,15:13
Santacruz,,14:02,,,,,,,14:28,,,,,14:54,,,,,,15:16
Vileparle,,14:05,,,,,,,14:31,,,,,14:57,,,,,,15:19
Andheri,,14:09,,,,,,,14:35,,,,,15:01,,,,,,15:24
Jogeshwari,,14:13,,,,,,,14:39,,,,,15:05,,,,,,15:28
Ramnagar,,14:16,,,,,,,14:42,,,,,15:08,,,,,,15:31
Goregaon,,14:20,,,,,,,14:46,,,,,15:12,,,,,,15:35
GTB Nagar,13:42,,13:53,13:57,,,14:03,14:11,,14:19,,,14:35,,14:45,,,14:52,14:57,
