,GN 2,PL 2,B 2,V 2,BR 2,B 4,VVD 2,V 4,BR 4,PL 4,V 6,BR 6,V 8,B 6,PL 6,VVD 4,TPL 2,BR 8
,,,,X,,,X,,,,,,,,,X,,
Panvel,,00:03,,,,,,,,04:03,,,,,04:27,,04:33,
Khandeshwar,,00:07,,,,,,,,04:08,,,,,04:32,,04:38,
Mansarovar,,00:10,,,,,,,,04:11,,,,,04:35,,04:41,
Kharghar,,00:13,,,,,,,,04:14,,,,,04:38,,04:44,
Belapur CBD,,00:17,,,03:55,,,,04:13,04:18,,04:26,,,04:42,,04:48,04:53
Seawood Darave,,00:21,,,03:59,,,,04:17,04:22,,04:30,,,04:46,,04:52,04:57
Nerul,,00:24,,,04:02,,,,04:20,04:25,,04:33,,,04:49,,04:56,05:00
Juinagar,,00:27,,,04:05,,,,04:23,04:28,,04:36,,,04:52,,,05:03
Sanpada,,00:30,,,04:08,,,,04:26,04:31,,04:39,,,04:55,,,05:06
Vashi,,00:32,,04:03,04:11,,04:15,04:25,04:29,04:33,04:37,04:41,04:50,,04:57,05:04,,05:08
Mankhurd,,00:40,,04:11,04:19,,04:23,04:33,04:37,04:41,04:45,04:49,04:58,,05:05,05:12,,05:16
Govandi,,00:43,,04:14,04:22,,04:26,04:36,04:40,04:44,04:48,04:52,05:01,,05:08,05:15,,05:19
Chembur,,00:45,,04:16,04:24,,04:28,04:38,04:42,04:46,04:50,04:54,05:03,,05:10,05:17,,05:21
Tilaknagar,,00:48,,04:19,04:27,,04:31,04:41,04:45,04:49,04:53,04:57,05:06,,05:13,05:20,,05:24
Kurla,,00:51,,04:22,04:30,,04:34,04:44,04:48,04:52,04:56,05:00,05:09,,05:16,05:23,,05:27
Chunabhatti,,00:54,,04:25,04:33,,04:37,04:47,04:51,04:55,04:59,05:03,05:12,,05:19,05:26,,05:30
GTB Nagar,,00:57,,04:28,04:36,,04:40,04:50,04:54,04:58,05:02,05:06,05:15,,05:22,05:29,,05:33
Goregaon,00:07,,,,,,,,,,,,,,,,,
