Tilaknagar,,00:48,,04:19,04:27,,04:31,04:41,04:45,04:49,04:53,04:57,05:06,,05:13,05:20,05:24,
Kurla,,00:51,,04:22,04:30,,04:34,04:44,04:48,04:52,04:56,05:00,05:09,,05:16,05:23,05:27,
Chunabhatti,,00:54,,04:25,04:33,,04:37,04:47,04:51,04:55,04:59,05:03,05:12,,05:19,05:26,05:30,
GTB Nagar,,00:57,,04:28,04:36,,04:40,04:50,04:54,04:58,05:02,05:06,05:15,,05:22,05:29,05:33,
Goregaon,00:07,,,,,,,,,,,,,,,,,05:05
Ramnagar,00:11,,,,,,,,,,,,,,,,,05:09
Jogeshwari,00:14,,,,,,,,,,,,,,,,,05:12
Andheri,00:18,,,,,,,,,,,,,,,,,05:16
Vileparle,00:22,,,,,,,,,,,,,,,,,05:20
Santacruz,00:25,,,,,,,,,,,,,,,,,05:23
Khar Road,00:28,,,,,,,,,,,,,,,,,05:26
Bandra,00:32,,04:17,,,04:34,,,,,,,,05:13,,,,05:30
Mahim Jn,00:35,,04:21,,,04:37,,,,,,,,05:16,,,,05:33
King's Circle,00:38,,04:24,,,04:40,,,,,,,,05:19,,,,05:36
Vadala Road,00:44,01:02,04:30,04:34,04:42,04:46,04:46,04:56,05:00,05:04,05:08,05:12,05:21,05:25,05:28,05:35,05:38,05:42
Sewri,00:47,01:05,04:33,04:37,04:45,04:49,,04:59,05:03,05:07,05:11,05:15,05:24,05:28,05:31,,05:41,05:45
Cotton Green,00:50,01:08,04:36,04:40,04:48,04:52,,05:02,05:06,05:10,05:14,05:18,05:27,05:31,05:34,,05:44,05:48
Reay Road,00:52,01:10,04:38,04:42,04:50,04:54,,05:04,05:08,05:12,05:16,05:20,05:29,05:33,05:36,,05:46,05:50
Dockyard Road,00:55,01:13,04:41,04:45,04:53,04:57,,05:07,05:11,05:15,05:19,05:23,05:32,05:36,05:39,,05:49,05:53
Sandhurst Road,00:57,01:15,04:43,04:47,04:55,04:59,,05:09,05:13,05:17,05:21,05:25,05:34,05:38,05:41,,05:51,05:55
Masjid,00:59,01:17,04:45,04:49,04:57,05:01,,05:11,05:15,05:19,05:23,05:27,05:36,05:40,05:43,,05:53,05:57
Mumbai CSMT,01:02,01:20,04:48,04:52,05:00,05:04,,05:14,05:18,05:22,05:26,05:30,05:39,05:43,05:47,,05:56,06:00
