,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,98828,98538,98066,98730,98068,98540,99026,98070,98830,98334,98072,99028,98732,98074,98076,98336,98832,98078,98907
,B 28,V 32,PL 52,GN 30,PLVD 16,V 34,TPL 26,PL 54,B 30,BR 32,PL 56,TPL 28,GN 32,PL 58,PLVD 18,BR 34,B 32,PL 60,PLGN 7
,,,,,X,X,,,,,,,,,,,,,
Panvel,,,09:40,,09:44,,09:48,09:53,,,10:05,10:12,,10:17,10:21,,,10:33,10:37
Khandeshwar,,,09:45,,09:49,,09:53,09:58,,,10:10,10:17,,10:22,10:26,,,10:38,10:42
Mansarovar,,,09:48,,09:52,,09:56,10:01,,,10:13,10:20,,10:25,10:29,,,10:41,10:45
Kharghar,,,09:51,,09:55,,09:59,10:04,,,10:16,10:23,,10:28,10:32,,,10:44,10:48
Belapur CBD,,,09:55,,09:59,,10:03,10:08,,10:16,10:20,10:27,,10:32,10:36,10:40,,10:48,10:52
Seawood Darave,,,09:59,,10:03,,10:07,10:12,,10:20,10:24,10:31,,10:36,10:40,10:44,,10:52,10:56
Nerul,,,10:02,,10:06,,10:11,10:15,,10:23,10:27,10:35,,10:39,10:43,10:47,,10:55,10:59
Juinagar,,,10:05,,10:09,,,10:18,,10:26,10:30,,,10:42,10:46,10:50,,10:58,11:02
Sanpada,,,10:08,,10:12,,,10:21,,10:29,10:33,,,10:45,10:49,10:53,,11:01,11:05
Vashi,,10:07,10:11,,10:15,10:19,,10:23,,10:31,10:35,,,10:47,10:51,10:55,,11:03,11:07
Mankhurd,,10:15,10:19,,10:23,10:27,,10:31,,10:39,10:43,,,10:55,10:59,11:03,,11:11,11:15
Govandi,,10:18,10:22,,10:26,10:30,,10:34,,10:42,10:46,,,10:58,11:02,11:06,,11:14,11:18
Chembur,,10:20,10:24,,10:28,10:32,,10:36,,10:44,10:48,,,11:00,11:04,11:08,,11:16,11:20
Tilaknagar,,10:23,10:27,,10:31,10:35,,10:39,,10:47,10:51,,,11:03,11:07,11:11,,11:19,11:23
Kurla,,10:26,10:30,,10:34,10:38,,10:42,,10:50,10:54,,,11:06,11:10,11:14,,11:22,11:26
Chunabhatti,,10:29,10:33,,10:37,10:41,,10:45,,10:53,10:57,,,11:09,11:13,11:17,,11:25,11:29
GTB Nagar,,10:32,10:36,,10:40,10:44,,10:48,,10:56,11:00,,,11:12,11:16,11:20,,11:28,11:32
Goregaon,,,,10:06,,,,,,,,,10:35,,,,,,
