,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,98838,98094,98908,98346,98740,98096,98098,98840,98348,99034,98100,98742,98350,98842,98102,98104,98744,98106,98844
,B 38,PL 72,GNPL 8,BR 44,GN 40,PLVD 24,PL 74,B 40,BR 46,TPL 34,PL 76,GN 42,BR 48,B 42,PL 78,PLVD 26,GN 44,PL 80,B 44
Panvel,,11:52,,,,12:03,12:07,,,12:19,12:24,,,,12:41,12:49,,12:56,
Khandeshwar,,11:57,,,,12:08,12:12,,,12:24,12:29,,,,12:46,12:54,,13:01,
Mansarovar,,12:00,,,,12:11,12:15,,,12:27,12:32,,,,12:49,12:57,,13:04,
Kharghar,,12:03,,,,12:14,12:18,,,12:30,12:35,,,,12:52,13:00,,13:07,
Belapur CBD,,12:07,,12:11,,12:18,12:22,,12:29,12:34,12:39,,12:48,,12:56,13:04,,13:11,
Seawood Darave,,12:11,,12:15,,12:22,12:26,,12:33,12:38,12:43,,12:52,,13:00,13:08,,13:15,
Nerul,,12:14,,12:18,,12:25,12:29,,12:36,12:42,12:46,,12:55,,13:03,13:11,,13:18,
Juinagar,,12:17,,12:21,,12:28,12:32,,12:39,,12:49,,12:58,,13:06,13:14,,13:21,
Sanpada,,12:20,,12:24,,12:31,12:35,,12:42,,12:52,,13:01,,13:09,13:17,,13:24,
Vashi,,12:22,,12:26,,12:33,12:37,,12:44,,12:54,,13:03,,13:11,13:19,,13:26,
Mankhurd,,12:30,,12:34,,12:41,12:45,,12:52,,13:02,,13:11,,13:19,13:27,,13:34,
Govandi,,12:33,,12:37,,12:44,12:48,,12:55,,13:05,,13:14,,13:22,13:30,,13:37,
Chembur,,12:35,,12:39,,12:46,12:50,,12:57,,13:07,,13:16,,13:24,13:32,,13:39,
Tilaknagar,,12:38,,12:42,,12:49,12:53,,13:00,,13:10,,13:19,,13:27,13:35,,13:42,
Kurla,,12:41,,12:45,,12:52,12:56,,13:03,,13:13,,13:22,,13:30,13:38,,13:45,
Chunabhatti,,12:44,,12:48,,12:55,12:59,,13:06,,13:16,,13:25,,13:33,13:41,,13:48,
GTB Nagar,,12:47,,12:51,,12:58,13:02,,13:09,,13:19,,13:28,,13:36,13:44,,13:51,
Goregaon,,,12:14,,12:27,,,,,,,12:53,,,,,13:15,,
