,VVD 8,B 54,PL 114,BR 54,TPL 44,GN 54,V 42,PL 116,PL 118,VVD 10,B 56,TPL 46,BR 56,PL 120,VVD 12,GN 56,PL 122,TPL 48,V 44
,X,,,,,,,,,X,X,,X,X,,,,X,
Panvel,,,15:28,,15:36,,,15:45,15:49,,,15:53,,16:01,,,16:10,16:14,
Khandeshwar,,,15:33,,15:41,,,15:50,15:54,,,15:58,,16:06,,,16:15,16:19,
Mansarovar,,,15:36,,15:44,,,15:53,15:57,,,16:01,,16:09,,,16:18,16:22,
Kharghar,,,15:39,,15:47,,,15:56,16:00,,,16:04,,16:12,,,16:21,16:25,
Belapur CBD,,,15:43,15:47,15:51,,,16:00,16:04,,,16:08,16:12,16:16,,,16:25,16:29,
Seawood Darave,,,15:47,15:51,15:55,,,16:04,16:08,,,16:12,16:16,16:20,,,16:29,16:33,
Nerul,,,15:50,15:54,15:59,,,16:07,16:11,,,16:16,16:19,16:23,,,16:32,16:37,
Juinagar,,,15:53,15:57,,,,16:10,16:14,,,,16:22,16:26,,,16:35,,
Sanpada,,,15:56,16:00,,,,16:13,16:17,,,,16:25,16:29,,,16:38,,
Vashi,15:54,,15:58,16:02,,,16:11,16:15,16:19,16:23,,,16:27,16:31,16:35,,16:40,,16:44
Mankhurd,16:02,,16:06,16:10,,,16:19,16:23,16:27,16:31,,,16:35,16:39,16:43,,16:48,,16:52
Govandi,16:05,,16:09,16:13,,,16:22,16:26,16:30,16:34,,,16:38,16:42,16:46,,16:51,,16:55
Chembur,16:07,,16:11,16:15,,,16:24,16:28,16:32,16:36,,,16:40,16:44,16:48,,16:53,,16:57
Tilaknagar,16:10,,16:14,16:18,,,16:27,16:31,16:35,16:39,,,16:43,16:47,16:51,,16:56,,17:00
Kurla,16:13,,16:17,16:21,,,16:30,16:34,16:38,16:42,,,16:46,16:50,16:54,,16:59,,17:03
Chunabhatti,16:16,,16:20,16:24,,,16:33,16:37,16:41,16:45,,,16:49,16:53,16:57,,17:02,,17:06
GTB Nagar,16:19,,16:23,16:27,,,16:36,16:40,16:44,16:48,,,16:52,16:56,17:00,,17:05,,17:09
Goregaon,,,,,,16:01,,,,,,,,,,16:29,,,
