,BR 58,PL 124,B 58,VVD 14,TPL 50,PL 126,GN 58,PLGN 9,PL 128,V 46,B 60,PLVD 34,BR 60,PL 130,V 48,PLGN 11,GN 60,PL 132,TPL 52
,,X,,,,,,,,X,,,,,,,,,
Panvel,,16:22,,,16:26,16:30,,16:34,16:38,,,16:45,,16:53,,17:01,,17:07,17:12
Khandeshwar,,16:27,,,16:31,16:35,,16:39,16:43,,,16:50,,16:58,,17:06,,17:12,17:17
Mansarovar,,16:30,,,16:34,16:38,,16:42,16:46,,,16:53,,17:01,,17:09,,17:15,17:20
Kharghar,,16:33,,,16:37,16:41,,16:45,16:49,,,16:56,,17:04,,17:12,,17:18,17:23
Belapur CBD,16:33,16:37,,,16:41,16:45,,16:49,16:53,,,17:00,17:04,17:08,,17:16,,17:22,17:27
Seawood Darave,16:37,16:41,,,16:45,16:49,,16:53,16:57,,,17:04,17:08,17:12,,17:20,,17:26,17:31
Nerul,16:40,16:44,,,16:49,16:52,,16:56,17:00,,,17:07,17:11,17:15,,17:23,,17:29,17:35
Juinagar,16:43,16:47,,,,16:55,,16:59,17:03,,,17:10,17:14,17:18,,17:26,,17:32,
Sanpada,16:46,16:50,,,,16:58,,17:02,17:06,,,17:13,17:17,17:21,,17:29,,17:35,
Vashi,16:48,16:52,,16:55,,17:00,,17:04,17:08,17:12,,17:15,17:19,17:23,17:27,17:31,,17:37,
Mankhurd,16:56,17:00,,17:03,,17:08,,17:12,17:16,17:20,,17:23,17:27,17:31,17:35,17:39,,17:45,
Govandi,16:59,17:03,,17:06,,17:11,,17:15,17:19,17:23,,17:26,17:30,17:34,17:38,17:42,,17:48,
Chembur,17:01,17:05,,17:08,,17:13,,17:17,17:21,17:25,,17:28,17:32,17:36,17:40,17:44,,17:50,
Tilaknagar,17:04,17:08,,17:11,,17:16,,17:20,17:24,17:28,,17:31,17:35,17:39,17:43,17:47,,17:53,
Kurla,17:07,17:11,,17:14,,17:19,,17:23,17:27,17:31,,17:34,17:38,17:42,17:46,17:50,,17:56,
Chunabhatti,17:10,17:14,,17:17,,17:22,,17:26,17:30,17:34,,17:37,17:41,17:45,17:49,17:53,,17:59,
GTB Nagar,17:13,17:17,,17:20,,17:25,,17:29,17:33,17:37,,17:40,17:44,17:48,17:52,17:56,,18:02,
Goregaon,,,,,,,16:58,,,,,,,,,,17:25,,
