,V 50,PLVD 36,B 62,PL 134,BR 62,GN 62,PLGN 13,PL 136,TPL 54,V 52,BR 64,B 64,PLVD 38,PL 138,GN 64,V 54,TPL 56,BR 66
,,,,,X,,,,$,X,,,X,,,X,,
Panvel,,17:17,,17:21,,,17:29,17:33,17:37,,,,17:46,17:50,,,17:57,
Khandeshwar,,17:22,,17:26,,,17:34,17:38,17:42,,,,17:51,17:55,,,18:02,
Mansarovar,,17:25,,17:29,,,17:37,17:41,17:45,,,,17:54,17:58,,,18:05,
Kharghar,,17:28,,17:32,,,17:40,17:44,17:48,,,,17:57,18:01,,,18:08,
Belapur CBD,,17:32,,17:36,17:40,,17:44,17:48,17:52,,17:56,,18:01,18:05,,,18:12,18:16
Seawood Darave,,17:36,,17:40,17:44,,17:48,17:52,17:56,,18:00,,18:05,18:09,,,18:16,18:20
Nerul,,17:39,,17:43,17:47,,17:51,17:55,18:00,,18:03,,18:08,18:12,,,18:20,18:23
Juinagar,,17:42,,17:46,17:50,,17:54,17:58,,,18:06,,18:11,18:15,,,,18:26
Sanpada,,17:45,,17:49,17:53,,17:57,18:01,,,18:09,,18:14,18:18,,,,18:29
Vashi,17:44,17:47,,17:51,17:55,,17:59,18:03,,18:07,18:11,,18:16,18:20,,18:26,,18:31
Mankhurd,17:52,17:56,,18:00,18:04,,18:08,18:12,,18:16,18:20,,18:24,18:28,,18:35,,18:39
Govandi,17:55,17:59,,18:03,18:07,,18:11,18:15,,18:19,18:23,,18:27,18:31,,18:38,,18:42
Chembur,17:57,18:01,,18:05,18:09,,18:13,18:17,,18:21,18:25,,18:29,18:33,,18:40,,18:44
Tilaknagar,18:00,18:04,,18:08,18:12,,18:16,18:20,,18:24,18:28,,18:32,18:36,,18:43,,18:47
Kurla,18:03,18:07,,18:11,18:15,,18:19,18:23,,18:27,18:31,,18:35,18:39,,18:46,,18:50
Chunabhatti,18:06,18:10,,18:14,18:18,,18:22,18:26,,18:30,18:34,,18:38,18:42,,18:49,,18:53
GTB Nagar,18:09,18:13,,18:17,18:21,,18:25,18:29,,18:33,18:37,,18:41,18:45,,18:52,,18:56
Goregaon,,,,,,17:53,,,,,,,,,18:14,,,
