,PL 140,B 66,PL 142,GN 66,PLVD 40,TPL 58,V 56,BR 68,B 68,PLGN 15,PL 144,GNPL 12,PL 146,V 58,PLVD 42,GN 68,PL 148,GN 70,TPL 60
,,,X,X,,$,,X,,,,,,,,,,,
Panvel,18:06,,18:14,,18:18,18:22,,,,18:33,18:37,,18:41,,18:49,,18:57,,19:01
Khandeshwar,18:11,,18:19,,18:23,18:27,,,,18:38,18:42,,18:46,,18:54,,19:02,,19:06
Mansarovar,18:14,,18:22,,18:26,18:30,,,,18:41,18:45,,18:49,,18:57,,19:05,,19:09
Kharghar,18:17,,18:25,,18:29,18:33,,,,18:44,18:48,,18:52,,19:00,,19:08,,19:12
Belapur CBD,18:21,,18:29,,18:33,18:37,,18:44,,18:48,18:52,,18:56,,19:04,,19:12,,19:16
Seawood Darave,18:25,,18:33,,18:37,18:41,,18:48,,18:52,18:56,,19:00,,19:08,,19:16,,19:20
Nerul,18:28,,18:36,,18:40,18:45,,18:51,,18:55,18:59,,19:03,,19:11,,19:19,,19:24
Juinagar,18:31,,18:39,,18:43,,,18:54,,18:58,19:02,,19:06,,19:14,,19:22,,
Sanpada,18:34,,18:42,,18:46,,,18:57,,19:01,19:05,,19:09,,19:17,,19:25,,
Vashi,18:36,,18:44,,18:48,,18:54,18:59,,19:03,19:07,,19:11,19:15,19:19,,19:27,,
Mankhurd,18:45,,18:53,,18:57,,19:03,19:07,,19:11,19:15,,19:19,19:23,19:27,,19:35,,
Govandi,18:48,,18:56,,19:00,,19:06,19:10,,19:14,19:18,,19:22,19:26,19:30,,19:38,,
Chembur,18:50,,18:58,,19:02,,19:08,19:12,,19:16,19:20,,19:24,19:28,19:32,,19:40,,
Tilaknagar,18:53,,19:01,,19:05,,19:11,19:15,,19:19,19:23,,19:27,19:31,19:35,,19:43,,
Kurla,18:56,,19:04,,19:08,,19:14,19:18,,19:22,19:26,,19:30,19:34,19:38,,19:46,,
Chunabhatti,18:59,,19:07,,19:11,,19:17,19:21,,19:25,19:29,,19:33,19:37,19:41,,19:49,,
GTB Nagar,19:02,,19:10,,19:14,,19:20,19:24,,19:28,19:32,,19:36,19:40,19:44,,19:52,,
Goregaon,,,,18:41,,,,,,,,18:55,,,,19:10,,19:27,
