Tilaknagar,18:53,,19:01,,19:05,19:11,19:15,,19:19,19:23,,19:27,19:31,19:35,,19:43,
Kurla,18:56,,19:04,,19:08,19:14,19:18,,19:22,19:26,,19:30,19:34,19:38,,19:46,
Chunabhatti,18:59,,19:07,,19:11,19:17,19:21,,19:25,19:29,,19:33,19:37,19:41,,19:49,
GTB Nagar,19:02,,19:10,,19:14,19:20,19:24,,19:28,19:32,,19:36,19:40,19:44,,19:52,
Goregaon,,,,18:41,,,,,,,18:55,,,,19:10,,19:27
Ramnagar,,,,18:45,,,,,,,19:00,,,,19:14,,19:31
Jogeshwari,,,,18:48,,,,,,,19:03,,,,19:17,,19:34
Andheri,,,,18:52,,,,,,,19:08,,,,19:21,,19:38
Vileparle,,,,18:56,,,,,,,19:12,,,,19:25,,19:42
Santacruz,,,,18:59,,,,,,,19:16,,,,19:28,,19:45
Khar Road,,,,19:02,,,,,,,19:19,,,,19:31,,19:49
Bandra,,19:01,,19:07,,,,19:22,,,19:26,,,,19:36,,19:54
Mahim Jn,,19:05,,19:11,,,,19:25,,,19:29,,,,19:40,,19:57
King's Circle,,19:08,,19:14,,,,19:28,,,19:32,,,,19:44,,20:00
Vadala Road,19:09,19:14,19:18,19:21,19:21,19:26,19:30,19:34,19:35,19:38,19:38,19:42,19:46,19:51,19:50,19:58,20:06
Sewri,19:12,19:17,19:21,19:24,,19:29,19:33,19:37,,19:41,,19:45,19:49,,19:53,20:01,20:09
Cotton Green,19:15,19:20,19:24,19:27,,19:32,19:36,19:40,,19:44,,19:48,19:52,,19:56,20:04,20:12
Reay Road,19:17,19:22,19:26,19:29,,19:34,19:38,19:42,,19:46,,19:50,19:54,,19:58,20:06,20:14
Dockyard Road,19:20,19:25,19:29,19:32,,19:37,19:41,19:45,,19:49,,19:53,19:57,,20:01,20:09,20:17
Sandhurst Road,19:22,19:27,19:31,19:34,,19:39,19:43,19:47,,19:51,,19:55,19:59,,20:03,20:11,20:19
Masjid,19:24,19:29,19:33,19:36,,19:41,19:45,19:49,,19:53,,19:57,20:01,,20:05,20:13,20:21
Mumbai CSMT,19:28,19:32,19:36,19:40,,19:44,19:48,19:52,,19:56,,20:00,20:04,,20:08,20:16,20:24
