,BRVD 6,PL 150,TPL 62,B 70,PL 152,GNPL 14 WGN 6,PL 154,GN 72,TPL 64,PLGN 17,V 60,PL 156,B 72,BRVD 8,PL 158,GNPL 16,PL 160,V 62
,X,,,,,,,,,,X,,,X,,,,X
Panvel,,19:09,19:13,,19:17,,19:24,,19:31,19:35,,19:43,,,19:51,,19:55,
Khandeshwar,,19:14,19:18,,19:22,,19:29,,19:36,19:40,,19:48,,,19:56,,20:00,
Mansarovar,,19:17,19:21,,19:25,,19:32,,19:39,19:43,,19:51,,,19:59,,20:03,
Kharghar,,19:20,19:24,,19:28,,19:35,,19:42,19:46,,19:54,,,20:02,,20:06,
Belapur CBD,19:20,19:24,19:28,,19:32,,19:39,,19:46,19:50,,19:58,,20:02,20:06,,20:10,
Seawood Darave,19:24,19:28,19:32,,19:36,,19:43,,19:50,19:54,,20:02,,20:06,20:10,,20:14,
Nerul,19:27,19:31,19:36,,19:39,,19:46,,19:54,19:57,,20:05,,20:09,20:13,,20:17,
Juinagar,19:30,19:34,,,19:42,,19:49,,,20:00,,20:08,,20:12,20:16,,20:20,
Sanpada,19:33,19:37,,,19:45,,19:52,,,20:03,,20:11,,20:15,20:19,,20:23,
Vashi,19:35,19:39,,,19:47,,19:54,,,20:05,20:09,20:13,,20:17,20:21,,20:25,20:29
Mankhurd,19:43,19:47,,,19:55,,20:02,,,20:13,20:17,20:21,,20:25,20:29,,20:33,20:37
Govandi,19:46,19:50,,,19:58,,20:05,,,20:16,20:20,20:24,,20:28,20:32,,20:36,20:40
Chembur,19:48,19:52,,,20:00,,20:07,,,20:18,20:22,20:26,,20:30,20:34,,20:38,20:42
Tilaknagar,19:51,19:55,,,20:03,,20:10,,,20:21,20:25,20:29,,20:33,20:37,,20:41,20:45
Kurla,19:54,19:58,,,20:06,,20:13,,,20:24,20:28,20:32,,20:36,20:40,,20:44,20:48
Chunabhatti,19:57,20:01,,,20:09,,20:16,,,20:27,20:31,20:35,,20:39,20:43,,20:47,20:51
GTB Nagar,20:00,20:04,,,20:12,,20:19,,,20:30,20:34,20:38,,20:42,20:46,,20:50,20:54
Goregaon,,,,,,"19:40
19:45",,19:56,,,,,,,,20:12,,
