,BRVD 10,GN 74,PL 162,B 74,BR 70,V 64,TPL 66,PL 164,GN 76,PLVD 44,PL 166,PL 168,BR 72,B 76,PL 170,TPL 68,GN 78,PL 172,BR 74
,,,,,X,X,,,,X,,,,,,X,,,X
Panvel,,,20:07,,,,20:19,20:23,,20:27,20:31,20:35,,,20:47,20:51,,20:57,
Khandeshwar,,,20:12,,,,20:24,20:28,,20:32,20:36,20:40,,,20:52,20:56,,21:02,
Mansarovar,,,20:15,,,,20:27,20:31,,20:35,20:39,20:43,,,20:55,20:59,,21:05,
Kharghar,,,20:18,,,,20:30,20:34,,20:38,20:42,20:46,,,20:58,21:02,,21:08,
Belapur CBD,20:18,,20:22,,20:30,,20:34,20:38,,20:42,20:46,20:50,20:54,,21:02,21:06,,21:12,21:16
Seawood Darave,20:22,,20:26,,20:34,,20:38,20:42,,20:46,20:50,20:54,20:58,,21:06,21:10,,21:16,21:20
Nerul,20:25,,20:29,,20:37,,20:42,20:45,,20:49,20:53,20:57,21:01,,21:09,21:15,,21:19,21:23
Juinagar,20:28,,20:32,,20:40,,,20:48,,20:52,20:56,21:00,21:04,,21:12,,,21:22,21:26
Sanpada,20:31,,20:35,,20:43,,,20:51,,20:55,20:59,21:03,21:07,,21:15,,,21:25,21:29
Vashi,20:33,,20:37,,20:45,20:49,,20:53,,20:57,21:01,21:05,21:09,,21:17,,,21:27,21:31
Mankhurd,20:41,,20:45,,20:53,20:57,,21:01,,21:05,21:09,21:13,21:17,,21:25,,,21:35,21:39
Govandi,20:44,,20:48,,20:56,21:00,,21:04,,21:08,21:12,21:16,21:20,,21:28,,,21:38,21:42
Chembur,20:46,,20:50,,20:58,21:02,,21:06,,21:10,21:14,21:18,21:22,,21:30,,,21:40,21:44
Tilaknagar,20:49,,20:53,,21:01,21:05,,21:09,,21:13,21:17,21:21,21:25,,21:33,,,21:43,21:47
Kurla,20:52,,20:56,,21:04,21:08,,21:12,,21:16,21:20,21:24,21:28,,21:36,,,21:46,21:50
Chunabhatti,20:55,,20:59,,21:07,21:11,,21:15,,21:19,21:23,21:27,21:31,,21:39,,,21:49,21:53
GTB Nagar,20:58,,21:02,,21:10,21:14,,21:18,,21:22,21:26,21:30,21:34,,21:42,,,21:52,21:56
Goregaon,,20:26,,,,,,,20:51,,,,,,,,21:15,,
