,GNPL 18,PL 174,B 78,PL 176,GN 80,TPL 70,PL 178,PL 180,B 80,PL 182,GN 82,PL 184,B 82,PL 186,TPL 72,GN 84,PL 188,PL 190
,,,,,,,,X,,,,,,X,,,,
Panvel,,21:05,,21:15,,21:20,21:26,21:30,,21:39,,21:52,,22:07,22:15,,22:19,22:23
Khandeshwar,,21:10,,21:20,,21:25,21:31,21:35,,21:44,,21:57,,22:12,22:20,,22:24,22:28
Mansarovar,,21:13,,21:23,,21:28,21:34,21:38,,21:47,,22:00,,22:15,22:23,,22:27,22:31
Kharghar,,21:16,,21:26,,21:31,21:37,21:41,,21:50,,22:03,,22:18,22:26,,22:30,22:34
Belapur CBD,,21:20,,21:30,,21:35,21:41,21:45,,21:54,,22:07,,22:22,22:30,,22:34,22:38
Seawood Darave,,21:24,,21:34,,21:39,21:45,21:49,,21:58,,22:11,,22:26,22:34,,22:38,22:42
Nerul,,21:27,,21:37,,21:43,21:48,21:52,,22:01,,22:14,,22:29,22:38,,22:42,22:46
Juinagar,,21:30,,21:40,,,21:51,21:55,,22:04,,22:17,,22:32,,,22:45,22:49
Sanpada,,21:33,,21:43,,,21:54,21:58,,22:07,,22:20,,22:35,,,22:48,22:52
Vashi,,21:35,,21:45,,,21:56,22:00,,22:09,,22:22,,22:37,,,22:50,22:54
Mankhurd,,21:43,,21:53,,,22:04,22:08,,22:17,,22:31,,22:45,,,22:58,23:02
Govandi,,21:46,,21:56,,,22:07,22:11,,22:20,,22:34,,22:48,,,23:01,23:05
Chembur,,21:48,,21:58,,,22:09,22:13,,22:22,,22:36,,22:50,,,23:03,23:07
Tilaknagar,,21:51,,22:01,,,22:12,22:16,,22:25,,22:39,,22:53,,,23:06,23:10
Kurla,,21:54,,22:04,,,22:15,22:19,,22:28,,22:42,,22:56,,,23:09,23:13
Chunabhatti,,21:57,,22:07,,,22:18,22:22,,22:31,,22:45,,22:59,,,23:12,23:16
GTB Nagar,,22:00,,22:10,,,22:21,22:25,,22:34,,22:48,,23:02,,,23:15,23:19
Goregaon,21:28,,,,21:43,,,,,,22:15,,,,,22:40,,
