,PL 192,GN 86,PL 194,VPL 2,B 86,PL 196,GN 88,PL 198,TPL 74,BRPL 2,VPL 4,PLVD 46,BRPL 4
,,,,X,,,,,,,,,
Panvel,22:35,,22:46,22:50,,22:58,,23:13,23:18,23:22,23:32,23:36,23:48
Khandeshwar,22:40,,22:51,22:55,,23:03,,23:18,23:23,23:27,23:37,23:41,23:53
Mansarovar,22:43,,22:54,22:58,,23:06,,23:21,23:26,23:30,23:40,23:44,23:56
Kharghar,22:46,,22:57,23:01,,23:09,,23:24,23:29,23:33,23:43,23:47,23:59
Belapur CBD,22:50,,23:01,23:05,,23:13,,23:28,23:33,23:37,23:47,23:51,00:03
Seawood Darave,22:54,,23:05,23:09,,23:17,,23:32,23:37,,23:51,23:55,
Nerul,22:57,,23:08,23:12,,23:20,,23:35,23:41,,23:54,23:58,
Juinagar,23:00,,23:11,23:15,,23:23,,23:38,,,23:57,00:01,
Sanpada,23:03,,23:14,23:18,,23:26,,23:41,,,00:00,00:04,
Vashi,23:05,,23:16,23:20,,23:28,,23:43,,,00:02,00:06,
Mankhurd,23:13,,23:24,,,23:36,,23:51,,,,00:14,
Govandi,23:16,,23:27,,,23:39,,23:54,,,,00:17,
Chembur,23:18,,23:29,,,23:41,,23:56,,,,00:19,
Tilaknagar,23:21,,23:32,,,23:44,,23:59,,,,00:22,
Kurla,23:24,,23:35,,,23:47,,00:02,,,,00:25,
Chunabhatti,23:27,,23:38,,,23:50,,00:05,,,,00:28,
GTB Nagar,23:30,,23:41,,,23:53,,00:08,,,,00:31,
Goregaon,,23:06,,,,,23:33,,,,,,
