Tilaknagar,23:21,,23:32,,23:44,,23:59,00:22
Kurla,23:24,,23:35,,23:47,,00:02,00:25
Chunabhatti,23:27,,23:38,,23:50,,00:05,00:28
GTB Nagar,23:30,,23:41,,23:53,,00:08,00:31
Goregaon,,23:06,,,,23:33,,
Ramnagar,,23:10,,,,23:37,,
Jogeshwari,,23:13,,,,23:40,,
Andheri,,23:17,,,,23:44,,
Vileparle,,23:21,,,,23:48,,
Santacruz,,23:24,,,,23:51,,
Khar Road,,23:27,,,,23:54,,
Bandra,,23:31,,23:42,,23:58,,
Mahim Jn,,23:34,,23:46,,00:01,,
King's Circle,,23:37,,23:49,,00:04,,
Vadala Road,23:36,23:43,23:47,23:55,23:59,00:10,00:14,00:38
Sewri,23:39,23:46,23:50,23:58,00:02,00:13,00:17,
Cotton Green,23:42,23:49,23:53,00:01,00:05,00:16,00:20,
Reay Road,23:44,23:51,23:55,00:03,00:07,00:18,00:22,
Dockyard Road,23:47,23:54,23:58,00:06,00:10,00:21,00:25,
Sandhurst Road,23:49,23:56,00:00,00:08,00:12,00:23,00:27,
Masjid,23:51,23:58,00:02,00:10,00:14,00:25,00:29,
Mumbai CSMT,23:54,00:01,00:05,00:13,00:17,00:28,00:32,
