Tilaknagar,07:39,07:43,07:47,,07:51,07:55,,08:00,08:04,08:08,,08:13,08:17,08:21,08:25,
Kurla,07:42,07:46,07:50,,07:54,07:58,,08:03,08:07,08:11,,08:16,08:20,08:24,08:28,
Chunabhatti,07:45,07:49,07:53,,07:57,08:01,,08:06,08:10,08:14,,08:19,08:23,08:27,08:31,
GTB Nagar,07:48,07:52,07:56,,08:00,08:04,,08:09,08:13,08:17,,08:22,08:26,08:30,08:34,
Goregaon,,,,07:30,,,,,,,07:47,,,,,
Ramnagar,,,,07:34,,,,,,,07:51,,,,,
Jogeshwari,,,,07:37,,,,,,,07:54,,,,,
Andheri,,,,07:41,,,,,,,07:58,,,,,
Vileparle,,,,07:45,,,,,,,08:02,,,,,
Santacruz,,,,07:48,,,,,,,08:05,,,,,
Khar Road,,,,07:51,,,,,,,08:08,,,,,
Bandra,,,,07:54,,,07:58,,,,08:12,,,,,08:28
Mahim Jn,,,,07:57,,,08:02,,,,08:15,,,,,08:31
King's Circle,,,,08:00,,,08:05,,,,08:18,,,,,08:34
Vadala Road,07:54,07:58,08:02,08:06,08:06,08:10,08:11,08:15,08:19,08:24,08:24,08:28,08:32,08:36,08:40,08:40
Sewri,,08:01,08:05,,08:09,,08:14,08:18,08:22,,08:27,08:31,08:35,08:39,,08:43
Cotton Green,,08:04,08:08,,08:12,,08:17,08:21,08:25,,08:30,08:34,08:38,08:42,,08:46
Reay Road,,08:06,08:10,,08:14,,08:19,08:23,08:27,,08:32,08:36,08:40,08:44,,08:48
Dockyard Road,,08:09,08:13,,08:17,,08:22,08:26,08:30,,08:35,08:39,08:43,08:47,,08:51
Sandhurst Road,,08:11,08:15,,08:19,,08:24,08:28,08:32,,08:37,08:41,08:45,08:49,,08:53
Masjid,,08:13,08:17,,08:21,,08:26,08:30,08:34,,08:39,08:43,08:47,08:51,,08:55
Mumbai CSMT,,08:16,08:20,,08:24,,08:29,08:33,08:37,,08:42,08:46,08:50,08:54,,08:58
