TRAIN,Churchgate,Marine Lines,Charni Road,Grant Road,Mumbai Central,Mahalaxmi,Lower Parel,Elphinstone Road,Dadar,Matunga Road,Mahim Jn,Bandra,Khar Road,Santa Cruz,Vile Parle,Andheri,Jogeshwari,Ram Mandir,Goregaon,Malad,Kandivali,Borivali,Dahisar,Mira Road,Bhayandar,Naigaon,Vasai Road,Nallasopara,Virar
93001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:50
90001,,,,,,,,,,,,04:05,04:09,04:12,04:15,04:20,04:23,04:26,04:28,04:32,04:35,04:42,,,,,,,
92001,,,,,,,,,,,,,,,,,,,,,,04:40,04:45,04:49,04:54,04:59,05:04,05:09,05:15
92003,,,,,,,,,,,,,,,,04:25,04:29,04:32,04:34,04:38,04:41,04:46,04:50,04:55,05:00,05:06,05:11,05:16,05:23
90003,,,,,,,,,,,,,,,,,,,,,,,,,05:08,05:14,05:19,05:24,05:31
92005,,,,,,,,,,,,,,,,04:40,04:44,04:47,04:49,04:53,04:56,05:01,05:05,05:10,05:15,05:21,05:26,05:31,05:38
93003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:35
90007,,,,,,,,,,,,,,,,,,,,,,04:56,05:00,05:05,05:10,05:16,05:21,05:26,05:39
90007A,,,,,,,,,,,,04:30,04:34,04:37,04:40,04:45,04:48,,04:53,04:58,05:01,05:06,05:11,05:16,05:21,,,,
94001,,,,,,,,,,,,,,,,,,,,,,05:07,05:11,05:16,05:21,05:27,05:32,05:37,05:45
90009,,,,,,,,,,,,,,,,,,,,,,,,,05:25,05:31,05:36,05:41,05:48
90011,04:15,04:18,04:20,04:23,04:25,04:28,04:31,04:34,04:36,04:38,04:41,04:45,04:48,04:50,04:53,04:58,05:01,,05:06,05:10,05:13,05:20,05:24,05:29,05:34,05:40,05:45,05:50,05:58
90013,,,,,,,,,,,,,,,,,,,,,,05:21,05:25,05:30,05:35,05:41,05:48,,
90015,04:18,04:21,04:23,04:26,04:28,04:31,04:34,04:37,04:39,04:41,04:44,04:48,04:51,04:53,04:56,05:01,05:04,05:07,05:09,05:13,05:16,05:22,,,,,,,
90017,,,,,,,,,,,,04:55,04:58,05:00,05:03,05:08,05:12,05:15,05:17,05:21,05:24,05:30,,,,,,,
90019,04:38,04:41,04:43,04:46,04:48,04:51,04:54,04:57,04:59,05:01,05:04,05:08,05:11,05:13,05:16,05:22,05:25,05:28,05:30,05:34,05:37,05:44,,,,,,,
90021,04:40,04:43,04:45,04:48,04:50,,,,04:57,,,05:03,,,,05:12,,,,,,05:26,05:30,05:35,05:40,05:45,05:50,05:55,06:02
92007,,,,,,,,,,,,,,,,,,,,,,,,,05:45,05:52,05:57,06:02,06:11
90025,04:46,04:49,04:51,04:54,04:56,04:59,05:02,05:05,05:07,05:09,05:12,05:16,05:19,05:21,05:24,05:28,05:31,05:34,05:36,05:40,05:43,05:49,,,,,,,
90027,,,,,,,,,,,,05:20,05:23,05:25,05:28,05:33,05:36,05:39,05:41,05:45,05:48,05:55,,,,,,,
90029,04:55,04:58,05:00,05:03,05:05,05:08,05:11,05:14,05:16,05:18,05:21,05:25,05:28,05:30,05:33,05:37,05:40,05:43,05:45,05:49,05:52,05:58,,,,,,,
92009,,,,,,,,,05:15,,,05:22,,,,05:32,,,,,,05:45,05:50,05:54,05:59,06:04,06:09,06:14,06:20
93005,05:03,05:06,05:09,05:11,05:13,,,,05:20,,,05:27,,,,05:36,,,,,,05:49,,,05:58,,06:05,,06:15
90031,05:00,05:03,05:05,05:08,05:10,05:13,05:16,05:19,05:21,05:23,05:26,05:30,05:33,05:35,05:38,05:43,05:46,05:49,05:51,05:55,05:58,06:05,,,,,,,
90033,05:07,05:10,05:12,05:15,05:17,,,,05:24,,,05:30,,,,05:40,,,,,,05:54,05:58,06:02,06:07,06:12,06:17,06:22,06:30
90035,,,,,,,,,,,,,,,,,,,,,,,,,06:08,06:15,06:21,06:26,06:34
90037,,,,,,05:17,05:21,05:24,05:26,05:28,05:31,05:35,05:39,05:41,05:44,05:49,05:52,05:55,05:57,06:01,06:04,06:11,,,,,,,
90039,,,,,,,,,,,,05:40,05:45,05:47,05:50,05:56,05:59,06:02,06:04,06:08,06:11,06:17,,,,,,,
90041,05:15,05:18,05:20,05:23,05:25,,,,05:32,,,05:37,,,,05:45,,,,,,05:58,06:02,06:07,06:12,06:18,06:23,06:28,06:38
90043,,,,,,,,,,,,,,,,,,,,,,06:03,06:09,06:13,06:18,06:24,06:31,,
90045,05:15,05:18,05:20,05:23,05:25,05:28,05:31,05:34,05:36,05:38,05:41,05:45,05:48,05:50,05:53,05:58,06:01,06:04,06:06,06:10,06:13,06:19,,,,,,,
90047,05:19,05:22,05:24,05:27,05:29,05:31,05:34,05:37,05:39,05:41,05:44,05:48,05:51,05:54,05:57,06:02,06:05,06:08,06:13,,,,,,,,,,
90049,05:23,05:26,05:28,05:31,05:33,,,,05:40,,,05:45,,,,05:54,,,,,,06:07,06:11,06:16,06:21,06:26,06:31,06:36,06:43
92011,,,,,,,,,,,,,,,,,,,,,,06:16,06:21,06:26,06:31,06:37,06:42,06:47,06:56
92013,,,,,,,,,,,,,,,,06:05,06:09,06:12,06:14,06:18,06:21,06:27,06:32,06:37,06:42,06:48,06:53,06:58,07:05
94003,,,,,,05:35,05:39,05:42,05:45,05:47,05:50,05:54,05:57,05:59,06:02,06:08,06:12,06:15,06:17,06:21,06:24,06:30,,,,,,,
90051,05:28,05:31,05:33,05:36,05:38,05:41,05:44,05:47,05:49,05:52,05:55,05:59,06:02,06:04,06:07,06:12,06:15,06:18,06:20,06:24,06:27,06:33,,,,,,,
90053,05:29,05:32,05:34,05:37,05:39,,,,05:46,,,05:51,,,,06:00,,,,,,06:12,06:17,06:22,06:27,06:33,06:38,06:43,06:53
90055,05:36,05:39,05:41,05:44,05:48,,,,05:57,,,06:02,,,,06:11,,,,,,06:24,06:29,06:33,06:38,06:43,06:50,,
