TRAIN,Churchgate,Marine Lines,Charni Road,Grant Road,Mumbai Central,Mahalaxmi,Lower Parel,Elphinstone Road,Dadar,Matunga Road,Mahim Jn,Bandra,Khar Road,Santa Cruz,Vile Parle,Andheri,Jogeshwari,Ram Mandir,Goregaon,Malad,Kandivali,Borivali,Dahisar,Mira Road,Bhayandar,Naigaon,Vasai Road,Nallasopara,Virar
94001,,,,,,,,,,,,,,,,,,,,,,05:07,05:11,05:16,05:21,05:27,05:32,05:37,05:45
94003,,,,,,05:35,05:59,05:42,05:45,05:47,05:50,05:54,05:57,05:59,06:02,06:08,06:12,06:15,06:17,06:21,06:24,06:30,,,,,,,
94005,05:40,05:43,05:45,05:48,05:50,05:53,05:56,05:59,06:01,06:03,06:06,06:11,06:14,06:16,06:19,06:24,06:27,06:30,06:32,06:36,06:39,06:45,,,,,,,
94007,,,,,,,,,,,,,,,,,,,,,,,,,07:27,,,,07:52
94111,06:14,06:17,06:19,06:22,06:24,06:27,06:30,06:33,06:35,06:37,06:40,06:44,06:47,06:49,06:52,06:57,07:00,07:03,07:05,07:09,07:12,07:19,,,,,,,
94107,,,,,,06:39,06:42,06:45,06:47,06:49,06:52,06:56,06:59,07:01,07:04,07:10,07:14,07:17,07:19,07:23,07:26,07:34,,,,,,,
94009,06:35,06:39,06:41,06:44,06:46,06:49,06:52,06:55,06:57,06:59,07:02,07:06,07:09,07:12,07:15,07:20,07:23,07:26,07:28,07:32,07:35,07:41,,,,,,,
94011,,,,,,06:57,07:00,07:03,07:05,07:07,07:10,07:13,07:16,07:19,07:22,07:27,07:30,07:33,07:35,07:39,07:42,07:47,07:51,07:56,08:01,08:06,08:11,08:16,08:23
94123,06:55,06:58,07:00,07:03,07:05,07:08,07:11,07:14,07:16,07:18,07:21,07:25,07:28,07:30,07:33,07:39,07:42,07:45,07:47,07:51,07:54,08:00,,,,,,,
94109,,,,,,,,,,,,,,,,,,,,,,07:37,,,07:52,,,,
94013,07:29,07:32,07:34,07:37,07:39,,,,07:46,,,07:52,,,,08:00,,,,,,08:16,,,,,,,
