TRAIN,,VIRAR,Nallasopara,VASAI ROAD,Naigaon,BHAYANDAR,Mira Road,Dahisar,BORIVALI,Kandivali,Malad,Goregaon,Ram Mandir,Jogeshwari,ANDHERI,Vile Parle,Santa Cruz,Khar Road,BANDRA,Mahim Jn.,Matunga Road,DADAR,Prabhadevi,Lower Parel,Mahalakshmi,M'BAI CENTRAL(L),Grant Road,Charni Road,Marine Lines,CHURCHGATE,_1,M'BAI CENTRAL(,M'BAI CENTRAL(L
94002,,,04:00,04:06,04:11,04:16,04:21,04:25,04:29,,,,,,,,,,,,,,,,,,,,,,,,
94004,,,,,,,,,04:31,04:36,04:39,04:42,04:44,04:47,04:51,04:55,04:58,05:01,05:05,05:08,05:11,05:14,05:17,05:20,05:23,05:26,05:28,05:30,05:33,05:36,,,
94110,,,,,,,,,,,,05:14,05:17,05:19,05:24,05:27,05:30,05:33,05:37,05:40,05:43,05:46,05:49,05:52,05:55,05:58,06:00,06:02,06:05,06:10,,,
94006,,,04:50,04:55,05:00,05:06,05:11,05:15,05:20,05:25,05:28,05:31,05:33,05:36,05:41,05:44,05:47,05:50,05:54,05:57,06:00,06:03,06:06,06:09,06:12,06:15,06:17,06:19,06:22,06:29,,,
94122,,,,,,,,,05:45,05:51,05:54,05:57,05:59,06:02,06:06,06:09,06:12,06:15,06:19,06:22,06:25,06:29,06:31,06:34,06:37,06:40,06:42,06:44,06:47,06:51,,,
94008,,05:57,06:03,06:08,06:13,06:19,06:24,06:29,06:36,,,,,,06:50,,,,06:59,,,07:04,,,,07:11,07:13,07:15,07:18,07:22,,,
94010,,,,,,,,,06:36,06:42,06:45,06:48,,06:53,06:58,,,,07:07,,,07:13,,,,07:20,07:22,07:24,07:27,07:32,,,
94012,,,,,,,,,06:51,06:58,07:01,07:04,,07:09,07:14,,,,07:23,,,07:29,,,,07:36,07:38,07:40,07:43,07:48,,,
94112,,,,,,,,,07:25,07:31,07:34,07:37,,07:41,07:45,,,,07:54,,,08:00,,,,08:07,08:09,08:11,08:14,08:20,,,
94014,,,,,,,,,07:46,07:52,07:55,07:58,,08:03,08:09,,,,08:19,,,08:25,,,,08:32,08:34,08:36,08:39,08:42,,,
94016,,07:15,07:21,07:26,07:31,07:37,07:42,07:46,07:53,07:58,08:01,08:04,,08:09,08:15,,,,08:24,,,08:30,,,,08:37,08:39,08:41,08:44,08:49,,,
94124,,,,,,,,,08:06,08:11,08:14,08:17,08:20,08:22,08:27,08:30,08:33,08:36,08:40,08:43,08:46,08:50,08:52,08:55,08:58,09:01,09:03,09:05,09:08,09:11,,,
94018,,,,,,,,,08:26,08:31,08:34,08:37,,08:41,08:46,,,,08:55,,,09:01,,,,09:08,09:10,09:12,09:15,09:19,,,
94002,,07:59,08:05,08:10,08:15,08:21,08:26,08:30,08:36,,,,,,08:49,,,,08:58,,,09:04,,,,09:11,09:13,09:15,09:18,09:22,,,
94004,,,,,00:00,08:24,08:30,08:35,08:40,,,,,,08:52,,,,09:02,,,09:08,,,,09:15,09:17,09:19,09:22,09:27,,,
94110,,08:33,08:39,08:44,08:48,08:54,08:59,09:03,09:09,09:15,09:18,09:21,09:23,09:26,09:31,09:35,09:38,09:41,09:47,09:50,09:53,09:57,09:59,10:02,10:05,10:08,10:10,10:12,10:15,10:20,,,
94006,,,,,,,,,09:35,09:41,09:44,09:48,,09:53,09:57,,,,10:06,,,10:12,,,,10:19,10:21,10:23,10:26,10:29,,,
94122,,09:09,09:15,09:20,09:25,09:31,09:36,09:40,09:45,,,,,,09:58,,,,10:09,,,10:15,,,,10:22,10:24,10:26,10:29,10:32,,,
94008,,09:23,09:29,09:35,09:39,09:45,09:50,09:55,10:00,,,,,,10:15,,,,10:25,,,10:31,,,,10:38,10:40,10:42,10:45,10:50,,,
94010,,,,,,,,,,,,10:11,10:15,10:17,10:22,10:26,10:29,10:32,10:37,10:41,10:44,10:48,10:50,10:53,10:56,10:59,11:01,11:03,11:06,11:09,,,
94012,,,,,,,,,10:16,10:21,10:24,10:27,,10:32,10:37,,,,10:47,,,10:53,,,,11:00,11:02,11:04,11:07,11:12,,,
94112,,10:08,10:14,10:19,10:23,10:29,10:34,10:38,10:43,,,,,,10:54,,,,11:03,,,11:09,,,,11:16,11:18,11:20,11:23,11:27,,,
94014,,10:20,10:26,10:31,10:36,10:42,10:47,10:51,10:55,,,,,,11:09,,,,11:18,,,11:24,,,,11:33,11:35,11:37,11:40,11:44,,,
94016,,,,,,,,,11:23,,,,,,11:38,,,,11:47,,,11:53,,,,12:00,12:02,12:04,12:07,12:12,,,
94124,,10:52,10:58,11:04,11:08,11:14,11:20,11:24,11:30,,,,,,11:45,,,,11:54,,,12:00,,,,12:07,12:09,12:11,12:14,12:19,,,
94018,,,,,,,,,11:35,11:40,11:43,11:46,11:48,11:51,11:56,11:59,12:02,12:05,12:09,12:12,12:15,12:19,12:21,12:24,12:27,12:30,12:32,12:34,12:37,12:40,,,
94002,,11:00,11:06,11:11,11:16,11:22,11:27,11:32,,,,,,,11:54,,,,12:03,,,12:09,,,,12:16,12:18,12:20,12:23,12:27,,,
94004,,,,,,11:54,12:00,12:04,12:09,,,,,,12:23,,,,12:32,,,12:37,,,,12:44,12:46,12:48,12:51,12:57,,,
94110,,12:20,12:26,12:31,12:36,12:41,12:46,12:50,12:54,,,,,,13:08,,,,13:18,,,13:23,,,,13:30,13:32,13:34,13:37,13:41,,,
94006,,,,,,12:44,12:50,12:54,12:58,,,,,,13:13,,,,13:22,,,13:28,,,,13:35,13:37,13:39,13:42,13:48,,,
94122,,12:45,,12:54,,13:02,,,13:10,,,,,,13:24,,,,13:33,,,13:39,,,,13:46,13:48,13:50,13:53,14:00,,,
94008,,13:18,13:24,13:29,13:34,13:40,13:45,13:49,13:54,,,,,,14:10,,,,14:19,,,14:25,,,,14:32,14:34,14:36,14:39,14:44,,,
94010,,,,,,,,,13:55,14:00,14:03,14:06,14:08,14:11,14:15,14:18,14:21,14:24,14:28,14:31,14:34,14:38,14:40,14:43,14:46,14:49,14:51,14:53,14:56,15:00,,,
94012,,13:34,,13:43,,13:51,,,14:03,,,,,,14:18,,,,14:28,,,14:34,,,,14:41,14:43,14:45,14:48,14:53,,,
94112,,14:06,14:12,14:17,14:21,14:26,14:30,14:34,14:38,,,,,,14:51,,,,15:00,,,15:06,,,,15:13,15:15,15:17,15:20,15:23,,,
94014,,14:05,14:11,14:16,14:20,14:26,14:31,14:35,14:41,,,,,,14:55,,,,15:04,,,15:10,,,,15:17,15:19,15:21,15:24,15:28,,,
94016,,15:00,15:06,15:11,15:15,15:21,15:26,15:30,15:36,,,,,,,,,,,,,,,,,,,,,,,,
94124,,,,,,15:32,15:38,15:43,15:47,,,,,,16:01,,,,16:11,,,16:17,,,,16:24,16:26,16:28,16:31,16:35,,,
94018,,15:27,,15:37,,15:46,,,15:57,,,,,,16:13,,,,16:23,,,16:29,,,,16:36,16:38,16:40,16:43,16:47,,,
94002,,,,,,,,,16:18,16:25,16:28,16:31,,16:36,16:40,,,,16:51,,,16:57,,,,,,,,17:12,,,
94004,,15:45,15:51,15:56,16:02,16:08,16:14,16:18,16:24,,,,,,16:38,,,,16:48,,,16:54,,,,,,,,17:09,,17:01,
94110,,16:20,16:26,16:31,16:35,16:41,16:46,16:50,16:55,,,,,,17:08,,,,17:17,,,17:23,,,,,,,,17:39,,17:30,
94006,,,,,,16:45,16:51,16:55,17:00,,,,,,17:15,,,,,,,,,,,,,,,,,,
94122,,16:32,16:39,16:44,16:50,16:55,17:00,17:04,17:10,,,,,,17:25,,,,17:35,,,17:41,,,,,,,,17:58,,17:50,
94008,,16:48,16:54,16:59,17:05,17:11,17:16,17:20,17:26,,,,,,,,,,,,,,,,,,,,,,,,
94010,,,,,,,,,17:27,17:34,17:37,17:40,17:42,17:45,17:50,17:54,17:57,18:00,18:04,18:07,18:10,18:14,18:16,18:19,18:22,,18:27,18:29,18:32,18:35,,18:25,
94012,,,,,,,,,17:28,,,,,,17:44,,,,17:54,,,18:00,,,,,,,,18:17,,18:07,
94112,,17:00,17:06,17:11,17:16,17:22,17:27,17:31,17:36,,,,,,17:51,,,,18:00,,,18:06,,,,,,,,18:25,,18:13,
94014,,,,,,,,,18:08,,,,,,18:23,,,,18:32,,,18:37,,,,,,,,18:52,,18:44,
94016,,,,,,,,,18:52,,,,,,19:06,,,,19:15,,,19:21,,,,,,,,19:36,,19:28,
94124,,18:20,18:26,18:31,18:36,18:42,18:47,18:52,18:58,,,,,,19:14,,,,19:24,,,19:31,,,,,,,,,,,
94018,,18:33,18:40,18:45,18:50,18:56,19:01,19:05,19:10,,,,,,19:24,,,,19:34,,,19:40,,,,,,,,19:55,,19:47,
94002,,,,,,,,,,,,19:06,19:09,19:12,19:16,19:20,19:23,19:26,19:30,19:33,19:36,19:40,19:42,19:45,19:48,19:51,19:53,19:55,19:58,20:01,,,
94004,,18:30,18:37,18:42,18:47,18:53,18:58,19:03,19:08,19:13,19:16,19:19,19:21,19:24,19:29,19:33,19:36,19:39,19:44,,,,,,,,,,,,,,
94110,,,,,,19:23,19:29,19:34,19:38,,,,,,19:53,,,,20:01,,,20:06,,,,20:14,,,,20:23,,,
94006,,19:51,19:57,20:02,20:06,20:12,20:17,20:21,20:26,,,,,,20:41,,,,20:51,,,20:57,,,,21:04,21:06,21:08,21:11,21:19,,,
94122,,,,,,20:20,20:27,20:32,20:37,20:42,20:46,20:49,20:51,20:54,20:59,,,,,,,,,,,,,,,,,,
